time,open,high,low,close,Volume
1734125400,95.655,95.655,95.655,95.655,200
1734125760,95.655,95.655,95.655,95.655,12
1734126000,95.66,95.66,95.66,95.66,24
1734126180,95.66,95.66,95.66,95.66,48
1734126240,95.66,95.66,95.66,95.66,11
1734126360,95.655,95.655,95.655,95.655,9
1734126480,95.66,95.66,95.66,95.66,562
1734126600,95.66,95.66,95.66,95.66,1
1734126720,95.66,95.66,95.66,95.66,1
1734126840,95.66,95.66,95.66,95.66,15
1734126960,95.66,95.66,95.66,95.66,3
1734127140,95.66,95.66,95.66,95.66,914
1734303600,95.66,95.66,95.66,95.66,254
1734303660,95.66,95.66,95.66,95.66,70
1734303720,95.66,95.66,95.66,95.66,25
1734303840,95.66,95.66,95.66,95.66,55
1734303960,95.66,95.66,95.66,95.66,7
1734304200,95.66,95.66,95.66,95.66,17
1734304440,95.66,95.66,95.66,95.66,381
1734304920,95.66,95.66,95.66,95.66,237
1734306180,95.66,95.66,95.66,95.66,100
1734307020,95.66,95.66,95.66,95.66,100
1734311040,95.66,95.66,95.66,95.66,250
1734311100,95.66,95.66,95.66,95.66,250
1734313860,95.66,95.66,95.66,95.66,166
1734314880,95.66,95.66,95.66,95.66,14
1734315300,95.66,95.66,95.66,95.66,214
1734315600,95.66,95.66,95.66,95.66,400
1734316380,95.66,95.66,95.66,95.66,1506
1734316440,95.66,95.66,95.66,95.66,358
1734316980,95.66,95.66,95.66,95.66,225
1734318540,95.66,95.66,95.66,95.66,302
1734318960,95.66,95.66,95.66,95.66,175
1734319740,95.66,95.66,95.66,95.66,200
1734320820,95.66,95.66,95.66,95.66,1
1734321600,95.66,95.66,95.66,95.66,936
1734322920,95.66,95.66,95.66,95.66,7
1734322980,95.66,95.66,95.66,95.66,180
1734323340,95.655,95.655,95.655,95.655,150
1734323760,95.66,95.66,95.66,95.66,100
1734324360,95.66,95.66,95.66,95.66,200
1734324720,95.655,95.655,95.655,95.655,1
1734324960,95.66,95.66,95.66,95.66,127
1734325320,95.66,95.66,95.66,95.66,12
1734326160,95.66,95.66,95.66,95.66,1
1734326280,95.66,95.66,95.66,95.66,517
1734326760,95.66,95.66,95.66,95.66,96
1734326880,95.66,95.66,95.66,95.66,84
1734327660,95.66,95.66,95.66,95.66,37
1734328140,95.66,95.66,95.66,95.66,1
1734328260,95.66,95.66,95.66,95.66,20
1734328320,95.66,95.66,95.66,95.66,20
1734328380,95.66,95.66,95.66,95.66,249
1734329100,95.66,95.66,95.66,95.66,295
1734331320,95.66,95.66,95.66,95.66,59
1734331560,95.66,95.66,95.66,95.66,1
1734331740,95.66,95.66,95.66,95.66,23
1734332460,95.66,95.66,95.66,95.66,1034
1734332580,95.66,95.66,95.66,95.66,10
1734332820,95.66,95.66,95.66,95.66,15
1734333060,95.66,95.66,95.66,95.66,286
1734333420,95.66,95.66,95.66,95.66,503
1734334080,95.66,95.66,95.66,95.66,2
1734334260,95.66,95.66,95.66,95.66,557
1734334380,95.66,95.66,95.66,95.66,20
1734334440,95.66,95.66,95.66,95.66,100
1734334680,95.66,95.66,95.66,95.66,766
1734335040,95.66,95.66,95.66,95.66,4
1734336360,95.66,95.66,95.66,95.66,14
1734336720,95.66,95.66,95.66,95.66,374
1734336780,95.66,95.66,95.66,95.66,2
1734337080,95.66,95.66,95.66,95.66,5
1734338100,95.66,95.66,95.66,95.66,175
1734338340,95.66,95.66,95.66,95.66,151
1734338820,95.66,95.66,95.66,95.66,365
1734339060,95.66,95.66,95.66,95.66,250
1734339120,95.66,95.66,95.66,95.66,106
1734339540,95.66,95.66,95.66,95.66,1383
1734339900,95.66,95.66,95.66,95.66,113
1734339960,95.655,95.655,95.655,95.655,1
1734340680,95.66,95.66,95.66,95.66,100
1734340740,95.66,95.66,95.66,95.66,1
1734340920,95.655,95.655,95.655,95.655,30
1734341340,95.66,95.66,95.66,95.66,20
1734341520,95.66,95.66,95.66,95.66,389
1734341820,95.66,95.66,95.66,95.66,100
1734342000,95.66,95.66,95.66,95.66,75
1734342120,95.66,95.66,95.66,95.66,13
1734342480,95.66,95.66,95.66,95.66,57
1734342660,95.66,95.66,95.66,95.66,10
1734342840,95.66,95.66,95.66,95.66,9
1734343200,95.66,95.66,95.66,95.66,141
1734343980,95.66,95.66,95.66,95.66,10
1734344340,95.66,95.66,95.66,95.66,10
1734344940,95.66,95.66,95.66,95.66,2867
1734345000,95.66,95.66,95.66,95.66,60
1734345180,95.66,95.66,95.66,95.66,90
1734345300,95.66,95.66,95.66,95.66,12
1734345360,95.66,95.66,95.66,95.66,1
1734345660,95.66,95.66,95.66,95.66,31
1734346140,95.66,95.66,95.66,95.66,50
1734346200,95.66,95.66,95.66,95.66,50
1734346740,95.66,95.66,95.66,95.66,1
1734346860,95.66,95.66,95.66,95.66,75
1734346980,95.66,95.66,95.66,95.66,18
1734347040,95.66,95.66,95.66,95.66,1
1734347100,95.66,95.66,95.66,95.66,4
1734347220,95.66,95.66,95.66,95.66,1
1734347340,95.66,95.66,95.66,95.66,50
1734347400,95.66,95.66,95.66,95.66,500
1734347460,95.66,95.66,95.66,95.66,161
1734347520,95.66,95.66,95.66,95.66,9
1734347700,95.66,95.66,95.66,95.66,91
1734347760,95.66,95.66,95.66,95.66,11
1734347880,95.66,95.66,95.66,95.66,1340
1734348480,95.66,95.66,95.66,95.66,36
1734348540,95.66,95.66,95.66,95.66,2
1734348900,95.66,95.66,95.66,95.66,5
1734349440,95.66,95.66,95.66,95.66,2
1734349500,95.665,95.665,95.665,95.665,2
1734349800,95.66,95.66,95.66,95.66,1
1734350400,95.665,95.665,95.665,95.665,10
1734350460,95.66,95.66,95.66,95.66,402
1734350520,95.66,95.66,95.66,95.66,13
1734350760,95.66,95.66,95.66,95.66,10
1734350880,95.66,95.66,95.66,95.66,4
1734351060,95.66,95.66,95.66,95.66,2
1734351720,95.66,95.66,95.66,95.66,70
1734352740,95.665,95.665,95.665,95.665,2
1734353100,95.66,95.66,95.66,95.66,625
1734353460,95.66,95.66,95.66,95.66,3765
1734353520,95.66,95.66,95.66,95.66,1755
1734353640,95.66,95.66,95.66,95.66,7
1734353760,95.66,95.66,95.66,95.66,11
1734354000,95.66,95.66,95.66,95.66,300
1734354060,95.66,95.66,95.66,95.66,2
1734354120,95.66,95.66,95.66,95.66,62
1734354300,95.66,95.66,95.66,95.66,100
1734354360,95.66,95.66,95.66,95.66,100
1734354600,95.66,95.66,95.66,95.66,507
1734354660,95.66,95.66,95.66,95.66,491
1734354720,95.66,95.66,95.66,95.66,630
1734354780,95.66,95.66,95.66,95.66,3
1734354900,95.66,95.66,95.66,95.66,101
1734354960,95.66,95.66,95.66,95.66,2
1734355380,95.66,95.66,95.66,95.66,91
1734355560,95.66,95.66,95.66,95.66,3
1734355620,95.66,95.66,95.66,95.66,600
1734355740,95.665,95.665,95.66,95.665,83
1734355800,95.665,95.665,95.66,95.66,14867
1734355860,95.665,95.665,95.665,95.665,10
1734356280,95.665,95.665,95.665,95.665,1000
1734356940,95.665,95.665,95.665,95.665,10
1734358140,95.665,95.665,95.665,95.665,10
1734358500,95.66,95.66,95.66,95.66,15
1734358740,95.66,95.66,95.66,95.66,9
1734358800,95.66,95.665,95.66,95.665,5013
1734358980,95.665,95.665,95.665,95.665,200
1734359100,95.665,95.665,95.665,95.665,531
1734359160,95.66,95.66,95.66,95.66,36
1734359520,95.665,95.665,95.665,95.665,6480
1734359580,95.665,95.665,95.665,95.665,12
1734359640,95.66,95.665,95.66,95.665,1287
1734359700,95.665,95.665,95.665,95.665,1449
1734359760,95.665,95.665,95.665,95.665,805
1734359880,95.665,95.665,95.665,95.665,201
1734360000,95.665,95.665,95.665,95.665,212
1734360060,95.665,95.665,95.665,95.665,107
1734360120,95.665,95.665,95.665,95.665,9085
1734360240,95.67,95.67,95.665,95.665,729
1734360300,95.665,95.665,95.665,95.665,4098
1734360360,95.665,95.665,95.665,95.665,37
1734360420,95.665,95.665,95.66,95.66,320
1734360540,95.665,95.665,95.665,95.665,105
1734360660,95.665,95.665,95.66,95.66,510
1734360900,95.66,95.66,95.66,95.66,10
1734360960,95.66,95.665,95.66,95.665,347
1734361080,95.665,95.665,95.665,95.665,8160
1734361140,95.665,95.665,95.665,95.665,81
1734361200,95.665,95.665,95.665,95.665,2000
1734361380,95.665,95.665,95.665,95.665,12
1734361680,95.665,95.665,95.665,95.665,170
1734361740,95.665,95.665,95.665,95.665,58
1734361800,95.665,95.665,95.665,95.665,50
1734361980,95.665,95.665,95.665,95.665,106
1734362160,95.665,95.665,95.665,95.665,10
1734362400,95.665,95.665,95.665,95.665,33
1734362460,95.665,95.665,95.665,95.665,400
1734362520,95.665,95.665,95.665,95.665,33
1734362820,95.665,95.665,95.665,95.665,700
1734363060,95.665,95.665,95.665,95.665,1716
1734363240,95.665,95.665,95.665,95.665,124
1734363360,95.665,95.665,95.665,95.665,12
1734363420,95.665,95.665,95.665,95.665,79
1734363480,95.665,95.665,95.665,95.665,8
1734363780,95.665,95.665,95.665,95.665,5
1734364380,95.665,95.665,95.665,95.665,100
1734364500,95.665,95.665,95.665,95.665,6804
1734364560,95.665,95.665,95.665,95.665,2069
1734364620,95.665,95.665,95.665,95.665,1129
1734364680,95.665,95.665,95.665,95.665,1626
1734364740,95.665,95.665,95.665,95.665,100
1734364800,95.665,95.665,95.665,95.665,501
1734364920,95.665,95.665,95.665,95.665,39
1734364980,95.665,95.665,95.665,95.665,756
1734365040,95.665,95.665,95.665,95.665,7
1734365280,95.665,95.665,95.665,95.665,1970
1734365400,95.665,95.665,95.665,95.665,500
1734365580,95.665,95.665,95.665,95.665,5
1734365640,95.665,95.665,95.665,95.665,145
1734365700,95.665,95.665,95.665,95.665,2289
1734365760,95.665,95.665,95.665,95.665,2151
1734366060,95.665,95.665,95.665,95.665,216
1734366120,95.665,95.665,95.665,95.665,60
1734366240,95.665,95.665,95.665,95.665,3
1734366480,95.665,95.665,95.665,95.665,10
1734366540,95.665,95.665,95.665,95.665,2515
1734366600,95.67,95.67,95.665,95.665,117
1734366660,95.665,95.665,95.665,95.665,371
1734366720,95.665,95.665,95.665,95.665,1028
1734366780,95.665,95.665,95.665,95.665,68
1734366840,95.665,95.665,95.665,95.665,36
1734366900,95.665,95.665,95.665,95.665,18
1734367020,95.665,95.665,95.665,95.665,332
1734367080,95.665,95.665,95.665,95.665,42
1734367140,95.665,95.665,95.665,95.665,7
1734367380,95.665,95.665,95.665,95.665,5
1734367560,95.665,95.665,95.665,95.665,30
1734367620,95.665,95.665,95.665,95.665,360
1734367680,95.665,95.67,95.665,95.665,121
1734367800,95.665,95.665,95.665,95.665,21
1734367860,95.665,95.665,95.665,95.665,600
1734367980,95.665,95.665,95.665,95.665,3
1734368160,95.665,95.665,95.665,95.665,842
1734368220,95.665,95.665,95.665,95.665,406
1734368400,95.665,95.665,95.665,95.665,49
1734368580,95.665,95.665,95.665,95.665,1
1734368640,95.665,95.665,95.665,95.665,23
1734369060,95.665,95.665,95.665,95.665,8
1734369180,95.665,95.665,95.665,95.665,24
1734369300,95.665,95.665,95.665,95.665,13
1734369480,95.665,95.665,95.665,95.665,10
1734369780,95.665,95.665,95.665,95.665,77
