time,open,high,low,close,Volume
1718184960,94.675,94.675,94.675,94.675,23
1718185920,94.675,94.675,94.675,94.675,15
1718186760,94.675,94.675,94.675,94.675,33
1718187180,94.675,94.675,94.675,94.675,134
1718187720,94.675,94.675,94.675,94.675,4
1718188740,94.675,94.675,94.675,94.675,28
1718189100,94.675,94.675,94.675,94.675,8
1718189580,94.675,94.675,94.675,94.675,58
1718189640,94.675,94.675,94.675,94.675,8
1718190420,94.67,94.67,94.67,94.67,4
1718190720,94.675,94.675,94.675,94.675,33
1718190780,94.675,94.675,94.675,94.675,36
1718191320,94.675,94.675,94.675,94.675,4
1718191500,94.675,94.675,94.675,94.675,7
1718191560,94.67,94.67,94.67,94.67,100
1718191980,94.675,94.675,94.675,94.675,2
1718192640,94.675,94.675,94.675,94.675,26
1718192940,94.675,94.675,94.675,94.675,40
1718193720,94.675,94.675,94.675,94.675,101
1718193840,94.675,94.675,94.675,94.675,9
1718194020,94.675,94.675,94.675,94.675,129
1718194140,94.675,94.675,94.675,94.675,40
1718194260,94.67,94.675,94.67,94.67,1075
1718194620,94.675,94.675,94.675,94.675,24
1718194680,94.675,94.675,94.675,94.675,43
1718194800,94.675,94.675,94.675,94.675,5
1718194860,94.675,94.675,94.675,94.675,1217
1718194920,94.675,94.675,94.675,94.675,53
1718194980,94.675,94.675,94.675,94.675,29
1718195040,94.675,94.675,94.675,94.675,7733
1718195100,94.675,94.675,94.675,94.675,2024
1718195160,94.675,94.675,94.675,94.675,2
1718195220,94.675,94.675,94.675,94.675,15
1718195280,94.675,94.675,94.675,94.675,2
1718195340,94.67,94.67,94.67,94.67,7
1718195400,94.675,94.68,94.675,94.675,2124
1718195460,94.675,94.675,94.675,94.675,1032
1718195520,94.675,94.675,94.675,94.675,255
1718195580,94.675,94.675,94.675,94.675,49
1718195640,94.675,94.675,94.675,94.675,72
1718195700,94.675,94.675,94.675,94.675,15
1718195760,94.675,94.675,94.675,94.675,172
1718195880,94.675,94.675,94.675,94.675,47
1718196180,94.67,94.67,94.67,94.67,7
1718196240,94.675,94.675,94.675,94.675,31
1718196300,94.675,94.675,94.675,94.675,88
1718196600,94.675,94.675,94.675,94.675,20
1718196660,94.675,94.675,94.675,94.675,12
1718196780,94.675,94.675,94.675,94.675,36
1718197020,94.675,94.675,94.675,94.675,3999
1718197080,94.675,94.675,94.675,94.675,2274
1718197140,94.675,94.675,94.675,94.675,539
1718197200,94.675,94.675,94.675,94.675,4
1718197380,94.675,94.675,94.67,94.67,10
1718197920,94.675,94.675,94.675,94.675,1
1718197980,94.675,94.675,94.675,94.675,201
1718198040,94.675,94.675,94.675,94.675,199
1718198460,94.675,94.675,94.675,94.675,1
1718198940,94.67,94.67,94.67,94.67,1200
1718199000,94.67,94.67,94.67,94.67,10
1718199060,94.675,94.675,94.675,94.675,204
