time,open,high,low,close,Volume
1738935000,95.69,95.695,95.685,95.685,494
1738935120,95.685,95.685,95.685,95.685,1621
1738935240,95.68,95.68,95.68,95.68,1
1738935300,95.685,95.685,95.685,95.685,98
1738935360,95.68,95.68,95.68,95.68,80
1738935420,95.685,95.685,95.68,95.68,56
1738935900,95.68,95.68,95.68,95.68,10
1738936020,95.68,95.68,95.68,95.68,22
1738936080,95.68,95.68,95.68,95.68,42
1738936140,95.68,95.68,95.68,95.68,3
1738936200,95.68,95.68,95.68,95.68,131
1738936260,95.68,95.68,95.68,95.68,121
1738936500,95.68,95.68,95.68,95.68,19
1738936680,95.68,95.68,95.68,95.68,98
1738936740,95.68,95.68,95.68,95.68,39
1738936800,95.68,95.68,95.68,95.68,39
1738936860,95.68,95.68,95.68,95.68,4
1738937040,95.68,95.68,95.68,95.68,3
1738938000,95.68,95.68,95.68,95.68,11
1738938060,95.68,95.68,95.68,95.68,10
1738938720,95.68,95.68,95.68,95.68,8
1738939020,95.685,95.685,95.685,95.685,100
1738939080,95.68,95.68,95.68,95.68,3
1738940220,95.68,95.68,95.68,95.68,3
1738940640,95.68,95.68,95.68,95.68,93
1738940940,95.685,95.685,95.685,95.685,24
1738941000,95.68,95.68,95.68,95.68,240
1738941060,95.68,95.68,95.68,95.68,2393
1738941120,95.675,95.675,95.675,95.675,15
1738941180,95.68,95.68,95.68,95.68,100
1738941240,95.68,95.68,95.68,95.68,34
1738941300,95.68,95.68,95.68,95.68,59
1738941360,95.68,95.68,95.68,95.68,2
1738941420,95.68,95.68,95.68,95.68,1
1738941540,95.68,95.68,95.68,95.68,12
1738941780,95.68,95.68,95.68,95.68,47
1738942440,95.68,95.68,95.68,95.68,7
1738942680,95.68,95.68,95.68,95.68,41
1738943640,95.68,95.68,95.68,95.68,1
1738943700,95.68,95.68,95.68,95.68,112
1738943820,95.68,95.68,95.68,95.68,15
1738944000,95.68,95.68,95.68,95.68,272
1738944060,95.68,95.68,95.68,95.68,42
1738944420,95.68,95.68,95.68,95.68,20
1738944720,95.68,95.68,95.68,95.68,29
1738945620,95.68,95.68,95.68,95.68,155
1738946340,95.68,95.68,95.68,95.68,2
1738947660,95.68,95.68,95.68,95.68,27
1738948140,95.68,95.68,95.68,95.68,1
1738948920,95.68,95.68,95.68,95.68,12
1738950360,95.68,95.68,95.68,95.68,135
1738950480,95.68,95.68,95.68,95.68,277
1738951200,95.68,95.68,95.68,95.68,3
1738951260,95.68,95.68,95.68,95.68,16
1738951920,95.68,95.68,95.68,95.68,9
1738952100,95.68,95.68,95.68,95.68,39
1738952280,95.68,95.68,95.68,95.68,573
1738953660,95.68,95.68,95.68,95.68,400
1738953720,95.68,95.68,95.68,95.68,251
1738953840,95.68,95.68,95.68,95.68,59
1738953900,95.68,95.68,95.68,95.68,10
1738954140,95.68,95.68,95.68,95.68,25
1738954380,95.68,95.68,95.68,95.68,1
1738954860,95.68,95.68,95.68,95.68,14
1738955460,95.68,95.68,95.68,95.68,1
1738956900,95.68,95.68,95.68,95.68,17
1738957500,95.68,95.68,95.68,95.68,9
1738957800,95.68,95.68,95.68,95.68,5
1738958460,95.68,95.68,95.68,95.68,134
1738958880,95.68,95.68,95.68,95.68,1
1738963440,95.68,95.68,95.68,95.68,28
1738963860,95.68,95.68,95.68,95.68,44
1738963920,95.68,95.68,95.68,95.68,3
1738964160,95.685,95.685,95.685,95.685,49
1738965000,95.68,95.68,95.68,95.68,22
1738965540,95.685,95.685,95.68,95.68,76
1739159220,95.68,95.68,95.68,95.68,11
1739161500,95.68,95.68,95.68,95.68,31
1739161620,95.68,95.68,95.68,95.68,31
1739161800,95.68,95.68,95.68,95.68,2
1739161860,95.68,95.68,95.68,95.68,31
1739173620,95.68,95.68,95.68,95.68,1
1739175540,95.68,95.68,95.68,95.68,28
1739175960,95.68,95.68,95.68,95.68,2
1739176740,95.68,95.68,95.68,95.68,1
1739176800,95.68,95.68,95.68,95.68,1
1739179380,95.68,95.68,95.68,95.68,1
1739179560,95.68,95.68,95.68,95.68,1
1739179740,95.68,95.68,95.68,95.68,22
1739179860,95.68,95.68,95.68,95.68,8
1739187060,95.68,95.68,95.68,95.68,3
1739188380,95.68,95.68,95.68,95.68,7
1739189220,95.68,95.68,95.68,95.68,51
1739190360,95.68,95.68,95.68,95.68,13
1739192580,95.68,95.68,95.68,95.68,9
1739194380,95.68,95.68,95.68,95.68,156
1739194740,95.68,95.68,95.68,95.68,5
1739197080,95.68,95.68,95.68,95.68,5
1739197140,95.68,95.68,95.68,95.68,9
1739197860,95.68,95.68,95.68,95.68,1
1739198220,95.68,95.68,95.68,95.68,1
1739199060,95.68,95.68,95.68,95.68,100
1739199660,95.68,95.68,95.68,95.68,3
1739200200,95.68,95.68,95.68,95.68,30
1739201820,95.68,95.68,95.68,95.68,27
1739204820,95.68,95.68,95.68,95.68,53
1739210040,95.68,95.68,95.68,95.68,1
1739213220,95.68,95.68,95.68,95.68,10
1739214180,95.68,95.68,95.68,95.68,30
1739214840,95.68,95.68,95.68,95.68,7
1739215920,95.68,95.68,95.68,95.68,1
1739215980,95.68,95.68,95.68,95.68,219
1739216880,95.675,95.675,95.675,95.675,58
1739217540,95.68,95.68,95.68,95.68,8
1739218320,95.68,95.68,95.68,95.68,10
1739218680,95.68,95.68,95.68,95.68,8
1739219460,95.68,95.68,95.68,95.68,62
1739219640,95.68,95.68,95.68,95.68,63
1739220960,95.68,95.68,95.68,95.68,1
1739222220,95.675,95.675,95.675,95.675,6
1739223840,95.68,95.68,95.68,95.68,2
1739224560,95.68,95.68,95.68,95.68,2
1739247540,95.675,95.675,95.675,95.675,1
1739252520,95.68,95.68,95.68,95.68,1
1739257980,95.675,95.675,95.675,95.675,263
1739264280,95.675,95.675,95.675,95.675,480
1739270760,95.68,95.68,95.68,95.68,10
1739276280,95.68,95.68,95.68,95.68,1
1739276940,95.675,95.675,95.675,95.675,1
1739277120,95.675,95.675,95.675,95.675,9
1739280660,95.68,95.68,95.68,95.68,1
1739282220,95.675,95.675,95.675,95.675,17
1739286000,95.675,95.675,95.675,95.675,536
1739286240,95.675,95.675,95.675,95.675,7
1739286480,95.675,95.675,95.675,95.675,5
1739287560,95.675,95.675,95.675,95.675,240
1739288040,95.675,95.675,95.675,95.675,5
1739292120,95.68,95.68,95.68,95.68,3
1739292780,95.675,95.68,95.675,95.68,1747
1739293320,95.675,95.675,95.675,95.675,25
1739294040,95.675,95.675,95.675,95.675,8
1739294760,95.675,95.675,95.675,95.675,2
1739295480,95.675,95.675,95.675,95.675,2
1739296740,95.68,95.68,95.68,95.68,1
1739296860,95.68,95.68,95.68,95.68,21
1739299620,95.68,95.68,95.68,95.68,12
1739301300,95.68,95.68,95.68,95.68,2
1739303940,95.68,95.68,95.68,95.68,106
1739304720,95.68,95.68,95.68,95.68,7
1739305920,95.675,95.675,95.675,95.675,40
1739306700,95.68,95.68,95.68,95.68,62
1739308440,95.68,95.68,95.68,95.68,13
1739311140,95.675,95.68,95.675,95.68,422
1739314800,95.675,95.675,95.675,95.675,1
1739314920,95.675,95.675,95.675,95.675,2
1739315100,95.675,95.675,95.675,95.675,250
1739318760,95.675,95.675,95.675,95.675,17
1739318820,95.675,95.675,95.675,95.675,14
1739321220,95.675,95.675,95.675,95.675,2
1739322120,95.675,95.675,95.675,95.675,9
1739322420,95.675,95.675,95.675,95.675,6
1739331360,95.675,95.675,95.675,95.675,4
