time,open,high,low,close,Volume
1679904540,95.19,95.19,95.19,95.19,2
1679905620,95.185,95.185,95.185,95.185,6
1679905680,95.19,95.19,95.185,95.19,3
1679905740,95.19,95.19,95.19,95.19,1
1679905800,95.185,95.19,95.185,95.19,2
1679905920,95.185,95.19,95.185,95.19,2
1679906400,95.185,95.185,95.185,95.185,39
1679906760,95.185,95.185,95.185,95.185,1
1679906820,95.19,95.19,95.19,95.19,2
1679907060,95.19,95.19,95.19,95.19,500
1679907240,95.185,95.185,95.185,95.185,4
1679907360,95.19,95.19,95.19,95.19,1472
1679907420,95.19,95.19,95.19,95.19,5
1679907540,95.19,95.19,95.19,95.19,136
1679908140,95.185,95.185,95.185,95.185,1
1679908500,95.185,95.185,95.185,95.185,19
1679908620,95.19,95.19,95.19,95.19,5
1679908800,95.185,95.185,95.185,95.185,50
1679908920,95.185,95.185,95.185,95.185,4
1679909100,95.19,95.19,95.19,95.19,1
1679909160,95.185,95.185,95.185,95.185,5
1679909220,95.19,95.19,95.185,95.19,6
1679909880,95.185,95.185,95.185,95.185,1
1679910360,95.19,95.19,95.19,95.19,20
1679910480,95.19,95.19,95.19,95.19,2
1679910660,95.185,95.185,95.185,95.185,45
1679911020,95.19,95.19,95.19,95.19,200
1679911140,95.19,95.19,95.19,95.19,1
1679911560,95.19,95.19,95.19,95.19,188
1679911800,95.19,95.19,95.19,95.19,4
1679911860,95.19,95.19,95.19,95.19,21
1679911980,95.19,95.19,95.185,95.185,11
1679912040,95.19,95.19,95.19,95.19,107
1679912160,95.19,95.19,95.19,95.19,1
1679912760,95.185,95.185,95.185,95.185,3
1679912820,95.185,95.185,95.185,95.185,12
1679913060,95.185,95.185,95.185,95.185,3
1679913240,95.19,95.19,95.19,95.19,51
1679913360,95.19,95.19,95.19,95.19,50
1679913480,95.19,95.19,95.185,95.185,8
1679913540,95.19,95.19,95.19,95.19,8
1679913660,95.19,95.19,95.19,95.19,1
1679913720,95.19,95.19,95.19,95.19,1
1679913780,95.19,95.19,95.19,95.19,1
1679913840,95.19,95.19,95.19,95.19,1
1679914020,95.19,95.19,95.19,95.19,1
1679914200,95.19,95.19,95.19,95.19,10
1679914380,95.19,95.19,95.19,95.19,9
1679914500,95.19,95.19,95.19,95.19,18
1679914560,95.19,95.19,95.19,95.19,24
1679914800,95.185,95.185,95.185,95.185,2
1679914860,95.185,95.185,95.185,95.185,2
1679914980,95.185,95.185,95.185,95.185,4
1679915040,95.185,95.185,95.185,95.185,2
1679915220,95.185,95.185,95.185,95.185,1
1679915400,95.185,95.185,95.185,95.185,1
1679915640,95.185,95.19,95.185,95.19,39
1679915700,95.19,95.19,95.185,95.185,4
1679915760,95.19,95.19,95.19,95.19,8
1679915940,95.185,95.185,95.185,95.185,2
1679916000,95.185,95.185,95.185,95.185,25
1679916240,95.19,95.19,95.19,95.19,10
1679916300,95.185,95.185,95.185,95.185,7
1679916360,95.19,95.19,95.19,95.19,8
1679916600,95.19,95.19,95.19,95.19,1
1679916660,95.19,95.19,95.19,95.19,7
1679916720,95.19,95.19,95.185,95.19,27
1679916840,95.19,95.19,95.19,95.19,11
1679916900,95.19,95.19,95.19,95.19,1
1679917020,95.19,95.19,95.19,95.19,24
1679917140,95.19,95.19,95.19,95.19,1
1679917200,95.19,95.19,95.19,95.19,78
