time,open,high,low,close,Volume
1688133300,94.895,94.895,94.895,94.895,2
1688133420,94.895,94.895,94.895,94.895,1
1688133840,94.895,94.895,94.895,94.895,5
1688134080,94.895,94.895,94.895,94.895,1
1688134140,94.895,94.895,94.895,94.895,4
1688134200,94.895,94.895,94.895,94.895,1
1688134260,94.895,94.895,94.895,94.895,81
1688134320,94.895,94.895,94.895,94.895,19
1688134380,94.895,94.895,94.895,94.895,1
1688134440,94.895,94.895,94.895,94.895,1
1688134500,94.895,94.895,94.895,94.895,4
1688134560,94.895,94.895,94.895,94.895,1
1688134620,94.895,94.895,94.895,94.895,1
1688134800,94.895,94.895,94.895,94.895,5
1688135760,94.895,94.895,94.895,94.895,11
1688135880,94.895,94.895,94.895,94.895,1
1688136660,94.895,94.895,94.895,94.895,1
1688137140,94.895,94.895,94.895,94.895,1
1688137200,94.895,94.895,94.895,94.895,4
1688137320,94.895,94.895,94.895,94.895,7
1688137380,94.895,94.895,94.895,94.895,28
1688137440,94.895,94.895,94.895,94.895,6
1688137500,94.895,94.895,94.895,94.895,1
1688137980,94.895,94.895,94.895,94.895,1
1688138040,94.895,94.895,94.895,94.895,6
1688138100,94.895,94.895,94.895,94.895,9
1688138340,94.895,94.895,94.895,94.895,3
1688139060,94.895,94.895,94.89,94.89,10
1688139660,94.89,94.89,94.89,94.89,1
1688140080,94.89,94.895,94.89,94.895,74
1688140200,94.89,94.89,94.89,94.89,3601
1688140740,94.89,94.89,94.89,94.89,1
1688141280,94.89,94.89,94.89,94.89,1
1688141820,94.89,94.89,94.89,94.89,1
1688142420,94.89,94.89,94.89,94.89,1
1688142960,94.89,94.89,94.89,94.89,1
1688143140,94.895,94.895,94.895,94.895,23
1688143500,94.89,94.89,94.89,94.89,1
1688143620,94.895,94.895,94.895,94.895,400
1688144040,94.89,94.89,94.89,94.89,1
1688144580,94.89,94.89,94.89,94.89,1
1688145180,94.89,94.89,94.89,94.89,1
1688145540,94.895,94.895,94.895,94.895,5
1688145600,94.895,94.895,94.895,94.895,4
1688145720,94.89,94.89,94.89,94.89,1
1688145780,94.895,94.895,94.895,94.895,5
1688145960,94.895,94.895,94.895,94.895,11
1688146260,94.89,94.89,94.89,94.89,1
1688146800,94.89,94.89,94.89,94.89,1
1688147340,94.89,94.89,94.89,94.89,1
1688148960,94.89,94.89,94.89,94.89,10
1688149140,94.89,94.89,94.89,94.89,1
1688149440,94.895,94.895,94.895,94.895,20
1688149500,94.89,94.89,94.89,94.89,1
1688149560,94.895,94.895,94.895,94.895,26
1688149800,94.89,94.89,94.89,94.89,1
1688150100,94.89,94.89,94.89,94.89,1
1688150460,94.89,94.89,94.89,94.89,1
1688150520,94.895,94.895,94.895,94.895,25
1688150640,94.89,94.89,94.89,94.89,92
1688150760,94.89,94.89,94.89,94.89,1
1688150940,94.895,94.895,94.895,94.895,1
1688151120,94.89,94.89,94.89,94.89,1
1688151420,94.89,94.89,94.89,94.89,1
1688151540,94.895,94.895,94.89,94.89,82
1688151600,94.895,94.895,94.895,94.895,5
1688151660,94.895,94.895,94.895,94.895,16
1688151720,94.89,94.89,94.89,94.89,1
1688152080,94.89,94.89,94.89,94.89,1
1688152320,94.895,94.895,94.895,94.895,20
1688152380,94.89,94.89,94.89,94.89,1
1688152500,94.89,94.89,94.89,94.89,25
1688152680,94.89,94.89,94.89,94.89,1
1688153040,94.89,94.89,94.89,94.89,1
1688153160,94.895,94.895,94.895,94.895,17
1688153340,94.89,94.89,94.89,94.89,1
1688153400,94.895,94.895,94.895,94.895,24
1688153580,94.895,94.895,94.895,94.895,1
1688153700,94.89,94.89,94.89,94.89,1
1688153880,94.895,94.895,94.895,94.895,135
1688154000,94.89,94.89,94.89,94.89,1
1688154120,94.895,94.895,94.895,94.895,1
1688154300,94.89,94.89,94.89,94.89,1
1688154420,94.895,94.895,94.895,94.895,1
1688154660,94.89,94.89,94.89,94.89,1
1688154720,94.895,94.895,94.895,94.895,1
1688154960,94.89,94.89,94.89,94.89,1
1688155080,94.89,94.89,94.89,94.89,2
1688155260,94.89,94.89,94.89,94.89,1
1688155800,94.89,94.89,94.89,94.89,85
1688156040,94.895,94.895,94.895,94.895,13
1688156160,94.895,94.895,94.895,94.895,22
1688156220,94.895,94.895,94.895,94.895,13
1688156280,94.895,94.895,94.895,94.895,2
1688156340,94.895,94.895,94.895,94.895,54
1688156460,94.895,94.895,94.89,94.89,17
1688156580,94.895,94.895,94.895,94.895,12
1688156640,94.895,94.895,94.895,94.895,100
1688156700,94.895,94.895,94.895,94.895,13
1688156760,94.89,94.895,94.89,94.895,36
1688156820,94.895,94.895,94.89,94.89,159
1688156880,94.895,94.895,94.895,94.895,28
1688156940,94.895,94.895,94.89,94.89,906
1688157000,94.895,94.895,94.895,94.895,18
1688157480,94.895,94.895,94.895,94.895,8
1688157780,94.895,94.895,94.895,94.895,10
1688157900,94.895,94.895,94.895,94.895,157
1688158020,94.895,94.895,94.895,94.895,1
1688158080,94.89,94.89,94.89,94.89,13
1688158140,94.895,94.895,94.895,94.895,2
1688158260,94.895,94.895,94.895,94.895,7
1688158440,94.895,94.895,94.895,94.895,3
1688158500,94.895,94.895,94.895,94.895,6
1688158560,94.895,94.895,94.895,94.895,7
1688158680,94.895,94.895,94.895,94.895,3
1688158740,94.895,94.895,94.895,94.895,52
1688335200,94.8925,94.8925,94.8925,94.8925,259
1688335920,94.895,94.895,94.895,94.895,1
1688337420,94.895,94.895,94.895,94.895,1
1688338860,94.895,94.895,94.895,94.895,1
1688340360,94.895,94.895,94.895,94.895,1
1688341800,94.895,94.895,94.895,94.895,1
1688342340,94.8925,94.8925,94.8925,94.8925,501
1688344800,94.895,94.895,94.895,94.895,1
1688346300,94.895,94.895,94.895,94.895,1
1688346840,94.8925,94.8925,94.8925,94.8925,1421
1688348460,94.895,94.895,94.895,94.895,3
1688348700,94.895,94.895,94.895,94.895,2
1688348760,94.895,94.895,94.895,94.895,3
1688348880,94.895,94.895,94.895,94.895,2
1688349000,94.895,94.895,94.895,94.895,3
1688349180,94.895,94.895,94.895,94.895,5
1688349240,94.895,94.895,94.8925,94.8925,481
1688349360,94.895,94.895,94.895,94.895,4
1688350860,94.8925,94.8925,94.8925,94.8925,482
1688353320,94.8925,94.8925,94.8925,94.8925,1
1688353680,94.895,94.895,94.895,94.895,1
1688355120,94.895,94.895,94.895,94.895,1
1688356620,94.895,94.895,94.895,94.895,1
1688358120,94.895,94.895,94.895,94.895,1
1688359620,94.895,94.895,94.895,94.895,1
1688361060,94.895,94.895,94.895,94.895,1
1688362560,94.895,94.895,94.895,94.895,1
1688364060,94.895,94.895,94.895,94.895,1
1688364360,94.8925,94.8925,94.8925,94.8925,400
1688366820,94.8925,94.8925,94.8925,94.8925,500
1688366880,94.8925,94.8925,94.8925,94.8925,1001
1688368140,94.8925,94.8925,94.8925,94.8925,1
1688368320,94.8925,94.8925,94.8925,94.8925,1
1688368500,94.895,94.895,94.895,94.895,1
1688368560,94.8925,94.8925,94.8925,94.8925,83
1688368680,94.8925,94.8925,94.8925,94.8925,1
1688368920,94.8925,94.8925,94.8925,94.8925,2
1688369160,94.8925,94.8925,94.8925,94.8925,2
1688369400,94.895,94.895,94.895,94.895,100
1688369700,94.8925,94.8925,94.8925,94.8925,354
1688369760,94.8925,94.8925,94.8925,94.8925,88
1688370060,94.8925,94.8925,94.8925,94.8925,200
1688370300,94.895,94.895,94.895,94.895,30
1688372220,94.8925,94.8925,94.8925,94.8925,500
1688372280,94.8925,94.8925,94.8925,94.8925,100
1688372340,94.8925,94.8925,94.8925,94.8925,100
1688372400,94.8925,94.8925,94.8925,94.8925,14
1688372460,94.8925,94.8925,94.8925,94.8925,14
1688372640,94.8925,94.8925,94.8925,94.8925,3
1688374320,94.8925,94.8925,94.8925,94.8925,345
1688374380,94.895,94.895,94.895,94.895,1
1688374440,94.8925,94.8925,94.8925,94.8925,10
1688374500,94.8925,94.8925,94.8925,94.8925,1
1688374560,94.8925,94.8925,94.8925,94.8925,1
1688376180,94.8925,94.8925,94.8925,94.8925,164
1688377320,94.895,94.895,94.895,94.895,1
1688377620,94.8925,94.8925,94.8925,94.8925,1
1688377920,94.8925,94.8925,94.8925,94.8925,520
1688377980,94.8925,94.8925,94.8925,94.8925,252
1688378040,94.8925,94.8925,94.8925,94.8925,4
1688378220,94.8925,94.8925,94.8925,94.8925,23
1688378400,94.8925,94.8925,94.8925,94.8925,1
1688378700,94.8925,94.8925,94.8925,94.8925,17
1688379240,94.8925,94.8925,94.8925,94.8925,3
1688379840,94.8925,94.8925,94.8925,94.8925,42
1688380500,94.8925,94.8925,94.8925,94.8925,1
1688381760,94.8925,94.8925,94.8925,94.8925,1
1688382240,94.8925,94.8925,94.8925,94.8925,15
1688382480,94.8925,94.8925,94.8925,94.8925,197
1688382660,94.8925,94.8925,94.8925,94.8925,32
1688382900,94.8925,94.8925,94.8925,94.8925,9
1688383380,94.8925,94.8925,94.8925,94.8925,28
1688383560,94.8925,94.8925,94.8925,94.8925,9
1688384580,94.8925,94.8925,94.8925,94.8925,1
1688384700,94.8925,94.8925,94.8925,94.8925,11
1688385600,94.8925,94.8925,94.8925,94.8925,7
1688385660,94.8925,94.8925,94.8925,94.8925,812
1688385720,94.8925,94.8925,94.8925,94.8925,785
1688385780,94.8925,94.8925,94.8925,94.8925,262
1688385900,94.8925,94.8925,94.8925,94.8925,80
1688386260,94.895,94.895,94.895,94.895,1
1688386440,94.8925,94.895,94.8925,94.895,4
1688386680,94.895,94.895,94.895,94.895,1
1688386860,94.895,94.895,94.895,94.895,1
1688387100,94.895,94.895,94.895,94.895,1
1688387280,94.895,94.895,94.895,94.895,1
1688387340,94.895,94.895,94.895,94.895,3600
1688387520,94.895,94.895,94.895,94.895,1
1688387700,94.895,94.895,94.895,94.895,1
1688387760,94.895,94.895,94.895,94.895,1
1688387940,94.895,94.895,94.895,94.895,1
1688388180,94.895,94.895,94.895,94.895,1
1688388360,94.895,94.895,94.895,94.895,1
