time,open,high,low,close,Volume
1692934980,94.655,94.655,94.655,94.655,404
1692935940,94.655,94.655,94.655,94.655,10
1692947040,94.655,94.655,94.655,94.655,32
1692947100,94.655,94.655,94.655,94.655,16
1692947160,94.65,94.65,94.65,94.65,1
1692952260,94.65,94.65,94.65,94.65,2
1692953640,94.65,94.65,94.65,94.65,4
1692954780,94.65,94.65,94.65,94.65,300
1692955740,94.65,94.65,94.65,94.65,1
1692955920,94.65,94.65,94.65,94.65,21
1692955980,94.65,94.65,94.65,94.65,4
1692956100,94.65,94.65,94.65,94.65,2
1692957720,94.65,94.65,94.65,94.65,1368
1692957780,94.65,94.65,94.65,94.65,32
1692957840,94.65,94.65,94.65,94.65,21
1692958020,94.655,94.655,94.655,94.655,4
1692960000,94.655,94.655,94.65,94.65,7
1692960360,94.65,94.65,94.65,94.65,1
1692960420,94.65,94.65,94.65,94.65,2
1692960600,94.65,94.65,94.65,94.65,1
1692960780,94.65,94.65,94.65,94.65,1
1692961080,94.65,94.65,94.65,94.65,42
1692961140,94.65,94.65,94.65,94.65,4
1692961320,94.65,94.65,94.65,94.65,1
1692961560,94.65,94.65,94.65,94.65,35
1692962700,94.65,94.65,94.65,94.65,1
1692963180,94.65,94.65,94.65,94.65,1
1692963480,94.65,94.65,94.65,94.65,1
1692964800,94.65,94.65,94.65,94.65,23
1692964860,94.65,94.65,94.65,94.65,54
1692965040,94.655,94.655,94.655,94.655,3
1692965160,94.655,94.655,94.655,94.655,7
1692965460,94.65,94.65,94.65,94.65,21
1692965640,94.65,94.65,94.65,94.65,2
1692965700,94.65,94.65,94.65,94.65,5
1692966000,94.655,94.655,94.655,94.655,11
1692966120,94.655,94.655,94.65,94.65,129
1692966540,94.65,94.655,94.65,94.65,16
1692966660,94.65,94.65,94.65,94.65,9
1692966780,94.65,94.65,94.65,94.65,3
1692966840,94.65,94.65,94.65,94.65,1
1692967020,94.65,94.65,94.65,94.65,2
1692967320,94.65,94.65,94.65,94.65,47
1692967440,94.65,94.65,94.65,94.65,227
1692967500,94.655,94.655,94.655,94.655,1
1692967620,94.65,94.65,94.65,94.65,2
1692967740,94.65,94.65,94.65,94.65,336
1692967860,94.65,94.65,94.65,94.65,2
1692967980,94.65,94.65,94.65,94.65,50
1692968040,94.65,94.65,94.65,94.65,2
1692968220,94.65,94.65,94.65,94.65,2
1692968280,94.65,94.65,94.65,94.65,1
1692968460,94.65,94.65,94.65,94.65,2
1692968520,94.65,94.65,94.65,94.65,79
1692968580,94.655,94.655,94.655,94.655,8
1692968640,94.65,94.65,94.65,94.65,1
1692968880,94.65,94.65,94.65,94.65,2
1692968940,94.65,94.65,94.65,94.65,25
1692969060,94.65,94.65,94.65,94.65,2
1692969120,94.65,94.65,94.65,94.65,1572
1692969240,94.65,94.65,94.65,94.65,2
1692969300,94.65,94.65,94.65,94.65,1
1692969420,94.65,94.65,94.65,94.65,21
1692969480,94.65,94.65,94.65,94.65,26
1692969660,94.65,94.65,94.65,94.65,1260
1692969780,94.65,94.65,94.65,94.65,29
1692969840,94.65,94.65,94.65,94.65,197
1692969900,94.65,94.65,94.65,94.65,1614
1692969960,94.65,94.65,94.65,94.65,3
1692970020,94.65,94.655,94.65,94.655,203
1692970080,94.65,94.65,94.65,94.65,102
1692970260,94.65,94.65,94.65,94.65,47
1692970320,94.65,94.65,94.65,94.65,2
