event_slug,slug,marketTitle,volume,Condition,Yes,No,outcomeYes,outcomeNo
fed-interest-rates-march-2024,will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-march-meeting,up25,197105.478278,0xdf3b361f2617570e0abc10ece5e350a979c5e1e58ad5a2b5147e023ade4d9311,"100647932394524753511024372351439090270565953451319138975996721541418061568325","78809347143547697320307181120608030232127524836798973473083856775752906357974","0","1"
fed-interest-rates-march-2024,will-the-fed-decrease-interest-rates-by-50-bps-after-its-march-2024-meeting,down50,13322.492923,0xd4a957e7b51fc2e74c4f1909583972011772eda01aada975251aeaffbbc73f56,"11926510984467575492668088820266912612839730750582615176483366783609104285702","71996725475666086592550128451879929481106659907722693412187397916628636404798","0","1"
fed-interest-rates-march-2024,will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-march-meeting,down25,8974.822979,0x70ee5e1d18a794f36d3c50b7215bd203e00f702d71fa0f0014466f98afe35a09,"36077421028184666368397541781786578313775102458600964047317604370778545362617","50199043123658762717296938365968793361361337371845354437906013866007095164619","0","1"
fed-interest-rates-march-2024,no-change-in-fed-raise-interest-rates-after-its-2024-march-meeting,noChange,63023.462319,0xa1d06c273030c75b85ecfee08b2ff1f0e510c07f12152f81c707eb83deaab8ba,"51735590924894170001569823740991899172901949146021448619123146982012128066328","37677462944074969182752596427808431064991251926309617997598199261642924717625","1","0"
fed-interest-rates-march-2023,will-the-fed-decrease-interest-rates-by-25-bps-after-its-march-meeting,down25,29991.057264,0xf7c7f26b211e1674fd0bba3011c93bdc926fe2e0ca958783bc7eb24b2dd08d0f,"100609607625182382624193104548921774973445408678431158778514964996831797085537","5950497898383374283070528183684144466469822405683850609823913419711221976131","0","1"
fed-interest-rates-march-2023,will-the-fed-increase-interest-rates-by-50-bps-after-its-march-meeting,up50,131282.012658,0xf12d3e7a87e218e66d1442e2d5bc7a914845795c954ae76fbd2fd7303cc3b7df,"5615947562037222207759514440869988807185681615507353164574227709928462235101","104732946420867212876592513219147434415013052074568673654354352467573893859883","0","1"
fed-interest-rates-march-2023,will-the-fed-increase-interest-rates-by-25-bps-after-its-march-meeting,up25,173828.116508,0x02ba76b36ffb6ec21751d270905a642769d1508c102b1275ca3fa46abd3a2710,"84358536076794190566281282771045821073392632216347910120806230777130420551280","72294666140754361869380518337420725455262050422547969407634623121636645463518","1","0"
fed-interest-rates-march-2023,will-the-fed-increase-interest-rates-by-0-bps-after-its-march-meeting,noChange,119684.59246,0x0ce5e4c60480605f22701180b8e9322952ca4075e321771eb756d53aed85e9a8,"54376778741683480050550946809771489751183901510562630512206908735602714303892","97385798091632246573415737604627216013148419104624989081859283030082201660040","0","1"
fed-interest-rates-june-2023,will-the-fed-decrease-interest-rates-by-25-bps-after-its-june-meeting,down25,4482.123813,0x2edbdabce90c3dfa1125836396c80762fa3bf09eaf5e611e4a2fd4a13ce81c25,"114282861978311790369160272900161977936677780597424183095007804935919461239642","11934191160449048779978106274828670189031350400815503232856906692868968471178","0","1"
fed-interest-rates-june-2023,will-the-fed-increase-interest-rates-by-0-bps-after-its-june-meeting,noChange,243878.273213,0xdcb247a07c561e4d960cd5bd9346bfcd205a9ae6557263b390e93f9e90ca56ee,"266729617100562749267909006058784162357632898821370178422514069390143526926","33235150671247679378056035219285110987463762725240075156040276215815016790876","1","0"
fed-interest-rates-june-2023,will-the-fed-increase-interest-rates-by-25-bps-after-its-june-meeting,up25,141462.927508,0x814f5f4ed96cc3666fc05923f42bb1fd7f9c436dfc923d06a624904bbe0b05f8,"46371919720488965779225806085242445574172902913658058235184931612824657677555","76780018896872882632701611852412745012857873906197388092868688692708103064713","0","1"
fed-interest-rates-june-2023,will-the-fed-increase-interest-rates-by-50-bps-after-its-june-meeting,up50,6377.5,0x2d6ed33630ad4931ed6d9134b3addb84c7725564160d5888172ac366b2add59a,"31105893296768386464246015157866914932117752219806514792037241612302193020684","76877289163747708231292474911966487227510854810754752832681582274907088283378","0","1"
