time,open,high,low,close,Volume
1733094000,95.59,95.59,95.59,95.59,78
1733094060,95.59,95.59,95.59,95.59,43
1733094780,95.59,95.59,95.59,95.59,30
1733096160,95.59,95.59,95.59,95.59,585
1733096220,95.59,95.59,95.59,95.59,270
1733098200,95.59,95.59,95.59,95.59,1
1733098800,95.585,95.585,95.585,95.585,198
1733098860,95.585,95.585,95.585,95.585,342
1733100060,95.585,95.585,95.585,95.585,1
1733101860,95.59,95.59,95.59,95.59,15
1733104620,95.585,95.585,95.585,95.585,16
1733106840,95.585,95.585,95.585,95.585,25
1733107440,95.585,95.585,95.585,95.585,1011
1733107500,95.585,95.585,95.585,95.585,425
1733107620,95.585,95.585,95.585,95.585,1600
1733108700,95.585,95.585,95.585,95.585,5
1733109240,95.585,95.585,95.585,95.585,100
1733109360,95.585,95.585,95.585,95.585,43
1733109960,95.585,95.585,95.585,95.585,2
1733110320,95.585,95.585,95.585,95.585,24
1733111280,95.585,95.585,95.585,95.585,22
1733111700,95.585,95.585,95.585,95.585,15
1733111820,95.58,95.58,95.58,95.58,9
1733112240,95.585,95.585,95.585,95.585,40
1733112300,95.585,95.585,95.585,95.585,18
1733114280,95.585,95.585,95.585,95.585,5
1733114880,95.59,95.59,95.59,95.59,1
1733117460,95.585,95.585,95.585,95.585,1
1733118540,95.585,95.585,95.585,95.585,4
1733120160,95.59,95.59,95.59,95.59,550
1733121840,95.585,95.585,95.585,95.585,4
1733122140,95.59,95.59,95.59,95.59,175
1733123280,95.585,95.585,95.585,95.585,77
1733123400,95.585,95.585,95.585,95.585,24
1733123460,95.585,95.585,95.585,95.585,2
1733123640,95.585,95.585,95.585,95.585,2
1733124480,95.585,95.585,95.585,95.585,20
1733124900,95.585,95.585,95.585,95.585,120
1733125740,95.585,95.585,95.585,95.585,200
1733126040,95.585,95.585,95.585,95.585,651
1733126160,95.585,95.585,95.585,95.585,28
1733127420,95.585,95.585,95.585,95.585,40
1733127660,95.585,95.585,95.585,95.585,20
1733127780,95.585,95.585,95.585,95.585,160
1733127900,95.58,95.58,95.58,95.58,2291
1733127960,95.58,95.58,95.58,95.58,298
1733128380,95.575,95.58,95.575,95.58,1230
1733128680,95.58,95.58,95.58,95.58,2341
1733128740,95.58,95.58,95.58,95.58,537
1733128800,95.58,95.58,95.58,95.58,86
1733128920,95.58,95.58,95.58,95.58,116
1733129280,95.58,95.58,95.58,95.58,18
1733129340,95.58,95.58,95.58,95.58,990
1733129520,95.58,95.58,95.58,95.58,52
1733129580,95.58,95.58,95.58,95.58,129
1733129640,95.58,95.58,95.58,95.58,1249
1733129700,95.58,95.58,95.58,95.58,145
1733129760,95.58,95.58,95.58,95.58,3
1733129820,95.58,95.58,95.58,95.58,21
1733129880,95.58,95.58,95.58,95.58,4
1733129940,95.58,95.58,95.58,95.58,1
1733130000,95.58,95.58,95.58,95.58,59
1733130060,95.58,95.58,95.58,95.58,11
1733130120,95.58,95.58,95.58,95.58,4
1733130180,95.58,95.58,95.58,95.58,375
1733130240,95.58,95.58,95.58,95.58,3
1733130300,95.58,95.58,95.58,95.58,471
1733130420,95.58,95.58,95.58,95.58,31
1733130540,95.585,95.585,95.585,95.585,100
1733130780,95.58,95.58,95.58,95.58,20
1733130840,95.58,95.58,95.58,95.58,200
1733130900,95.58,95.58,95.58,95.58,200
1733131260,95.58,95.58,95.58,95.58,91
1733131320,95.58,95.58,95.58,95.58,1
1733131560,95.58,95.58,95.58,95.58,1
1733131620,95.58,95.58,95.58,95.58,1
1733131860,95.58,95.58,95.58,95.58,25
1733132640,95.58,95.58,95.58,95.58,2
1733132700,95.58,95.58,95.58,95.58,4
1733133420,95.58,95.58,95.58,95.58,1794
1733133480,95.58,95.58,95.58,95.58,90
1733134260,95.58,95.58,95.58,95.58,592
1733134320,95.58,95.58,95.58,95.58,95
1733134380,95.58,95.58,95.58,95.58,170
1733134440,95.58,95.58,95.58,95.58,30
1733134680,95.58,95.58,95.58,95.58,4
1733134800,95.58,95.58,95.58,95.58,293
1733135460,95.58,95.58,95.58,95.58,308
1733135580,95.58,95.58,95.58,95.58,28
1733135820,95.58,95.58,95.58,95.58,428
1733137080,95.58,95.58,95.58,95.58,252
1733137500,95.58,95.58,95.575,95.575,629
1733137620,95.58,95.58,95.58,95.58,177
1733138040,95.58,95.58,95.58,95.58,238
1733138640,95.58,95.58,95.58,95.58,473
1733139300,95.58,95.58,95.58,95.58,20
1733139360,95.58,95.58,95.58,95.58,422
1733140080,95.58,95.58,95.58,95.58,113
1733140500,95.58,95.58,95.58,95.58,3
1733140620,95.58,95.58,95.58,95.58,482
1733140740,95.58,95.58,95.58,95.58,5
1733140980,95.58,95.58,95.58,95.58,31
1733141100,95.58,95.58,95.58,95.58,228
1733141400,95.58,95.58,95.58,95.58,188
1733141640,95.58,95.58,95.58,95.58,90
1733141820,95.58,95.58,95.58,95.58,2
1733141880,95.58,95.58,95.58,95.58,30
1733141940,95.58,95.58,95.58,95.58,199
1733142300,95.58,95.58,95.58,95.58,515
1733142360,95.58,95.58,95.58,95.58,284
1733142420,95.58,95.58,95.58,95.58,122
1733143200,95.585,95.585,95.585,95.585,1
1733143260,95.585,95.585,95.585,95.585,1
1733144460,95.58,95.58,95.58,95.58,6
1733144520,95.58,95.58,95.58,95.58,501
1733144580,95.58,95.58,95.58,95.58,10
1733144820,95.585,95.585,95.585,95.585,4
1733144880,95.58,95.58,95.58,95.58,10
1733145000,95.58,95.58,95.58,95.58,9
1733145300,95.58,95.58,95.58,95.58,100
1733145420,95.58,95.58,95.58,95.58,1
1733145480,95.58,95.58,95.58,95.58,10
1733145540,95.58,95.58,95.58,95.58,34
1733145720,95.58,95.585,95.58,95.58,24
1733145840,95.58,95.58,95.58,95.58,10
1733145900,95.58,95.58,95.58,95.58,38
1733145960,95.58,95.58,95.58,95.58,1
1733146020,95.58,95.58,95.58,95.58,251
1733146080,95.58,95.58,95.58,95.58,1813
1733146260,95.58,95.58,95.58,95.58,25
1733146500,95.58,95.58,95.58,95.58,3681
1733146560,95.58,95.58,95.58,95.58,712
1733146620,95.58,95.58,95.58,95.58,295
