time,open,high,low,close,Volume
1730439060,95.61,95.61,95.61,95.61,42
1730446200,95.61,95.61,95.61,95.61,1
1730446320,95.61,95.61,95.61,95.61,25
1730446560,95.61,95.61,95.61,95.61,125
1730447100,95.605,95.605,95.605,95.605,5
1730447160,95.605,95.605,95.605,95.605,55
1730447220,95.605,95.605,95.605,95.605,35
1730448900,95.6,95.6,95.6,95.6,1
1730452500,95.6,95.6,95.6,95.6,1
1730453280,95.6,95.6,95.6,95.6,200
1730453580,95.6,95.6,95.6,95.6,29
1730456520,95.605,95.605,95.605,95.605,40
1730456580,95.605,95.605,95.605,95.605,97
1730457540,95.605,95.605,95.605,95.605,12
1730457600,95.605,95.605,95.605,95.605,21
1730459220,95.605,95.605,95.605,95.605,100
1730459280,95.605,95.605,95.605,95.605,265
1730459520,95.605,95.605,95.605,95.605,27
1730459640,95.605,95.605,95.605,95.605,120
1730459700,95.605,95.605,95.605,95.605,1
1730459760,95.605,95.605,95.605,95.605,24
1730459880,95.605,95.605,95.605,95.605,48
1730460060,95.605,95.605,95.605,95.605,66
1730460120,95.605,95.605,95.605,95.605,35
1730460300,95.605,95.605,95.605,95.605,30
1730460480,95.605,95.605,95.605,95.605,10
1730460540,95.605,95.605,95.605,95.605,21
1730460720,95.605,95.605,95.605,95.605,3
1730460900,95.605,95.605,95.605,95.605,88
1730461800,95.6,95.6,95.6,95.6,1513
1730461860,95.6,95.6,95.6,95.6,56
1730461920,95.6,95.605,95.6,95.605,334
1730461980,95.605,95.605,95.605,95.605,165
1730462100,95.6,95.605,95.6,95.605,11
1730462160,95.605,95.605,95.605,95.605,12
1730462220,95.605,95.605,95.605,95.605,4
1730462640,95.605,95.605,95.605,95.605,50
1730462820,95.6,95.6,95.6,95.6,200
1730462880,95.605,95.605,95.605,95.605,58
1730463000,95.6,95.6,95.6,95.6,150
1730463060,95.6,95.6,95.6,95.6,484
1730463120,95.6,95.6,95.6,95.6,1721
1730463180,95.595,95.595,95.595,95.595,73
1730463240,95.6,95.6,95.6,95.6,16
1730463300,95.6,95.6,95.595,95.595,31
1730463420,95.6,95.6,95.6,95.6,50
1730463480,95.595,95.595,95.595,95.595,547
1730463540,95.595,95.595,95.595,95.595,294
1730463600,95.595,95.6,95.595,95.6,106
1730463660,95.595,95.595,95.595,95.595,16
1730463720,95.595,95.595,95.595,95.595,276
1730463780,95.6,95.6,95.595,95.595,51
1730463840,95.595,95.595,95.595,95.595,200
1730463900,95.6,95.6,95.6,95.6,202
1730463960,95.6,95.6,95.6,95.6,103
1730464020,95.6,95.6,95.595,95.595,115
1730464080,95.6,95.6,95.595,95.595,196
1730464140,95.6,95.605,95.59,95.605,159
1730464200,95.605,95.655,95.59,95.645,2506
1730464260,95.645,95.645,95.63,95.63,1619
1730464320,95.63,95.64,95.63,95.64,1053
1730464380,95.645,95.645,95.645,95.645,629
1730464440,95.645,95.645,95.635,95.635,1490
1730464500,95.635,95.635,95.635,95.635,358
1730464560,95.635,95.64,95.635,95.64,843
1730464620,95.64,95.64,95.64,95.64,46
1730464680,95.645,95.65,95.64,95.65,925
1730464740,95.65,95.65,95.65,95.65,507
1730464800,95.65,95.65,95.65,95.65,591
1730464860,95.645,95.645,95.645,95.645,402
1730464920,95.64,95.645,95.64,95.645,50
1730464980,95.64,95.64,95.64,95.64,835
1730465040,95.64,95.64,95.64,95.64,231
1730465100,95.64,95.64,95.64,95.64,88
1730465160,95.64,95.64,95.64,95.64,5
1730465220,95.64,95.64,95.635,95.64,184
1730465280,95.64,95.64,95.64,95.64,204
1730465340,95.64,95.64,95.635,95.635,3614
1730465400,95.635,95.635,95.635,95.635,174
1730465460,95.635,95.635,95.635,95.635,227
1730465520,95.635,95.635,95.635,95.635,1830
1730465580,95.635,95.635,95.635,95.635,3
1730465640,95.635,95.635,95.635,95.635,60
1730465700,95.64,95.64,95.64,95.64,300
1730465820,95.635,95.635,95.635,95.635,1790
1730465880,95.635,95.645,95.635,95.64,7255
1730465940,95.64,95.64,95.64,95.64,925
1730466000,95.64,95.64,95.64,95.64,11
1730466060,95.645,95.645,95.645,95.645,100
1730466240,95.64,95.64,95.64,95.64,2118
1730466300,95.64,95.64,95.64,95.64,571
1730466360,95.64,95.64,95.64,95.64,860
1730466480,95.635,95.635,95.635,95.635,144
1730466540,95.635,95.635,95.635,95.635,430
1730466600,95.635,95.635,95.635,95.635,287
1730466660,95.635,95.635,95.635,95.635,94
1730466720,95.635,95.635,95.635,95.635,18
1730466780,95.64,95.64,95.635,95.635,67
1730466960,95.635,95.635,95.635,95.635,1882
1730467020,95.635,95.635,95.635,95.635,23
1730467140,95.635,95.635,95.635,95.635,25
1730467260,95.635,95.635,95.635,95.635,6
1730467320,95.63,95.63,95.63,95.63,208
1730467380,95.63,95.63,95.63,95.63,23
1730467440,95.635,95.635,95.635,95.635,507
1730467500,95.635,95.635,95.635,95.635,354
1730467560,95.635,95.635,95.635,95.635,104
1730467620,95.635,95.635,95.635,95.635,154
1730467680,95.635,95.635,95.635,95.635,31
1730467740,95.635,95.635,95.635,95.635,140
1730467860,95.635,95.635,95.635,95.635,45
1730467920,95.635,95.635,95.635,95.635,223
1730468040,95.635,95.635,95.635,95.635,300
1730468160,95.635,95.635,95.635,95.635,5
1730468280,95.635,95.635,95.635,95.635,263
1730468460,95.635,95.635,95.635,95.635,218
1730468520,95.64,95.64,95.64,95.64,1
1730468640,95.64,95.64,95.64,95.64,25
1730468760,95.635,95.635,95.635,95.635,103
1730469180,95.635,95.635,95.635,95.635,10
1730469300,95.635,95.635,95.635,95.635,26
1730469360,95.635,95.635,95.635,95.635,500
1730469480,95.635,95.635,95.63,95.635,41
1730469540,95.63,95.635,95.63,95.635,62
1730469600,95.64,95.64,95.635,95.635,295
1730469660,95.635,95.635,95.63,95.63,348
1730469720,95.63,95.63,95.63,95.63,841
1730469840,95.635,95.635,95.63,95.63,844
1730469900,95.63,95.63,95.63,95.63,1065
1730469960,95.635,95.635,95.635,95.635,426
1730470020,95.635,95.635,95.635,95.635,267
1730470080,95.635,95.635,95.635,95.635,9
1730470140,95.635,95.635,95.635,95.635,114
1730470200,95.635,95.635,95.635,95.635,1
1730470260,95.635,95.635,95.635,95.635,58
1730470380,95.635,95.635,95.635,95.635,176
1730470500,95.635,95.635,95.635,95.635,137
1730470560,95.635,95.64,95.635,95.64,70
1730470680,95.635,95.635,95.635,95.635,61
1730470740,95.635,95.635,95.635,95.635,162
1730470800,95.64,95.64,95.635,95.635,126
1730470860,95.635,95.635,95.635,95.635,135
1730471580,95.635,95.635,95.635,95.635,12
1730471640,95.635,95.635,95.635,95.635,4
1730471700,95.635,95.635,95.635,95.635,1
1730471760,95.635,95.635,95.635,95.635,15
1730471820,95.635,95.635,95.635,95.635,337
1730472000,95.635,95.635,95.635,95.635,16
1730472120,95.635,95.635,95.635,95.635,18
1730472240,95.635,95.635,95.635,95.635,7
1730472600,95.635,95.635,95.635,95.635,1336
1730472780,95.635,95.635,95.635,95.635,12
1730472900,95.635,95.635,95.635,95.635,895
1730472960,95.635,95.635,95.635,95.635,275
1730473020,95.635,95.635,95.635,95.635,66
1730473080,95.635,95.635,95.635,95.635,173
1730473140,95.635,95.635,95.635,95.635,31
1730473200,95.635,95.635,95.635,95.635,6
1730473380,95.635,95.635,95.635,95.635,250
1730473500,95.63,95.635,95.63,95.635,4
