time,open,high,low,close,Volume
1733094000,95.645,95.645,95.645,95.645,1
1733094180,95.645,95.645,95.645,95.645,26
1733098380,95.645,95.645,95.645,95.645,28
1733098800,95.645,95.645,95.645,95.645,10
1733098860,95.645,95.645,95.645,95.645,18
1733100600,95.645,95.645,95.645,95.645,724
1733101500,95.645,95.645,95.645,95.645,23
1733101800,95.645,95.645,95.645,95.645,217
1733101860,95.645,95.645,95.645,95.645,395
1733112600,95.645,95.645,95.645,95.645,800
1733120160,95.645,95.645,95.645,95.645,13
1733122140,95.645,95.645,95.645,95.645,12
1733125140,95.645,95.645,95.645,95.645,1191
1733125200,95.645,95.645,95.645,95.645,77
1733126820,95.645,95.645,95.645,95.645,50
1733127900,95.64,95.64,95.64,95.64,2516
1733128380,95.635,95.635,95.635,95.635,65
1733129280,95.64,95.64,95.64,95.64,1
1733129520,95.64,95.64,95.64,95.64,206
1733129640,95.64,95.64,95.64,95.64,367
1733129700,95.64,95.64,95.64,95.64,113
1733130000,95.64,95.64,95.64,95.64,120
1733130540,95.64,95.64,95.64,95.64,1
1733132640,95.635,95.635,95.635,95.635,100
1733132700,95.64,95.64,95.64,95.64,2
1733132880,95.635,95.635,95.635,95.635,3
1733133300,95.635,95.635,95.635,95.635,376
1733133420,95.64,95.64,95.64,95.64,64
1733133600,95.64,95.64,95.64,95.64,140
1733134680,95.635,95.635,95.635,95.635,100
1733135460,95.64,95.64,95.64,95.64,150
1733136960,95.635,95.635,95.635,95.635,100
1733137440,95.635,95.635,95.635,95.635,3
1733138460,95.635,95.635,95.635,95.635,100
1733141160,95.64,95.64,95.64,95.64,28
1733141220,95.64,95.64,95.64,95.64,1
1733143260,95.64,95.64,95.64,95.64,2
1733143800,95.64,95.64,95.64,95.64,38
1733144700,95.64,95.64,95.64,95.64,15
1733145600,95.64,95.64,95.64,95.64,2
1733146080,95.635,95.635,95.635,95.635,1369
1733146260,95.635,95.635,95.635,95.635,1
1733146500,95.635,95.635,95.635,95.635,1472
1733146740,95.63,95.63,95.63,95.63,451
1733146800,95.63,95.63,95.63,95.63,219
1733147400,95.63,95.63,95.63,95.63,164
1733147580,95.635,95.635,95.635,95.635,1
1733148240,95.63,95.63,95.63,95.63,525
1733148300,95.63,95.63,95.63,95.63,1186
1733148600,95.63,95.63,95.63,95.63,60
1733148660,95.63,95.63,95.63,95.63,70
1733148720,95.63,95.63,95.63,95.63,52
1733148780,95.63,95.63,95.63,95.63,647
1733148840,95.63,95.63,95.63,95.63,174
1733149080,95.63,95.63,95.63,95.63,150
1733149200,95.63,95.63,95.63,95.63,177
1733149440,95.63,95.63,95.63,95.63,1
1733149500,95.63,95.63,95.63,95.63,66
1733149680,95.63,95.63,95.63,95.63,66
1733149740,95.63,95.63,95.63,95.63,45
1733149860,95.63,95.63,95.63,95.63,200
1733149980,95.625,95.625,95.625,95.625,68
1733150220,95.625,95.625,95.625,95.625,1
1733150520,95.625,95.625,95.625,95.625,1
1733150760,95.625,95.625,95.625,95.625,9
1733151000,95.625,95.625,95.625,95.625,10
1733151120,95.625,95.625,95.625,95.625,42
1733151360,95.625,95.625,95.625,95.625,117
1733151420,95.625,95.625,95.625,95.625,495
1733151480,95.625,95.625,95.625,95.625,1
1733151540,95.625,95.625,95.625,95.625,19
1733151600,95.62,95.625,95.61,95.625,548
1733151660,95.63,95.63,95.63,95.63,143
1733151780,95.625,95.625,95.625,95.625,505
1733151840,95.625,95.625,95.625,95.625,1203
1733151960,95.63,95.63,95.63,95.63,883
1733152020,95.63,95.63,95.63,95.63,831
1733152080,95.63,95.63,95.63,95.63,1
1733152200,95.625,95.625,95.625,95.625,50
1733152260,95.625,95.625,95.625,95.625,1785
1733152380,95.625,95.625,95.625,95.625,50
1733152440,95.625,95.625,95.62,95.625,108
1733152500,95.625,95.625,95.625,95.625,106
1733152560,95.625,95.625,95.625,95.625,16
1733152620,95.625,95.625,95.625,95.625,712
1733152680,95.625,95.625,95.62,95.62,57
1733152740,95.625,95.625,95.625,95.625,122
1733153040,95.63,95.63,95.63,95.63,202
1733153280,95.63,95.63,95.63,95.63,10
1733153340,95.63,95.63,95.63,95.63,12
1733153460,95.63,95.63,95.63,95.63,2
1733154300,95.63,95.63,95.625,95.625,11863
1733154420,95.625,95.625,95.625,95.625,107
1733154480,95.625,95.625,95.625,95.625,140
1733154540,95.625,95.625,95.625,95.625,444
1733154720,95.63,95.63,95.63,95.63,50
1733154840,95.63,95.63,95.63,95.63,55
1733155320,95.63,95.63,95.63,95.63,2
1733155560,95.63,95.63,95.63,95.63,25
1733155620,95.63,95.63,95.63,95.63,53
1733155980,95.63,95.63,95.63,95.63,200
1733156340,95.63,95.63,95.63,95.63,592
1733156460,95.635,95.635,95.635,95.635,29
1733156520,95.63,95.63,95.63,95.63,509
1733156820,95.63,95.63,95.63,95.63,401
1733157120,95.63,95.63,95.63,95.63,1142
1733157180,95.63,95.63,95.63,95.63,1320
1733157240,95.63,95.63,95.63,95.63,518
1733157360,95.63,95.63,95.63,95.63,429
1733157420,95.63,95.63,95.63,95.63,55
1733157480,95.63,95.63,95.63,95.63,96
1733157660,95.63,95.63,95.63,95.63,1
1733157780,95.63,95.63,95.63,95.63,7
1733157840,95.63,95.63,95.63,95.63,699
1733158200,95.63,95.63,95.63,95.63,86
1733158800,95.63,95.63,95.63,95.63,10
1733158920,95.63,95.63,95.63,95.63,183
1733158980,95.63,95.63,95.63,95.63,92
1733159160,95.63,95.63,95.63,95.63,80
1733159220,95.63,95.63,95.63,95.63,500
1733159340,95.63,95.63,95.63,95.63,600
1733159640,95.63,95.63,95.63,95.63,300
1733160000,95.63,95.63,95.63,95.63,1
1733160480,95.63,95.63,95.63,95.63,255
1733161320,95.625,95.625,95.625,95.625,80
1733162040,95.63,95.63,95.63,95.63,82
1733162160,95.625,95.625,95.625,95.625,30
1733162220,95.625,95.625,95.625,95.625,30
1733162280,95.63,95.63,95.63,95.63,5
1733162400,95.63,95.63,95.63,95.63,200
1733162520,95.625,95.625,95.625,95.625,240
1733162580,95.625,95.625,95.625,95.625,20
1733163300,95.63,95.63,95.62,95.62,4811
1733163360,95.62,95.62,95.62,95.62,1300
1733163480,95.62,95.62,95.62,95.62,403
1733163600,95.62,95.62,95.62,95.62,241
1733164440,95.62,95.62,95.62,95.62,4
1733164560,95.62,95.62,95.62,95.62,5
1733164620,95.62,95.62,95.62,95.62,1
1733164800,95.625,95.625,95.625,95.625,101
1733164980,95.625,95.625,95.625,95.625,10
1733165760,95.625,95.625,95.625,95.625,1
1733166420,95.62,95.62,95.62,95.62,19
1733166660,95.62,95.62,95.62,95.62,1
1733167020,95.62,95.62,95.62,95.62,25
1733167560,95.625,95.625,95.625,95.625,1
1733167680,95.625,95.625,95.625,95.625,1
1733167920,95.62,95.62,95.62,95.62,1
1733167980,95.625,95.625,95.625,95.625,33
1733168100,95.62,95.62,95.62,95.62,20
1733168340,95.625,95.625,95.625,95.625,3
1733169420,95.62,95.62,95.62,95.62,56
1733169600,95.625,95.625,95.625,95.625,61
1733170440,95.625,95.625,95.625,95.625,7
1733170500,95.625,95.645,95.62,95.645,8622
1733170560,95.645,95.655,95.645,95.65,1078
1733170620,95.65,95.65,95.645,95.65,816
1733170680,95.645,95.65,95.645,95.65,191
1733170740,95.65,95.655,95.65,95.655,1034
1733170800,95.655,95.655,95.655,95.655,1168
1733170860,95.65,95.65,95.65,95.65,111
1733170920,95.655,95.655,95.655,95.655,58
1733171040,95.655,95.66,95.655,95.66,1599
1733171160,95.655,95.655,95.655,95.655,16
1733171220,95.655,95.655,95.655,95.655,21
1733171280,95.66,95.66,95.66,95.66,261
1733171340,95.66,95.66,95.66,95.66,1392
1733171400,95.66,95.66,95.66,95.66,570
1733171460,95.66,95.66,95.66,95.66,31
1733171520,95.66,95.66,95.66,95.66,4
1733171580,95.66,95.66,95.66,95.66,10
1733171700,95.66,95.66,95.66,95.66,1
1733171760,95.655,95.655,95.655,95.655,424
1733171820,95.655,95.655,95.655,95.655,350
1733171880,95.655,95.655,95.655,95.655,3
1733171940,95.655,95.655,95.655,95.655,320
1733172000,95.655,95.655,95.655,95.655,227
1733172060,95.655,95.655,95.655,95.655,160
1733172120,95.65,95.65,95.65,95.65,1700
1733172420,95.65,95.65,95.65,95.65,300
1733172480,95.65,95.65,95.65,95.65,13
1733172600,95.65,95.65,95.65,95.65,240
1733172780,95.655,95.655,95.655,95.655,88
1733173200,95.65,95.65,95.65,95.65,30
1733173260,95.65,95.65,95.645,95.65,2050
1733173620,95.65,95.65,95.65,95.65,353
1733173680,95.65,95.65,95.65,95.65,33
1733173740,95.65,95.65,95.65,95.65,25
1733173800,95.65,95.65,95.65,95.65,1554
1733173860,95.65,95.65,95.65,95.65,2
1733173920,95.65,95.65,95.65,95.65,2
1733173980,95.65,95.65,95.65,95.65,211
1733174040,95.65,95.65,95.65,95.65,68
1733174100,95.65,95.65,95.65,95.65,28
1733174160,95.65,95.65,95.65,95.65,7
1733174700,95.65,95.65,95.65,95.65,71
1733174760,95.65,95.65,95.65,95.65,284
1733174880,95.65,95.65,95.65,95.65,22
1733175000,95.65,95.65,95.65,95.65,37
1733175060,95.65,95.65,95.65,95.65,175
1733175120,95.65,95.65,95.65,95.65,63
1733175180,95.65,95.65,95.65,95.65,43
1733175240,95.65,95.65,95.65,95.65,337
1733175660,95.65,95.65,95.65,95.65,4
1733176260,95.65,95.65,95.65,95.65,2
1733176440,95.655,95.655,95.655,95.655,1
1733176740,95.65,95.65,95.65,95.65,4
1733180400,95.655,95.655,95.655,95.655,100
1733180460,95.655,95.655,95.655,95.655,33
1733180640,95.655,95.655,95.655,95.655,55
1733180820,95.655,95.655,95.655,95.655,167
1733181060,95.655,95.655,95.655,95.655,200
1733181480,95.655,95.655,95.655,95.655,226
1733181540,95.655,95.655,95.655,95.655,150
1733181600,95.655,95.655,95.655,95.655,21
1733181840,95.655,95.655,95.655,95.655,47
1733184240,95.655,95.655,95.655,95.655,23
1733184300,95.655,95.655,95.655,95.655,6
1733188500,95.655,95.655,95.655,95.655,36
1733191680,95.655,95.655,95.655,95.655,4
1733193240,95.655,95.655,95.655,95.655,4
1733196000,95.655,95.655,95.655,95.655,16
1733196960,95.655,95.655,95.655,95.655,8
1733197440,95.655,95.655,95.655,95.655,146
1733197500,95.655,95.655,95.655,95.655,25
1733197620,95.655,95.655,95.655,95.655,30
1733197860,95.655,95.655,95.655,95.655,231
1733197920,95.655,95.655,95.655,95.655,200
1733202600,95.65,95.65,95.65,95.65,45
1733205360,95.65,95.65,95.65,95.65,65
1733208120,95.655,95.655,95.655,95.655,8
1733208660,95.655,95.655,95.655,95.655,3
1733208840,95.655,95.655,95.655,95.655,231
1733209560,95.655,95.655,95.655,95.655,8
1733211360,95.65,95.65,95.65,95.65,75
1733211600,95.65,95.65,95.65,95.65,100
1733212080,95.655,95.655,95.655,95.655,1000
1733212140,95.655,95.655,95.655,95.655,200
1733212800,95.655,95.655,95.655,95.655,39
1733213280,95.65,95.65,95.65,95.65,50
1733213520,95.65,95.65,95.65,95.65,141
1733214300,95.655,95.655,95.655,95.655,123
1733215260,95.65,95.65,95.65,95.65,20
1733215320,95.65,95.65,95.65,95.65,1197
1733215620,95.65,95.65,95.65,95.65,11
1733215680,95.645,95.645,95.645,95.645,1021
1733215980,95.65,95.65,95.65,95.65,13
1733216040,95.65,95.65,95.65,95.65,9
1733216100,95.65,95.65,95.65,95.65,382
1733216880,95.65,95.65,95.65,95.65,42
1733217240,95.65,95.65,95.65,95.65,3
1733217780,95.65,95.65,95.65,95.65,25
1733218560,95.65,95.65,95.65,95.65,500
1733219460,95.65,95.65,95.65,95.65,77
1733223120,95.65,95.65,95.65,95.65,150
1733224080,95.65,95.65,95.65,95.65,200
1733224140,95.65,95.65,95.65,95.65,603
1733224320,95.65,95.65,95.65,95.65,38
1733224920,95.65,95.65,95.65,95.65,1
1733225040,95.65,95.65,95.65,95.65,33
1733225100,95.65,95.65,95.65,95.65,5
1733226240,95.65,95.65,95.65,95.65,219
1733226360,95.65,95.65,95.65,95.65,291
1733226600,95.65,95.65,95.65,95.65,25
1733226840,95.65,95.65,95.65,95.65,555
1733226900,95.65,95.65,95.65,95.65,220
1733227260,95.65,95.65,95.65,95.65,134
1733227320,95.65,95.65,95.65,95.65,37
1733227380,95.65,95.65,95.65,95.65,9
1733227500,95.65,95.65,95.65,95.65,121
1733227560,95.65,95.65,95.65,95.65,317
1733227800,95.65,95.65,95.65,95.65,18
1733228100,95.65,95.65,95.65,95.65,13
1733228340,95.65,95.65,95.65,95.65,15
1733229420,95.65,95.65,95.65,95.65,1063
1733230080,95.65,95.65,95.65,95.65,55
1733230560,95.65,95.65,95.65,95.65,29
1733230860,95.65,95.65,95.65,95.65,5
1733230920,95.65,95.65,95.65,95.65,9
1733231040,95.65,95.65,95.65,95.65,2
1733231100,95.65,95.65,95.65,95.65,1
1733232000,95.655,95.655,95.655,95.655,2
1733232240,95.655,95.655,95.655,95.655,22
1733232300,95.655,95.655,95.655,95.655,4
1733232480,95.655,95.655,95.655,95.655,208
1733232600,95.655,95.655,95.655,95.655,15
1733232660,95.655,95.655,95.655,95.655,9
1733232720,95.655,95.655,95.655,95.655,7
1733232840,95.655,95.655,95.655,95.655,943
1733232960,95.655,95.655,95.655,95.655,271
1733233020,95.655,95.655,95.655,95.655,100
1733233080,95.655,95.655,95.655,95.655,18
1733233140,95.655,95.655,95.655,95.655,29
1733233740,95.655,95.655,95.655,95.655,803
1733233800,95.66,95.665,95.66,95.665,23464
1733233860,95.665,95.665,95.665,95.665,393
