time,open,high,low,close,Volume
1735776000,95.695,95.695,95.695,95.695,8
1735779060,95.695,95.695,95.695,95.695,4
1735782960,95.7,95.7,95.7,95.7,2
1735791060,95.7,95.7,95.7,95.7,1
1735793640,95.695,95.695,95.695,95.695,13
1735796760,95.7,95.7,95.7,95.7,2
1735796820,95.7,95.7,95.7,95.7,3
1735805100,95.695,95.695,95.695,95.695,208
1735805880,95.7,95.7,95.7,95.7,300
1735807140,95.7,95.7,95.7,95.7,100
1735807200,95.7,95.7,95.7,95.7,100
1735807320,95.7,95.7,95.7,95.7,31
1735807380,95.695,95.695,95.695,95.695,58
1735808160,95.7,95.7,95.7,95.7,18
1735810020,95.7,95.7,95.7,95.7,50
1735812240,95.695,95.695,95.695,95.695,72
1735814760,95.7,95.7,95.7,95.7,240
1735815720,95.7,95.7,95.7,95.7,29
1735822140,95.7,95.7,95.7,95.7,38
1735822500,95.7,95.7,95.7,95.7,25
1735823640,95.695,95.695,95.695,95.695,55
1735824000,95.7,95.7,95.7,95.7,2
1735824540,95.7,95.7,95.7,95.7,5
1735825680,95.695,95.695,95.695,95.695,50
1735825740,95.7,95.7,95.7,95.7,50
1735827120,95.695,95.695,95.695,95.695,29
1735827540,95.695,95.695,95.695,95.695,40
1735828200,95.7,95.7,95.7,95.7,1
1735828380,95.7,95.7,95.7,95.7,40
1735828920,95.7,95.7,95.7,95.7,1
1735829340,95.7,95.7,95.7,95.7,2
1735829700,95.7,95.7,95.7,95.7,1
1735829940,95.695,95.695,95.695,95.695,1
1735830780,95.7,95.7,95.7,95.7,1
1735831860,95.695,95.695,95.695,95.695,2
1735833480,95.695,95.695,95.695,95.695,78
1735833540,95.695,95.695,95.695,95.695,100
1735835040,95.7,95.7,95.7,95.7,300
1735837020,95.695,95.695,95.695,95.695,100
1735837200,95.695,95.695,95.695,95.695,1
1735840140,95.695,95.695,95.695,95.695,3
1735840680,95.695,95.695,95.695,95.695,4
1735841640,95.7,95.7,95.695,95.695,36
1735846740,95.7,95.7,95.7,95.7,2
1735847400,95.695,95.695,95.695,95.695,90
1735847820,95.7,95.7,95.7,95.7,150
1735847880,95.7,95.7,95.7,95.7,50
1735848240,95.7,95.7,95.7,95.7,973
1735848840,95.7,95.7,95.695,95.695,23
1735849320,95.7,95.7,95.7,95.7,5
1735850820,95.7,95.7,95.7,95.7,41
1735852020,95.695,95.695,95.695,95.695,10
1735852380,95.7,95.7,95.7,95.7,1
1735853640,95.7,95.7,95.7,95.7,99
1735854000,95.7,95.7,95.7,95.7,2
1735854060,95.7,95.7,95.7,95.7,1
1735854600,95.7,95.7,95.7,95.7,57
1735854900,95.7,95.7,95.7,95.7,800
1735854960,95.7,95.7,95.7,95.7,83
1735855140,95.695,95.7,95.695,95.7,950
1735872660,95.7,95.7,95.7,95.7,367
1735874940,95.7,95.7,95.7,95.7,1
1735875060,95.7,95.7,95.7,95.7,2
1735875240,95.7,95.7,95.7,95.7,3
1735875660,95.7,95.7,95.7,95.7,1
1735890360,95.7,95.7,95.7,95.7,500
1735890540,95.7,95.7,95.7,95.7,22
1735891800,95.7,95.7,95.7,95.7,250
1735891980,95.7,95.7,95.7,95.7,250
1735893000,95.7,95.7,95.7,95.7,894
1735893420,95.7,95.7,95.7,95.7,18
1735893480,95.7,95.7,95.7,95.7,13
1735893540,95.7,95.7,95.7,95.7,20
