time,open,high,low,close,Volume
1730439060,95.755,95.755,95.755,95.755,6
1730439480,95.75,95.75,95.75,95.75,7
1730440920,95.75,95.75,95.75,95.75,1
1730444520,95.75,95.75,95.75,95.75,47
1730445840,95.75,95.75,95.75,95.75,15
1730446200,95.75,95.755,95.75,95.755,12
1730446680,95.75,95.75,95.75,95.75,283
1730447700,95.745,95.745,95.745,95.745,126
1730448240,95.745,95.745,95.745,95.745,111
1730448840,95.745,95.745,95.745,95.745,14
1730448900,95.74,95.74,95.74,95.74,2
1730449140,95.745,95.745,95.745,95.745,6
1730451900,95.745,95.745,95.745,95.745,100
1730453880,95.745,95.745,95.745,95.745,3
1730453940,95.745,95.745,95.745,95.745,500
1730454000,95.745,95.745,95.745,95.745,103
1730454060,95.745,95.745,95.745,95.745,45
1730454120,95.745,95.745,95.745,95.745,126
1730456520,95.745,95.745,95.745,95.745,43
1730456580,95.745,95.745,95.745,95.745,90
1730456640,95.745,95.745,95.745,95.745,20
1730456700,95.745,95.745,95.745,95.745,15
1730456820,95.745,95.745,95.745,95.745,76
1730456880,95.745,95.745,95.745,95.745,12
1730456940,95.745,95.745,95.745,95.745,9
1730457000,95.745,95.745,95.745,95.745,3
1730457060,95.745,95.745,95.745,95.745,5
1730457120,95.745,95.745,95.745,95.745,53
1730457180,95.745,95.745,95.745,95.745,18
1730457240,95.745,95.745,95.745,95.745,5
1730457540,95.745,95.745,95.745,95.745,54
1730457600,95.745,95.745,95.745,95.745,673
1730457660,95.745,95.745,95.745,95.745,1
1730457720,95.745,95.745,95.745,95.745,1
1730458080,95.745,95.745,95.745,95.745,62
1730458140,95.745,95.745,95.745,95.745,353
1730458200,95.745,95.745,95.745,95.745,77
1730458260,95.745,95.745,95.745,95.745,135
1730458440,95.745,95.745,95.745,95.745,13
1730458500,95.745,95.745,95.745,95.745,75
1730458560,95.745,95.745,95.745,95.745,3
1730458800,95.745,95.745,95.745,95.745,17
1730459040,95.745,95.745,95.745,95.745,15
1730459220,95.745,95.745,95.745,95.745,24
1730459520,95.745,95.745,95.745,95.745,63
1730459640,95.745,95.745,95.745,95.745,53
1730459700,95.745,95.745,95.745,95.745,61
1730459760,95.745,95.745,95.745,95.745,2
1730459820,95.745,95.745,95.745,95.745,208
1730460060,95.745,95.745,95.745,95.745,545
1730460120,95.745,95.745,95.745,95.745,4
1730460180,95.745,95.745,95.745,95.745,201
1730460240,95.745,95.745,95.745,95.745,2
1730460360,95.745,95.745,95.745,95.745,4
1730460480,95.745,95.745,95.745,95.745,3
1730461080,95.74,95.74,95.74,95.74,16
1730461800,95.74,95.74,95.74,95.74,194
1730461860,95.74,95.74,95.74,95.74,1
1730461920,95.74,95.74,95.74,95.74,9
1730462100,95.74,95.745,95.74,95.745,38
1730462280,95.74,95.74,95.74,95.74,5
1730462640,95.74,95.74,95.74,95.74,143
1730462700,95.74,95.74,95.74,95.74,41
1730462760,95.74,95.74,95.74,95.74,25
1730462880,95.74,95.74,95.74,95.74,9
1730462940,95.74,95.74,95.74,95.74,346
1730463120,95.735,95.735,95.735,95.735,32
1730463240,95.735,95.735,95.735,95.735,18
1730463300,95.735,95.735,95.735,95.735,15
1730463360,95.735,95.735,95.735,95.735,1
1730463420,95.735,95.735,95.735,95.735,45
1730463480,95.73,95.73,95.73,95.73,9
1730463600,95.735,95.735,95.735,95.735,15
1730463720,95.73,95.73,95.73,95.73,202
1730463780,95.73,95.73,95.73,95.73,12
1730463840,95.73,95.73,95.73,95.73,44
1730463900,95.735,95.735,95.735,95.735,302
1730463960,95.73,95.735,95.73,95.735,299
1730464020,95.73,95.735,95.73,95.73,24
1730464080,95.735,95.735,95.735,95.735,7
1730464140,95.735,95.74,95.73,95.73,309
1730464200,95.73,95.81,95.715,95.8,1550
1730464260,95.8,95.8,95.78,95.78,518
1730464320,95.785,95.795,95.785,95.795,325
1730464380,95.8,95.805,95.8,95.8,337
1730464440,95.8,95.8,95.79,95.79,408
1730464500,95.79,95.79,95.785,95.79,309
1730464560,95.795,95.8,95.79,95.8,280
1730464620,95.8,95.8,95.795,95.8,540
1730464680,95.8,95.81,95.8,95.81,249
1730464740,95.81,95.815,95.81,95.815,180
1730464800,95.81,95.81,95.81,95.81,72
1730464860,95.81,95.81,95.8,95.8,101
1730464920,95.8,95.8,95.795,95.795,163
1730464980,95.795,95.795,95.79,95.79,84
1730465040,95.79,95.795,95.79,95.795,232
1730465100,95.8,95.8,95.795,95.8,233
1730465160,95.795,95.795,95.795,95.795,76
1730465220,95.795,95.795,95.79,95.79,117
1730465280,95.795,95.795,95.79,95.795,90
1730465340,95.795,95.795,95.79,95.79,214
1730465400,95.79,95.79,95.79,95.79,70
1730465460,95.79,95.795,95.79,95.795,63
1730465520,95.795,95.795,95.795,95.795,121
1730465580,95.795,95.795,95.795,95.795,12
