time,open,high,low,close,Volume
1727763840,96.18,96.18,96.18,96.18,40
1727764140,96.18,96.18,96.18,96.18,298
1727764200,96.18,96.18,96.18,96.18,4
1727764320,96.18,96.18,96.18,96.18,20
1727764920,96.185,96.185,96.185,96.185,119
1727764980,96.185,96.185,96.185,96.185,60
1727765100,96.185,96.185,96.185,96.185,1
1727765400,96.185,96.185,96.185,96.185,160
1727765460,96.185,96.185,96.185,96.185,156
1727765520,96.185,96.185,96.185,96.185,137
1727765880,96.185,96.185,96.185,96.185,22
1727765940,96.185,96.185,96.185,96.185,27
1727766000,96.185,96.185,96.185,96.185,481
1727766240,96.19,96.19,96.19,96.19,65
1727766480,96.19,96.19,96.19,96.19,10
1727766600,96.195,96.195,96.195,96.195,3
1727767020,96.195,96.195,96.195,96.195,2
1727767080,96.195,96.195,96.195,96.195,16
1727767320,96.195,96.195,96.195,96.195,31
1727768100,96.19,96.19,96.19,96.19,51
1727768640,96.19,96.19,96.19,96.19,95
1727768760,96.195,96.195,96.195,96.195,3
1727769300,96.19,96.19,96.19,96.19,63
1727769420,96.19,96.19,96.19,96.19,22
1727769960,96.195,96.195,96.195,96.195,1
1727770020,96.195,96.195,96.195,96.195,2
1727770320,96.195,96.195,96.195,96.195,59
1727770380,96.195,96.195,96.195,96.195,6
1727770500,96.195,96.195,96.195,96.195,11
1727770560,96.195,96.195,96.195,96.195,10
1727771880,96.195,96.195,96.195,96.195,1
1727772120,96.195,96.195,96.195,96.195,99
1727772420,96.195,96.195,96.195,96.195,70
1727772480,96.195,96.195,96.195,96.195,149
1727772660,96.195,96.195,96.195,96.195,67
1727773440,96.2,96.2,96.2,96.2,16
1727773620,96.2,96.2,96.2,96.2,2
1727773680,96.2,96.2,96.2,96.2,36
1727774160,96.2,96.2,96.2,96.2,6
1727775180,96.195,96.195,96.195,96.195,96
1727775420,96.2,96.2,96.2,96.2,300
1727775480,96.2,96.2,96.2,96.2,210
1727775840,96.2,96.2,96.2,96.2,2
1727775960,96.2,96.2,96.2,96.2,253
1727776080,96.2,96.2,96.2,96.2,50
1727777580,96.2,96.2,96.2,96.2,50
