time,open,high,low,close,Volume
1725228000,95.955,95.955,95.95,95.95,36
1725228060,95.95,95.95,95.95,95.95,4
1725232080,95.95,95.95,95.95,95.95,9
1725232140,95.95,95.95,95.95,95.95,1
1725234300,95.95,95.95,95.95,95.95,4
1725235560,95.945,95.945,95.945,95.945,13
1725237900,95.95,95.95,95.95,95.95,1
1725238140,95.95,95.95,95.95,95.95,1
1725239520,95.945,95.945,95.945,95.945,5
1725240000,95.945,95.945,95.945,95.945,2
1725240120,95.945,95.945,95.945,95.945,2
1725247200,95.945,95.945,95.945,95.945,3
1725247560,95.945,95.945,95.945,95.945,1
1725253560,95.94,95.94,95.94,95.94,1
1725259740,95.94,95.94,95.94,95.94,1
1725260100,95.94,95.94,95.94,95.94,1
1725260520,95.94,95.94,95.94,95.94,4
1725260640,95.94,95.94,95.94,95.94,3
1725261660,95.94,95.94,95.94,95.94,2
1725263460,95.94,95.94,95.94,95.94,7
1725263760,95.94,95.94,95.94,95.94,1
1725263880,95.94,95.94,95.94,95.94,2
1725264000,95.94,95.94,95.94,95.94,11
1725268980,95.935,95.935,95.935,95.935,28
1725269400,95.935,95.935,95.935,95.935,1
1725271740,95.94,95.94,95.94,95.94,150
1725274020,95.94,95.94,95.94,95.94,2
1725274620,95.94,95.94,95.94,95.94,7
1725275580,95.94,95.94,95.94,95.94,3
1725276060,95.94,95.94,95.94,95.94,3
1725279300,95.94,95.945,95.94,95.945,224
1725279360,95.95,95.95,95.945,95.945,20
1725279480,95.945,95.945,95.945,95.945,7
1725279540,95.945,95.945,95.945,95.945,3
1725280380,95.945,95.945,95.945,95.945,10
1725281220,95.945,95.945,95.945,95.945,2
1725285960,95.94,95.945,95.94,95.945,1133
1725296100,95.94,95.94,95.94,95.94,2
1725314400,95.945,95.945,95.945,95.945,2
1725314520,95.94,95.94,95.94,95.94,16
1725314580,95.94,95.94,95.94,95.94,3
1725315960,95.945,95.945,95.945,95.945,5
1725320040,95.945,95.945,95.945,95.945,9
1725320280,95.945,95.945,95.945,95.945,8
1725320700,95.945,95.945,95.945,95.945,3
1725322200,95.94,95.94,95.94,95.94,2
1725322980,95.94,95.94,95.94,95.94,36
1725323040,95.94,95.94,95.94,95.94,9
1725325200,95.94,95.94,95.94,95.94,8
1725325560,95.94,95.94,95.94,95.94,6
1725325620,95.94,95.94,95.94,95.94,16
1725330840,95.94,95.94,95.94,95.94,24
1725336120,95.94,95.94,95.94,95.94,1
1725339960,95.94,95.94,95.94,95.94,27
1725343200,95.94,95.94,95.94,95.94,7
1725343860,95.94,95.94,95.94,95.94,5
1725344100,95.94,95.94,95.94,95.94,6
1725344280,95.94,95.94,95.94,95.94,6
1725344580,95.94,95.94,95.94,95.94,1
1725344700,95.94,95.94,95.94,95.94,2
1725344760,95.94,95.94,95.94,95.94,1
1725349440,95.94,95.94,95.94,95.94,2
1725353340,95.94,95.94,95.94,95.94,262
1725353580,95.94,95.94,95.94,95.94,2
1725353700,95.94,95.94,95.94,95.94,12
1725353760,95.94,95.94,95.94,95.94,5
1725355620,95.945,95.945,95.945,95.945,174
1725356640,95.945,95.945,95.945,95.945,10
1725356820,95.945,95.945,95.945,95.945,2
1725356940,95.945,95.945,95.945,95.945,19
1725357540,95.94,95.94,95.94,95.94,26
1725358020,95.94,95.94,95.94,95.94,160
1725358860,95.94,95.94,95.94,95.94,19
1725358920,95.94,95.94,95.94,95.94,6
1725359220,95.94,95.94,95.94,95.94,2
1725359280,95.94,95.94,95.94,95.94,5
1725359340,95.94,95.94,95.94,95.94,7
1725359400,95.94,95.94,95.94,95.94,1
1725359640,95.94,95.94,95.94,95.94,19
1725360000,95.945,95.945,95.945,95.945,1
1725362220,95.945,95.945,95.945,95.945,346
1725362580,95.94,95.94,95.94,95.94,10
1725362760,95.94,95.94,95.94,95.94,2
1725362820,95.94,95.94,95.94,95.94,1
1725362880,95.94,95.94,95.94,95.94,83
1725362940,95.94,95.94,95.94,95.94,7
1725363000,95.94,95.94,95.94,95.94,7
1725363360,95.94,95.94,95.94,95.94,2
1725363420,95.94,95.94,95.94,95.94,7
1725363720,95.94,95.94,95.94,95.94,4
1725364020,95.935,95.935,95.935,95.935,67
1725364080,95.935,95.935,95.935,95.935,30
1725364140,95.935,95.935,95.935,95.935,24
1725364320,95.935,95.935,95.935,95.935,1
1725364380,95.935,95.935,95.935,95.935,4
1725364440,95.935,95.935,95.935,95.935,12
1725364620,95.94,95.94,95.935,95.935,22
1725364680,95.94,95.94,95.94,95.94,12
1725364800,95.94,95.94,95.94,95.94,23
1725364860,95.94,95.94,95.94,95.94,14
1725364920,95.94,95.94,95.94,95.94,6
1725365580,95.945,95.945,95.945,95.945,27
1725365640,95.945,95.945,95.945,95.945,2
1725365880,95.94,95.94,95.94,95.94,25
1725366000,95.94,95.94,95.935,95.935,22
1725366120,95.935,95.935,95.935,95.935,53
1725366360,95.935,95.935,95.935,95.935,71
1725366420,95.935,95.935,95.935,95.935,15
1725366480,95.935,95.935,95.935,95.935,14
1725366660,95.935,95.935,95.935,95.935,23
1725366780,95.94,95.94,95.94,95.94,321
1725367080,95.945,95.945,95.945,95.945,35
1725367140,95.945,95.945,95.945,95.945,5
1725367260,95.95,95.95,95.95,95.95,474
1725367320,95.95,95.95,95.95,95.95,18
1725367680,95.955,95.955,95.955,95.955,48
1725367740,95.955,95.955,95.955,95.955,2
1725367920,95.955,95.955,95.955,95.955,5
1725368340,95.955,95.955,95.955,95.955,8
1725368460,95.955,95.955,95.955,95.955,125
1725368520,95.96,95.96,95.96,95.96,16
1725368580,95.96,95.96,95.96,95.96,16
1725368640,95.96,95.96,95.96,95.96,1
1725368700,95.96,95.96,95.96,95.96,16
1725368820,95.965,95.965,95.965,95.965,3
1725368940,95.965,95.965,95.965,95.965,237
1725369000,95.97,95.97,95.97,95.97,24
1725369120,95.97,95.97,95.97,95.97,224
1725369180,95.97,95.975,95.97,95.975,48
1725369240,95.98,95.98,95.98,95.98,116
1725369300,95.975,95.975,95.975,95.975,47
1725369360,95.975,95.975,95.975,95.975,1
1725369420,95.975,95.975,95.975,95.975,3
1725369480,95.975,95.975,95.975,95.975,5
1725369540,95.975,95.975,95.975,95.975,2
1725369600,95.975,95.975,95.975,95.975,23
1725369720,95.975,95.975,95.975,95.975,50
1725369780,95.975,95.975,95.975,95.975,47
1725369840,95.975,95.975,95.975,95.975,6
1725369900,95.975,95.975,95.975,95.975,9
1725370140,95.98,95.98,95.98,95.98,50
1725370200,95.98,95.98,95.975,95.975,24
1725370260,95.975,95.975,95.975,95.975,11
1725370380,95.975,95.975,95.975,95.975,56
1725370500,95.98,95.985,95.98,95.985,20
1725370560,95.98,95.98,95.98,95.98,74
1725370620,95.98,95.98,95.98,95.98,15
1725370680,95.975,95.975,95.975,95.975,33
1725370860,95.98,95.98,95.98,95.98,44
1725370980,95.975,95.975,95.975,95.975,8
1725371040,95.975,95.975,95.975,95.975,24
1725371100,95.975,95.975,95.975,95.975,7
1725371220,95.98,95.98,95.98,95.98,85
1725371340,95.98,95.98,95.98,95.98,31
1725371400,95.98,95.98,95.98,95.98,18
1725371460,95.98,95.98,95.98,95.98,15
1725371520,95.98,95.98,95.98,95.98,29
1725371580,95.985,95.985,95.985,95.985,6
1725371700,95.98,95.98,95.98,95.98,23
1725371760,95.98,95.98,95.98,95.98,44
1725371880,95.985,95.985,95.985,95.985,1
1725371940,95.98,95.985,95.98,95.985,423
1725372000,95.99,96.025,95.97,95.98,183
1725372060,95.98,95.985,95.975,95.985,49
1725372120,95.985,95.995,95.985,95.995,220
1725372180,95.995,95.995,95.995,95.995,67
1725372240,95.995,95.995,95.99,95.995,106
1725372300,95.995,96,95.995,96,91
1725372360,95.995,96,95.995,95.995,58
1725372420,96,96,96,96,45
1725372480,95.995,95.995,95.995,95.995,43
1725372540,95.995,95.995,95.995,95.995,2
1725372600,95.995,96.005,95.995,96.005,226
1725372660,96,96,96,96,70
1725372720,96,96,96,96,29
1725372780,95.995,95.995,95.995,95.995,13
1725372900,96,96,95.995,96,58
1725372960,95.995,95.995,95.995,95.995,25
1725373020,95.995,95.995,95.995,95.995,2
1725373080,95.99,95.99,95.99,95.99,24
1725373140,95.99,95.99,95.985,95.99,61
1725373200,95.99,95.99,95.99,95.99,26
1725373260,95.99,95.99,95.99,95.99,33
1725373320,95.99,95.99,95.99,95.99,32
1725373500,95.985,95.99,95.985,95.99,42
1725373560,95.99,95.99,95.99,95.99,43
