time,open,high,low,close,Volume
1733094300,95.7,95.7,95.7,95.7,3
1733096160,95.7,95.7,95.7,95.7,3
1733098380,95.695,95.695,95.695,95.695,2
1733101800,95.695,95.695,95.695,95.695,117
1733106420,95.69,95.69,95.69,95.69,19
1733106840,95.695,95.695,95.695,95.695,24
1733112360,95.695,95.695,95.695,95.695,174
1733114100,95.695,95.695,95.695,95.695,14
1733114460,95.695,95.695,95.695,95.695,75
1733116200,95.695,95.695,95.695,95.695,15
1733117460,95.695,95.695,95.695,95.695,17
1733117640,95.695,95.695,95.695,95.695,61
1733118480,95.695,95.695,95.695,95.695,3
1733120100,95.695,95.695,95.695,95.695,15
1733125140,95.695,95.695,95.695,95.695,23
1733125980,95.695,95.695,95.695,95.695,95
1733127900,95.69,95.69,95.69,95.69,105
1733128680,95.69,95.69,95.69,95.69,70
1733128740,95.69,95.69,95.69,95.69,20
1733129100,95.69,95.69,95.69,95.69,11
1733129220,95.69,95.69,95.69,95.69,6
1733131260,95.69,95.69,95.69,95.69,21
1733131380,95.69,95.69,95.69,95.69,15
1733131620,95.69,95.69,95.69,95.69,8
1733131680,95.69,95.69,95.69,95.69,10
1733132100,95.69,95.69,95.69,95.69,8
1733133420,95.69,95.69,95.69,95.69,7
1733133600,95.69,95.69,95.69,95.69,200
1733133660,95.69,95.69,95.69,95.69,14
1733133720,95.69,95.69,95.69,95.69,8
1733133900,95.69,95.69,95.69,95.69,9
1733134260,95.69,95.69,95.69,95.69,1
1733134680,95.69,95.69,95.69,95.69,1
1733135280,95.69,95.69,95.69,95.69,11
1733136900,95.69,95.69,95.69,95.69,36
1733136960,95.69,95.69,95.69,95.69,10
1733137440,95.685,95.685,95.685,95.685,10
1733137560,95.69,95.69,95.69,95.69,1
1733139180,95.69,95.69,95.69,95.69,9
1733139420,95.69,95.69,95.69,95.69,7
1733141220,95.695,95.695,95.695,95.695,3
1733141400,95.69,95.69,95.69,95.69,66
1733141640,95.69,95.69,95.69,95.69,11
1733141820,95.69,95.69,95.69,95.69,19
1733141880,95.69,95.69,95.69,95.69,1
1733142600,95.69,95.69,95.69,95.69,80
1733143560,95.69,95.69,95.69,95.69,33
1733144040,95.69,95.69,95.69,95.69,6
1733144700,95.69,95.69,95.69,95.69,190
1733144820,95.69,95.69,95.69,95.69,73
1733144940,95.69,95.69,95.69,95.69,15
1733145420,95.69,95.69,95.69,95.69,18
1733146080,95.685,95.685,95.685,95.685,339
1733146500,95.685,95.685,95.685,95.685,169
1733146740,95.68,95.68,95.68,95.68,31
1733146800,95.68,95.68,95.68,95.68,39
1733147100,95.68,95.68,95.68,95.68,21
1733147160,95.68,95.68,95.68,95.68,6
1733147400,95.68,95.68,95.68,95.68,17
1733147700,95.68,95.68,95.68,95.68,31
1733147760,95.68,95.68,95.68,95.68,32
1733147820,95.68,95.68,95.68,95.68,28
1733147880,95.68,95.68,95.68,95.68,31
1733147940,95.68,95.68,95.68,95.68,9
1733148180,95.68,95.68,95.68,95.68,5
1733148240,95.68,95.68,95.68,95.68,180
1733148300,95.675,95.675,95.675,95.675,5
1733148660,95.68,95.68,95.68,95.68,34
1733148780,95.68,95.68,95.68,95.68,41
1733148840,95.68,95.68,95.68,95.68,8
1733148960,95.68,95.68,95.68,95.68,8
