time,open,high,low,close,Volume
1735772400,95.74,95.74,95.74,95.74,6
1735772520,95.74,95.74,95.74,95.74,3
1735782960,95.74,95.74,95.74,95.74,82
1735783980,95.74,95.74,95.74,95.74,7
1735792860,95.74,95.74,95.74,95.74,100
1735804740,95.745,95.745,95.745,95.745,202
1735805100,95.74,95.74,95.74,95.74,628
1735807320,95.745,95.745,95.745,95.745,88
1735807380,95.74,95.74,95.74,95.74,48
1735808160,95.745,95.745,95.745,95.745,130
1735811460,95.745,95.745,95.745,95.745,68
1735811820,95.745,95.745,95.745,95.745,150
1735813500,95.745,95.745,95.745,95.745,63
1735813740,95.745,95.745,95.745,95.745,1
1735814760,95.745,95.745,95.745,95.745,1
1735814940,95.745,95.745,95.745,95.745,150
1735815720,95.745,95.745,95.745,95.745,14
1735819740,95.74,95.74,95.74,95.74,409
1735820640,95.74,95.74,95.74,95.74,1
1735820820,95.74,95.74,95.74,95.74,60
1735820940,95.74,95.74,95.74,95.74,60
1735821000,95.74,95.74,95.74,95.74,3
1735821240,95.745,95.745,95.745,95.745,2
1735822140,95.745,95.745,95.745,95.745,71
1735822500,95.745,95.745,95.745,95.745,13
1735824540,95.745,95.745,95.745,95.745,25
1735824600,95.74,95.74,95.74,95.74,166
1735824660,95.74,95.74,95.74,95.74,79
1735824720,95.74,95.74,95.74,95.74,2
1735824840,95.74,95.74,95.74,95.74,70
1735824900,95.74,95.74,95.74,95.74,51
1735825260,95.74,95.74,95.74,95.74,5
1735827120,95.74,95.74,95.74,95.74,182
1735827240,95.74,95.74,95.74,95.74,23
1735829040,95.745,95.745,95.745,95.745,15
1735829880,95.745,95.745,95.745,95.745,1
1735829940,95.745,95.745,95.745,95.745,29
1735830000,95.745,95.745,95.745,95.745,1
1735830060,95.745,95.745,95.745,95.745,1
1735830180,95.745,95.745,95.745,95.745,1
1735830240,95.745,95.745,95.745,95.745,1
1735830300,95.745,95.745,95.745,95.745,1
1735830420,95.745,95.745,95.745,95.745,1
1735830540,95.745,95.745,95.745,95.745,1
1735830720,95.745,95.745,95.745,95.745,1
1735830900,95.745,95.745,95.745,95.745,1
1735831140,95.745,95.745,95.745,95.745,1
1735831320,95.745,95.745,95.745,95.745,1
1735831440,95.745,95.745,95.745,95.745,1
1735831560,95.74,95.745,95.74,95.745,10
1735831620,95.74,95.74,95.74,95.74,17
1735831740,95.745,95.745,95.745,95.745,1
1735831980,95.745,95.745,95.745,95.745,1
1735832040,95.74,95.74,95.74,95.74,173
1735832160,95.74,95.74,95.74,95.74,20
1735832280,95.74,95.74,95.74,95.74,1
1735832400,95.74,95.74,95.74,95.74,1
1735832520,95.74,95.74,95.74,95.74,1
1735832700,95.74,95.74,95.74,95.74,8
1735832820,95.74,95.74,95.74,95.74,1
1735833060,95.74,95.74,95.74,95.74,1
1735833240,95.74,95.74,95.74,95.74,1
1735833420,95.74,95.74,95.74,95.74,1
1735833540,95.74,95.74,95.74,95.74,1
1735833660,95.74,95.74,95.74,95.74,1
1735833840,95.74,95.74,95.74,95.74,1
1735833960,95.74,95.74,95.74,95.74,1
1735834080,95.74,95.74,95.74,95.74,1
1735834320,95.74,95.74,95.74,95.74,1
1735834500,95.74,95.74,95.74,95.74,1
1735834740,95.74,95.74,95.74,95.74,1
1735834980,95.74,95.74,95.74,95.74,1
1735835160,95.74,95.74,95.74,95.74,1
1735835340,95.74,95.74,95.74,95.74,1
1735835580,95.74,95.74,95.74,95.74,1
1735835700,95.74,95.74,95.74,95.74,1
1735835760,95.74,95.74,95.74,95.74,1
1735835820,95.74,95.74,95.74,95.74,1
1735836000,95.74,95.74,95.74,95.74,1
1735836060,95.735,95.735,95.735,95.735,103
1735836240,95.74,95.74,95.74,95.74,1
1735836480,95.74,95.74,95.74,95.74,1
1735836660,95.74,95.74,95.74,95.74,1
1735836780,95.74,95.74,95.74,95.74,1
1735837020,95.74,95.74,95.74,95.74,1
1735837320,95.74,95.74,95.74,95.74,1
1735837560,95.74,95.74,95.74,95.74,1
1735837800,95.74,95.74,95.74,95.74,1
1735837920,95.735,95.735,95.735,95.735,2
1735839660,95.74,95.74,95.74,95.74,13
1735840080,95.74,95.74,95.74,95.74,50
1735841640,95.74,95.74,95.74,95.74,25
1735847400,95.735,95.735,95.735,95.735,5
1735847820,95.74,95.74,95.74,95.74,25
1735847880,95.74,95.74,95.74,95.74,150
1735849320,95.74,95.74,95.74,95.74,7
1735851780,95.74,95.74,95.74,95.74,143
1735851900,95.74,95.74,95.74,95.74,2
1735852440,95.74,95.74,95.74,95.74,3
1735852740,95.74,95.74,95.74,95.74,6
1735853760,95.74,95.74,95.74,95.74,104
1735854060,95.74,95.74,95.74,95.74,2
1735854120,95.74,95.74,95.74,95.74,103
1735854180,95.74,95.74,95.74,95.74,1
1735854840,95.745,95.745,95.745,95.745,1
1735854960,95.74,95.74,95.74,95.74,25
1735855020,95.74,95.74,95.74,95.74,8
1735871580,95.74,95.74,95.74,95.74,2
1735877520,95.74,95.74,95.74,95.74,1
1735883220,95.74,95.74,95.74,95.74,94
1735889400,95.74,95.74,95.74,95.74,1
1735889640,95.74,95.74,95.74,95.74,142
1735892100,95.74,95.74,95.74,95.74,111
1735892220,95.74,95.74,95.74,95.74,4
1735892760,95.74,95.74,95.74,95.74,122
1735893000,95.74,95.74,95.74,95.74,7
1735893060,95.74,95.74,95.74,95.74,98
1735895580,95.74,95.74,95.74,95.74,1
1735897980,95.74,95.74,95.74,95.74,136
1735905060,95.74,95.74,95.74,95.74,84
1735905900,95.74,95.74,95.74,95.74,75
1735906800,95.74,95.74,95.74,95.74,5
1735906860,95.74,95.74,95.74,95.74,152
1735906920,95.74,95.74,95.74,95.74,42
1735906980,95.74,95.74,95.74,95.74,59
1735908900,95.74,95.74,95.74,95.74,3
1735909080,95.74,95.74,95.74,95.74,4
1735909380,95.735,95.735,95.735,95.735,47
1735909440,95.74,95.74,95.74,95.74,79
1735911360,95.74,95.74,95.74,95.74,70
1735911540,95.74,95.74,95.74,95.74,11
1735912860,95.74,95.74,95.74,95.74,8
1735915080,95.735,95.735,95.735,95.735,15
1735915980,95.74,95.74,95.74,95.74,1
1735916040,95.74,95.74,95.74,95.74,5
1735916160,95.74,95.74,95.74,95.74,1
1735916220,95.74,95.74,95.74,95.74,1
1735916340,95.74,95.74,95.735,95.735,44
1735916400,95.735,95.735,95.735,95.735,205
1735916520,95.74,95.74,95.74,95.74,1
1735916580,95.74,95.74,95.74,95.74,1
1735916700,95.74,95.74,95.74,95.74,1
1735916760,95.74,95.74,95.74,95.74,1
1735916940,95.74,95.74,95.74,95.74,1
1735917120,95.74,95.74,95.74,95.74,1
1735917360,95.74,95.74,95.74,95.74,1
1735917540,95.74,95.74,95.74,95.74,1
1735917720,95.74,95.74,95.74,95.74,1
1735917840,95.74,95.74,95.74,95.74,1
1735918020,95.74,95.74,95.74,95.74,1
1735918200,95.74,95.74,95.74,95.74,1
1735918380,95.74,95.74,95.74,95.74,1
1735918560,95.74,95.74,95.74,95.74,1
1735918620,95.74,95.74,95.74,95.74,3
1735918680,95.74,95.74,95.74,95.74,1
1735918800,95.74,95.74,95.74,95.74,1
1735918980,95.74,95.74,95.74,95.74,1
1735919160,95.74,95.74,95.74,95.74,67
1735919280,95.74,95.74,95.74,95.74,1
1735919520,95.74,95.74,95.74,95.74,1
1735919700,95.74,95.74,95.74,95.74,1
1735919880,95.74,95.74,95.74,95.74,1
1735920000,95.74,95.74,95.74,95.74,4
1735920120,95.74,95.74,95.74,95.74,1
1735920180,95.74,95.74,95.74,95.74,7
1735920300,95.74,95.74,95.74,95.74,1
1735920360,95.74,95.74,95.74,95.74,26
1735920420,95.74,95.74,95.74,95.74,1
1735920600,95.74,95.74,95.74,95.74,1
1735920840,95.74,95.74,95.74,95.74,1
1735921020,95.74,95.74,95.74,95.74,1
1735921260,95.74,95.74,95.74,95.74,1
1735921440,95.74,95.74,95.74,95.74,1
1735921620,95.74,95.74,95.74,95.74,1
1735921860,95.74,95.74,95.74,95.74,1
1735921980,95.74,95.74,95.74,95.74,8
1735922040,95.74,95.74,95.74,95.74,1
1735922160,95.74,95.74,95.74,95.74,1
1735922340,95.74,95.74,95.74,95.74,1
1735922580,95.74,95.74,95.74,95.74,1
1735922820,95.74,95.74,95.74,95.74,1
1735923000,95.74,95.74,95.74,95.74,1
1735923180,95.74,95.74,95.74,95.74,1
1735923240,95.74,95.74,95.74,95.74,1
1735923420,95.74,95.74,95.74,95.74,1
1735923720,95.74,95.74,95.74,95.74,1
1735923780,95.74,95.74,95.74,95.74,1
1735924020,95.74,95.74,95.74,95.74,1
1735924200,95.74,95.74,95.74,95.74,4
1735924440,95.74,95.74,95.74,95.74,1
1735924860,95.74,95.74,95.74,95.74,1
1735925160,95.74,95.74,95.74,95.74,1
1735925460,95.74,95.74,95.74,95.74,1
1735925820,95.735,95.74,95.735,95.74,3
1735926180,95.74,95.74,95.74,95.74,1
1735926480,95.74,95.74,95.74,95.74,1
1735926780,95.74,95.74,95.74,95.74,1
1735926960,95.74,95.74,95.74,95.74,1
1735927020,95.74,95.74,95.74,95.74,1
1735927260,95.74,95.74,95.74,95.74,1
1735927440,95.74,95.74,95.74,95.74,1
1735927800,95.74,95.74,95.74,95.74,1
1735928040,95.74,95.74,95.74,95.74,1
1735928160,95.74,95.74,95.74,95.74,1
1735928520,95.74,95.74,95.74,95.74,1
1735928820,95.735,95.735,95.735,95.735,11
1735928880,95.74,95.74,95.74,95.74,1
1735929240,95.74,95.74,95.74,95.74,1
1735929600,95.74,95.74,95.74,95.74,1
1735929960,95.74,95.74,95.74,95.74,1
1735930320,95.74,95.74,95.74,95.74,1
1735930560,95.74,95.74,95.74,95.74,1
1735930740,95.74,95.74,95.74,95.74,1
1735930980,95.74,95.74,95.74,95.74,1
1735931280,95.74,95.74,95.74,95.74,1
1735931640,95.74,95.74,95.74,95.74,1
1735931940,95.74,95.74,95.74,95.74,1
1735932300,95.74,95.74,95.74,95.74,1
1735932720,95.74,95.74,95.74,95.74,1
1735933020,95.74,95.74,95.74,95.74,1
1735933140,95.74,95.74,95.74,95.74,1
1735933440,95.74,95.74,95.74,95.74,1
1735933740,95.74,95.74,95.74,95.74,1
1735933800,95.74,95.74,95.74,95.74,19
1735934040,95.74,95.74,95.74,95.74,1
1735934100,95.735,95.735,95.735,95.735,371
1735934160,95.735,95.735,95.735,95.735,401
1735934220,95.735,95.735,95.735,95.735,435
1735934280,95.735,95.735,95.735,95.735,173
1735934400,95.735,95.735,95.735,95.735,77
1735934520,95.735,95.735,95.735,95.735,27
1735935120,95.735,95.735,95.735,95.735,401
1735935180,95.735,95.735,95.735,95.735,1
1735935480,95.735,95.735,95.735,95.735,4
1735935660,95.735,95.735,95.735,95.735,66
1735935780,95.735,95.735,95.735,95.735,106
1735935840,95.735,95.735,95.735,95.735,210
1735935900,95.735,95.735,95.735,95.735,67
1735936260,95.735,95.735,95.735,95.735,97
1735936620,95.735,95.735,95.735,95.735,1
1735936740,95.73,95.735,95.73,95.735,22
1735936920,95.735,95.735,95.735,95.735,1
1735936980,95.735,95.735,95.735,95.735,1
1735937040,95.735,95.735,95.735,95.735,1
1735937160,95.735,95.735,95.735,95.735,22
1735937220,95.735,95.735,95.735,95.735,1
1735937280,95.735,95.735,95.735,95.735,1
1735937760,95.735,95.735,95.735,95.735,1
1735937880,95.735,95.735,95.735,95.735,1
1735938840,95.735,95.735,95.735,95.735,1
1735939200,95.73,95.73,95.73,95.73,1
1735941000,95.735,95.735,95.73,95.73,5
1735941240,95.73,95.73,95.73,95.73,44
1735941360,95.735,95.735,95.735,95.735,12
1736118000,95.73,95.73,95.73,95.73,10
1736122320,95.73,95.73,95.73,95.73,1
1736125680,95.73,95.73,95.73,95.73,11
1736135640,95.735,95.735,95.735,95.735,153
1736141460,95.735,95.735,95.735,95.735,37
1736142360,95.735,95.735,95.735,95.735,268
1736145960,95.735,95.735,95.735,95.735,132
1736147340,95.735,95.735,95.735,95.735,1
1736148000,95.73,95.73,95.73,95.73,1
1736152920,95.73,95.73,95.73,95.73,200
1736153400,95.73,95.73,95.73,95.73,730
1736155980,95.735,95.735,95.735,95.735,40
1736156040,95.735,95.735,95.735,95.735,40
1736163000,95.735,95.735,95.735,95.735,1
1736163240,95.735,95.735,95.735,95.735,3
1736164440,95.735,95.735,95.735,95.735,20
1736164680,95.735,95.735,95.735,95.735,15
1736167080,95.73,95.73,95.73,95.73,1
1736167860,95.735,95.735,95.735,95.735,4
1736167980,95.73,95.73,95.73,95.73,109
1736168220,95.73,95.73,95.73,95.73,769
1736168280,95.73,95.73,95.73,95.73,220
1736168340,95.73,95.73,95.73,95.73,154
1736168400,95.73,95.73,95.73,95.73,103
1736168460,95.73,95.73,95.73,95.73,31
1736168520,95.73,95.73,95.73,95.73,117
1736169240,95.73,95.73,95.73,95.73,16
1736169300,95.73,95.73,95.73,95.73,1
1736169780,95.73,95.73,95.73,95.73,159
1736170320,95.73,95.73,95.73,95.73,4
1736171820,95.725,95.725,95.725,95.725,1
1736171940,95.73,95.73,95.73,95.73,4
1736172960,95.725,95.725,95.725,95.725,1
1736173080,95.725,95.725,95.725,95.725,198
1736173200,95.725,95.725,95.725,95.725,18
1736174040,95.725,95.725,95.725,95.725,5
1736174640,95.725,95.73,95.725,95.73,28
1736175300,95.725,95.725,95.725,95.725,25
1736175480,95.73,95.73,95.73,95.73,40
1736175540,95.725,95.73,95.725,95.73,30
1736176380,95.73,95.73,95.73,95.73,68
1736177340,95.725,95.725,95.725,95.725,1
1736179320,95.73,95.73,95.73,95.73,5
1736179620,95.725,95.725,95.725,95.725,2
1736184420,95.73,95.73,95.73,95.73,2
1736184900,95.73,95.73,95.73,95.73,2
1736185980,95.725,95.725,95.725,95.725,1
1736186340,95.725,95.725,95.725,95.725,24
1736186400,95.725,95.725,95.725,95.725,100
1736187360,95.725,95.725,95.725,95.725,3
1736188980,95.725,95.725,95.725,95.725,8
1736192220,95.73,95.73,95.73,95.73,5
1736192280,95.73,95.73,95.73,95.73,3
1736192340,95.725,95.725,95.725,95.725,25
1736192640,95.725,95.725,95.725,95.725,3
1736193600,95.725,95.725,95.725,95.725,310
1736193960,95.725,95.725,95.725,95.725,14
1736194140,95.72,95.72,95.72,95.72,18
1736195340,95.725,95.725,95.725,95.725,52
1736195400,95.725,95.725,95.725,95.725,10
1736195820,95.725,95.725,95.725,95.725,200
1736196540,95.72,95.72,95.72,95.72,3
1736197320,95.725,95.725,95.72,95.72,108
