time,open,high,low,close,Volume
1743483720,95.705,95.705,95.705,95.705,49
1743491580,95.705,95.705,95.705,95.705,1
1743492000,95.705,95.705,95.705,95.705,50
1743492900,95.71,95.71,95.71,95.71,200
1743492960,95.71,95.71,95.71,95.71,30
1743493140,95.71,95.71,95.71,95.71,1
1743494880,95.71,95.71,95.71,95.71,300
1743498720,95.705,95.705,95.705,95.705,1
1743499920,95.705,95.705,95.705,95.705,12
1743501600,95.705,95.705,95.705,95.705,1
1743502080,95.705,95.705,95.705,95.705,3
1743502200,95.705,95.705,95.705,95.705,1
1743502260,95.705,95.705,95.705,95.705,4
1743502320,95.705,95.705,95.705,95.705,2
1743502380,95.705,95.705,95.705,95.705,2
1743502440,95.705,95.705,95.705,95.705,2
1743502500,95.705,95.705,95.705,95.705,3
1743502560,95.705,95.705,95.705,95.705,5
1743502620,95.705,95.705,95.705,95.705,5
1743502680,95.705,95.705,95.705,95.705,2
1743502740,95.705,95.71,95.705,95.71,4
1743502800,95.705,95.705,95.705,95.705,2
1743502860,95.705,95.705,95.705,95.705,3
1743502920,95.705,95.705,95.705,95.705,2
1743502980,95.705,95.705,95.705,95.705,3
1743503040,95.705,95.705,95.705,95.705,2
1743503100,95.705,95.705,95.705,95.705,3
1743503220,95.705,95.705,95.705,95.705,2
1743503280,95.705,95.705,95.705,95.705,2
1743503340,95.705,95.705,95.705,95.705,3
1743503400,95.705,95.705,95.705,95.705,2
1743503460,95.705,95.705,95.705,95.705,4
1743503520,95.705,95.705,95.705,95.705,2
1743503580,95.705,95.705,95.705,95.705,2
1743503640,95.705,95.705,95.705,95.705,3
1743503700,95.705,95.705,95.705,95.705,3
1743503760,95.705,95.705,95.705,95.705,2
1743503820,95.705,95.705,95.705,95.705,1
1743503880,95.705,95.705,95.705,95.705,1
1743504060,95.705,95.705,95.705,95.705,4
1743504120,95.705,95.705,95.705,95.705,2
1743504180,95.705,95.705,95.705,95.705,2
1743504360,95.705,95.705,95.705,95.705,2
1743504420,95.705,95.705,95.705,95.705,1
