time,open,high,low,close,Volume
1738537200,95.76,95.77,95.75,95.755,3372
1738537260,95.755,95.755,95.75,95.755,1144
1738537320,95.755,95.755,95.755,95.755,275
1738537380,95.755,95.755,95.755,95.755,284
1738537440,95.755,95.76,95.755,95.76,42
1738537560,95.755,95.755,95.755,95.755,40
1738537620,95.75,95.75,95.75,95.75,5
1738537680,95.75,95.75,95.75,95.75,154
1738537740,95.745,95.745,95.745,95.745,22
1738537800,95.75,95.75,95.75,95.75,208
1738537860,95.75,95.75,95.75,95.75,1
1738537920,95.75,95.75,95.75,95.75,13
1738538040,95.75,95.75,95.75,95.75,6
1738538100,95.75,95.75,95.75,95.75,7
1738538220,95.75,95.755,95.75,95.755,14
1738539420,95.755,95.755,95.755,95.755,146
1738539540,95.755,95.755,95.755,95.755,30
1738539600,95.755,95.755,95.755,95.755,127
1738539720,95.755,95.755,95.755,95.755,10
1738539780,95.755,95.755,95.755,95.755,13
1738539840,95.755,95.755,95.755,95.755,1
1738539960,95.755,95.755,95.755,95.755,3
1738540020,95.755,95.755,95.755,95.755,3
1738540260,95.755,95.755,95.755,95.755,2
1738540440,95.755,95.755,95.755,95.755,6
1738540680,95.755,95.755,95.755,95.755,1
1738540860,95.755,95.755,95.755,95.755,10
1738540920,95.755,95.755,95.755,95.755,20
1738541040,95.755,95.755,95.755,95.755,11
1738542000,95.755,95.755,95.755,95.755,9
1738542240,95.76,95.76,95.76,95.76,417
1738542300,95.76,95.76,95.76,95.76,30
1738542360,95.76,95.76,95.76,95.76,29
1738542420,95.76,95.76,95.76,95.76,1
1738542600,95.76,95.76,95.76,95.76,41
1738542720,95.76,95.76,95.76,95.76,30
1738543140,95.755,95.755,95.755,95.755,50
1738543860,95.76,95.76,95.76,95.76,1
1738544700,95.76,95.76,95.76,95.76,514
1738545840,95.76,95.76,95.76,95.76,83
1738545900,95.76,95.76,95.76,95.76,29
1738547040,95.76,95.76,95.76,95.76,12
1738548060,95.76,95.76,95.76,95.76,30
1738548660,95.76,95.76,95.76,95.76,56
1738548780,95.76,95.76,95.76,95.76,18
1738549860,95.76,95.76,95.76,95.76,11
1738552920,95.76,95.76,95.76,95.76,17
1738554660,95.765,95.765,95.765,95.765,9
1738555020,95.765,95.765,95.765,95.765,1
1738555080,95.765,95.765,95.765,95.765,26
1738555200,95.765,95.765,95.765,95.765,15
1738557060,95.765,95.765,95.765,95.765,50
1738557120,95.765,95.765,95.765,95.765,10
1738558980,95.765,95.765,95.765,95.765,29
1738559040,95.765,95.765,95.765,95.765,32
1738559160,95.765,95.765,95.765,95.765,13
1738559760,95.765,95.765,95.765,95.765,41
1738561620,95.765,95.765,95.765,95.765,37
1738566060,95.76,95.76,95.76,95.76,199
1738566120,95.76,95.76,95.76,95.76,6
1738566540,95.76,95.76,95.76,95.76,9
1738566600,95.76,95.76,95.76,95.76,20
1738566720,95.76,95.76,95.76,95.76,45
1738566900,95.76,95.76,95.76,95.76,9
1738568220,95.76,95.76,95.76,95.76,2
1738568280,95.76,95.76,95.76,95.76,24
1738568340,95.76,95.76,95.76,95.76,48
1738568640,95.755,95.755,95.755,95.755,108
1738569180,95.76,95.76,95.76,95.76,600
1738569660,95.755,95.755,95.755,95.755,16
1738569840,95.755,95.755,95.755,95.755,67
1738569900,95.755,95.755,95.755,95.755,30
1738569960,95.755,95.755,95.755,95.755,121
1738570020,95.755,95.755,95.755,95.755,6
1738570140,95.755,95.755,95.755,95.755,30
1738570200,95.755,95.755,95.755,95.755,28
1738570380,95.755,95.755,95.75,95.75,15
1738570980,95.755,95.755,95.755,95.755,5
1738571760,95.75,95.75,95.75,95.75,1310
1738571820,95.75,95.75,95.75,95.75,22
1738571880,95.75,95.75,95.75,95.75,6
1738572660,95.75,95.75,95.75,95.75,13
1738573320,95.75,95.75,95.75,95.75,100
1738574700,95.755,95.755,95.755,95.755,2
1738577160,95.75,95.75,95.75,95.75,3
1738577280,95.75,95.75,95.75,95.75,11
1738577520,95.75,95.75,95.75,95.75,46
1738577880,95.755,95.755,95.755,95.755,2
1738578240,95.75,95.75,95.75,95.75,24
1738579980,95.75,95.75,95.75,95.75,5
1738580040,95.75,95.75,95.75,95.75,3
1738580220,95.75,95.75,95.75,95.75,1
1738580340,95.75,95.75,95.75,95.75,1
1738580400,95.75,95.75,95.75,95.75,1
1738580520,95.75,95.75,95.75,95.75,4
1738580640,95.75,95.75,95.75,95.75,1216
1738580880,95.75,95.75,95.75,95.75,37
1738581120,95.75,95.75,95.75,95.75,67
1738583820,95.755,95.755,95.755,95.755,4
1738583880,95.755,95.755,95.755,95.755,3
1738584000,95.755,95.755,95.755,95.755,357
1738584300,95.755,95.755,95.755,95.755,365
1738584420,95.755,95.755,95.755,95.755,319
1738584840,95.755,95.755,95.755,95.755,111
1738584900,95.755,95.755,95.755,95.755,28
1738585500,95.76,95.76,95.76,95.76,7
1738585800,95.76,95.76,95.76,95.76,41
1738586100,95.76,95.76,95.76,95.76,463
1738586160,95.76,95.76,95.76,95.76,64
1738586220,95.76,95.76,95.76,95.76,14
1738586280,95.76,95.76,95.76,95.76,14
1738586400,95.76,95.76,95.76,95.76,19
1738586460,95.76,95.76,95.76,95.76,2
1738586820,95.76,95.76,95.76,95.76,94
1738586880,95.76,95.76,95.76,95.76,55
1738586940,95.76,95.76,95.76,95.76,36
1738587000,95.76,95.76,95.76,95.76,10
1738587060,95.76,95.76,95.76,95.76,33
1738587120,95.76,95.76,95.76,95.76,18
1738587180,95.76,95.76,95.76,95.76,138
1738587240,95.76,95.76,95.76,95.76,343
1738587420,95.76,95.76,95.76,95.76,7
1738587780,95.765,95.765,95.765,95.765,500
1738587960,95.76,95.76,95.76,95.76,6
1738588080,95.76,95.76,95.76,95.76,739
1738588800,95.76,95.76,95.76,95.76,2
1738588920,95.76,95.76,95.76,95.76,1
1738589160,95.765,95.765,95.765,95.765,66
1738590120,95.76,95.76,95.76,95.76,6
1738590360,95.76,95.76,95.76,95.76,2
1738590960,95.76,95.76,95.76,95.76,1
1738591080,95.76,95.76,95.76,95.76,2
1738592160,95.76,95.76,95.76,95.76,250
1738592340,95.76,95.76,95.76,95.76,1648
1738592940,95.76,95.76,95.76,95.76,1
1738593000,95.76,95.76,95.76,95.76,1
1738593240,95.76,95.76,95.76,95.76,2
1738594080,95.76,95.76,95.76,95.76,2
1738594440,95.765,95.765,95.765,95.765,39
1738594500,95.76,95.765,95.76,95.765,20
1738594620,95.765,95.765,95.765,95.765,98
1738594680,95.765,95.765,95.765,95.765,2
1738594740,95.76,95.765,95.76,95.765,39
1738594800,95.76,95.76,95.76,95.76,181
1738594860,95.76,95.76,95.76,95.76,68
1738594920,95.76,95.76,95.76,95.76,64
1738594980,95.76,95.76,95.76,95.76,29
1738595040,95.76,95.76,95.76,95.76,6
1738595100,95.76,95.76,95.76,95.76,2
1738595160,95.765,95.765,95.765,95.765,55
1738595280,95.765,95.765,95.765,95.765,202
1738595460,95.77,95.77,95.77,95.77,258
1738595520,95.77,95.77,95.77,95.77,299
1738595580,95.77,95.77,95.77,95.77,467
1738595640,95.77,95.77,95.77,95.77,291
1738595760,95.77,95.77,95.765,95.765,2
1738595820,95.77,95.77,95.765,95.77,65
1738596060,95.77,95.77,95.77,95.77,1650
1738596120,95.77,95.77,95.77,95.77,95
1738596240,95.765,95.765,95.765,95.765,591
1738596300,95.76,95.76,95.76,95.76,2
1738596360,95.765,95.765,95.76,95.76,11
1738596420,95.76,95.76,95.76,95.76,1
1738596600,95.765,95.765,95.765,95.765,327
1738596660,95.76,95.76,95.76,95.76,2
1738596720,95.765,95.765,95.765,95.765,12
1738596900,95.765,95.765,95.765,95.765,72
1738597020,95.765,95.765,95.765,95.765,9
1738597080,95.765,95.765,95.765,95.765,22
1738597200,95.765,95.765,95.765,95.765,15
1738597260,95.765,95.765,95.765,95.765,185
1738597500,95.76,95.76,95.76,95.76,2
1738597620,95.76,95.76,95.76,95.76,2
1738597740,95.765,95.765,95.765,95.765,99
1738597860,95.765,95.765,95.765,95.765,73
1738597920,95.76,95.765,95.76,95.765,10
1738597980,95.765,95.765,95.765,95.765,24
1738598040,95.765,95.765,95.765,95.765,157
1738598100,95.765,95.765,95.765,95.765,134
1738598280,95.765,95.765,95.76,95.765,610
1738598400,95.76,95.76,95.76,95.76,1
1738598580,95.765,95.765,95.765,95.765,2310
1738598640,95.765,95.765,95.765,95.765,9
1738598700,95.765,95.765,95.76,95.765,194
1738599180,95.765,95.765,95.765,95.765,401
1738599840,95.765,95.765,95.765,95.765,157
1738600080,95.765,95.765,95.765,95.765,1
1738600440,95.765,95.765,95.765,95.765,112
1738600800,95.76,95.76,95.76,95.76,1665
1738600920,95.76,95.76,95.76,95.76,1
1738601100,95.76,95.76,95.76,95.76,15
1738601160,95.76,95.76,95.76,95.76,219
1738601220,95.76,95.76,95.76,95.76,404
1738601400,95.76,95.76,95.76,95.76,78
1738601520,95.76,95.76,95.76,95.76,2
1738601760,95.76,95.76,95.76,95.76,50
1738602480,95.76,95.76,95.76,95.76,1
1738602660,95.76,95.76,95.76,95.76,6
1738602960,95.755,95.755,95.755,95.755,1
1738603860,95.76,95.76,95.76,95.76,6
1738603920,95.76,95.76,95.76,95.76,2
1738604940,95.755,95.755,95.755,95.755,1
1738605300,95.76,95.76,95.76,95.76,169
1738605360,95.76,95.76,95.76,95.76,2687
1738606920,95.755,95.755,95.755,95.755,1
1738607460,95.755,95.755,95.755,95.755,200
1738607760,95.755,95.755,95.755,95.755,13
1738607820,95.755,95.755,95.755,95.755,85
1738607940,95.755,95.755,95.755,95.755,668
1738608900,95.75,95.75,95.75,95.75,1
1738610280,95.75,95.75,95.75,95.75,1
1738610520,95.755,95.755,95.755,95.755,138
1738610880,95.75,95.75,95.75,95.75,1
1738611540,95.755,95.755,95.755,95.755,12
1738612080,95.755,95.755,95.755,95.755,1549
1738612200,95.755,95.755,95.755,95.755,103
1738612260,95.755,95.755,95.755,95.755,64
1738612320,95.755,95.755,95.755,95.755,45
1738612380,95.755,95.755,95.755,95.755,23
