time,open,high,low,close,Volume
1735772400,95.86,95.86,95.86,95.86,6
1735773600,95.855,95.855,95.855,95.855,17
1735774320,95.855,95.855,95.855,95.855,65
1735775880,95.855,95.855,95.855,95.855,2
1735776000,95.855,95.855,95.855,95.855,21
1735776060,95.855,95.855,95.855,95.855,3
1735778940,95.855,95.855,95.855,95.855,17
1735781520,95.85,95.85,95.85,95.85,25
1735782840,95.855,95.855,95.855,95.855,12
1735783980,95.855,95.855,95.855,95.855,4
1735784040,95.855,95.855,95.855,95.855,1
1735784280,95.855,95.855,95.855,95.855,15
1735784340,95.855,95.855,95.855,95.855,18
1735784400,95.855,95.855,95.855,95.855,2
1735784460,95.855,95.855,95.855,95.855,3
1735784520,95.855,95.855,95.855,95.855,3
1735784640,95.855,95.855,95.855,95.855,3
1735784700,95.855,95.855,95.855,95.855,3
1735784820,95.855,95.855,95.855,95.855,5
1735784880,95.855,95.855,95.855,95.855,3
1735784940,95.855,95.855,95.855,95.855,3
1735785000,95.855,95.855,95.855,95.855,3
1735786800,95.855,95.855,95.855,95.855,25
1735786860,95.855,95.855,95.855,95.855,176
1735787520,95.855,95.855,95.855,95.855,203
1735792320,95.855,95.855,95.855,95.855,6
1735796160,95.855,95.855,95.855,95.855,6
1735799700,95.86,95.86,95.86,95.86,5
1735800240,95.86,95.86,95.86,95.86,38
1735800480,95.865,95.865,95.865,95.865,2
1735800660,95.865,95.865,95.865,95.865,51
1735800720,95.865,95.865,95.865,95.865,22
1735801980,95.865,95.865,95.865,95.865,9
1735802220,95.865,95.865,95.865,95.865,3
1735803000,95.865,95.865,95.865,95.865,4
1735804740,95.87,95.87,95.87,95.87,90
1735804800,95.87,95.87,95.87,95.87,35
1735805100,95.865,95.87,95.865,95.865,145
1735805340,95.87,95.87,95.87,95.87,49
1735805760,95.87,95.87,95.87,95.87,56
1735805820,95.87,95.87,95.87,95.87,10
1735806540,95.87,95.87,95.87,95.87,5
1735807320,95.87,95.87,95.87,95.87,9
1735807740,95.87,95.87,95.87,95.87,3
1735807860,95.87,95.87,95.87,95.87,4
1735808160,95.87,95.87,95.87,95.87,1
1735808400,95.87,95.87,95.87,95.87,179
1735808460,95.87,95.87,95.87,95.87,49
1735809420,95.87,95.87,95.87,95.87,29
1735810260,95.87,95.87,95.87,95.87,14
1735810560,95.87,95.87,95.87,95.87,3
1735811040,95.87,95.87,95.87,95.87,9
1735812720,95.87,95.87,95.87,95.87,54
1735813500,95.875,95.875,95.875,95.875,120
1735815060,95.875,95.875,95.875,95.875,27
1735815540,95.875,95.875,95.875,95.875,83
1735816320,95.87,95.87,95.87,95.87,83
1735816800,95.87,95.87,95.87,95.87,1230
1735816920,95.87,95.87,95.87,95.87,298
1735816980,95.87,95.87,95.87,95.87,8
1735821000,95.865,95.865,95.865,95.865,35
1735821060,95.865,95.865,95.865,95.865,59
1735822140,95.87,95.87,95.87,95.87,23
1735822740,95.87,95.87,95.87,95.87,250
1735824000,95.87,95.87,95.87,95.87,2
1735824060,95.87,95.87,95.87,95.87,377
1735824120,95.87,95.87,95.87,95.87,30
1735824540,95.87,95.87,95.87,95.87,6
1735824600,95.865,95.865,95.865,95.865,418
1735824660,95.86,95.86,95.86,95.86,87
1735824720,95.86,95.86,95.86,95.86,15
1735824780,95.86,95.86,95.86,95.86,25
1735824900,95.86,95.865,95.86,95.865,58
1735825260,95.865,95.865,95.865,95.865,12
1735825320,95.865,95.865,95.865,95.865,4
1735825440,95.87,95.87,95.87,95.87,3
1735825620,95.87,95.87,95.87,95.87,29
1735825740,95.87,95.87,95.87,95.87,16
1735825800,95.87,95.87,95.87,95.87,18
1735826400,95.865,95.865,95.865,95.865,31
1735826520,95.865,95.865,95.865,95.865,15
1735826580,95.865,95.865,95.865,95.865,250
1735826700,95.865,95.865,95.865,95.865,3
1735826760,95.865,95.865,95.865,95.865,25
1735826820,95.865,95.865,95.865,95.865,7
1735826880,95.865,95.865,95.865,95.865,21
1735827000,95.865,95.865,95.865,95.865,76
1735827060,95.865,95.865,95.865,95.865,3
1735827120,95.865,95.865,95.86,95.86,169
1735828200,95.865,95.865,95.865,95.865,2
1735828260,95.865,95.865,95.865,95.865,150
1735828500,95.865,95.865,95.865,95.865,66
1735829040,95.865,95.865,95.865,95.865,33
1735829520,95.865,95.865,95.865,95.865,49
1735829580,95.865,95.865,95.865,95.865,35
1735829640,95.865,95.865,95.865,95.865,14
1735829760,95.865,95.865,95.865,95.865,8
1735829940,95.87,95.87,95.87,95.87,28
1735830060,95.865,95.865,95.865,95.865,42
1735830120,95.865,95.865,95.865,95.865,6
1735830180,95.865,95.865,95.865,95.865,8
1735830720,95.865,95.865,95.865,95.865,8
1735830780,95.865,95.865,95.865,95.865,4
1735830900,95.865,95.865,95.865,95.865,16
1735830960,95.865,95.865,95.865,95.865,10
1735831320,95.865,95.865,95.865,95.865,367
1735831380,95.865,95.865,95.865,95.865,17
1735832040,95.86,95.86,95.86,95.86,137
1735832580,95.855,95.855,95.855,95.855,175
1735832640,95.855,95.855,95.855,95.855,68
1735833060,95.855,95.855,95.855,95.855,24
1735833240,95.855,95.855,95.855,95.855,84
1735833300,95.855,95.855,95.855,95.855,38
1735833360,95.855,95.855,95.855,95.855,27
1735833420,95.855,95.855,95.855,95.855,28
1735833480,95.85,95.85,95.85,95.85,6
1735834080,95.85,95.85,95.85,95.85,300
1735834380,95.85,95.85,95.85,95.85,36
1735834440,95.85,95.85,95.85,95.85,8
1735834920,95.85,95.85,95.85,95.85,53
1735834980,95.85,95.85,95.85,95.85,804
1735835040,95.85,95.85,95.85,95.85,64
1735835940,95.85,95.85,95.85,95.85,1
1735837200,95.845,95.845,95.845,95.845,282
1735838460,95.845,95.845,95.845,95.845,12
1735838580,95.845,95.845,95.845,95.845,11
1735838640,95.845,95.845,95.845,95.845,5
1735838700,95.845,95.845,95.845,95.845,6
1735838760,95.845,95.845,95.845,95.845,8
1735839180,95.845,95.845,95.845,95.845,16
1735839660,95.85,95.85,95.85,95.85,462
1735840380,95.85,95.85,95.85,95.85,3
1735841220,95.85,95.85,95.85,95.85,40
1735841400,95.85,95.85,95.85,95.85,3
1735841940,95.85,95.85,95.85,95.85,2
1735844220,95.85,95.85,95.85,95.85,40
1735844460,95.85,95.85,95.85,95.85,84
1735844580,95.85,95.85,95.85,95.85,16
1735844640,95.85,95.85,95.85,95.85,9
1735844760,95.85,95.85,95.85,95.85,32
1735844880,95.85,95.85,95.85,95.85,1
1735845300,95.85,95.85,95.85,95.85,1
1735847820,95.85,95.85,95.85,95.85,1
1735847880,95.85,95.85,95.85,95.85,7
1735848540,95.85,95.85,95.85,95.85,3
1735848900,95.85,95.85,95.85,95.85,666
1735849320,95.85,95.85,95.85,95.85,1
1735849500,95.85,95.85,95.85,95.85,8
1735849620,95.85,95.85,95.85,95.85,1
1735849860,95.85,95.85,95.85,95.85,19
1735850280,95.85,95.85,95.85,95.85,23
1735851180,95.845,95.845,95.845,95.845,5
1735851600,95.85,95.85,95.85,95.85,67
1735852380,95.855,95.855,95.855,95.855,1
1735852440,95.85,95.85,95.85,95.85,3
1735854840,95.85,95.85,95.85,95.85,25
1735867680,95.85,95.85,95.85,95.85,15
1735875060,95.855,95.855,95.855,95.855,33
1735875240,95.855,95.855,95.855,95.855,4
1735878900,95.855,95.855,95.855,95.855,52
1735888560,95.85,95.85,95.85,95.85,155
1735888860,95.85,95.85,95.85,95.85,153
1735889340,95.85,95.85,95.85,95.85,13
1735889400,95.85,95.85,95.85,95.85,9
1735889460,95.85,95.85,95.85,95.85,6
1735891380,95.85,95.85,95.85,95.85,57
1735891500,95.85,95.85,95.85,95.85,1
1735891740,95.85,95.85,95.85,95.85,18
1735900320,95.85,95.85,95.85,95.85,95
1735900380,95.85,95.85,95.85,95.85,49
1735900800,95.85,95.85,95.85,95.85,5
1735907760,95.85,95.85,95.85,95.85,2
1735908420,95.855,95.855,95.855,95.855,5
1735909380,95.85,95.85,95.85,95.85,2
1735909440,95.855,95.855,95.855,95.855,210
1735910160,95.85,95.85,95.85,95.85,442
1735910220,95.85,95.85,95.85,95.85,9
1735910340,95.85,95.85,95.85,95.85,56
1735910400,95.85,95.85,95.85,95.85,1
1735910460,95.85,95.85,95.85,95.85,4
1735910580,95.85,95.85,95.85,95.85,18
1735910640,95.85,95.85,95.85,95.85,75
1735911540,95.855,95.855,95.855,95.855,57
1735912200,95.855,95.855,95.855,95.855,4
1735912380,95.85,95.85,95.85,95.85,6
1735913340,95.85,95.85,95.85,95.85,130
1735913400,95.85,95.85,95.85,95.85,14
1735913700,95.85,95.85,95.85,95.85,19
1735913760,95.85,95.85,95.85,95.85,120
1735913820,95.85,95.85,95.85,95.85,7
1735913880,95.85,95.85,95.85,95.85,14
1735913940,95.85,95.85,95.85,95.85,60
1735914000,95.85,95.85,95.85,95.85,28
1735914180,95.85,95.85,95.85,95.85,29
1735914240,95.85,95.85,95.85,95.85,23
1735914720,95.85,95.85,95.85,95.85,8
1735915380,95.85,95.85,95.85,95.85,2
1735915500,95.85,95.85,95.85,95.85,1
1735915800,95.85,95.85,95.85,95.85,1
1735916040,95.85,95.85,95.85,95.85,1
1735916280,95.855,95.855,95.855,95.855,1
1735916340,95.855,95.855,95.85,95.85,31
1735916400,95.85,95.85,95.84,95.85,346
1735916460,95.85,95.85,95.85,95.85,228
1735916520,95.85,95.85,95.85,95.85,4
1735916580,95.85,95.85,95.85,95.85,450
1735916640,95.85,95.85,95.85,95.85,60
1735917180,95.85,95.85,95.85,95.85,243
1735917240,95.85,95.85,95.85,95.85,242
1735917300,95.85,95.85,95.85,95.85,30
1735917360,95.85,95.85,95.85,95.85,14
1735917420,95.85,95.85,95.85,95.85,14
1735917480,95.85,95.85,95.85,95.85,100
1735917540,95.85,95.85,95.85,95.85,14
1735917600,95.85,95.85,95.85,95.85,7
1735919160,95.85,95.855,95.85,95.855,55
1735919640,95.85,95.85,95.85,95.85,6
1735919700,95.85,95.85,95.85,95.85,62
1735919760,95.85,95.85,95.85,95.85,139
1735919820,95.85,95.85,95.85,95.85,115
1735919880,95.85,95.85,95.85,95.85,1
1735920060,95.85,95.85,95.85,95.85,269
1735922640,95.85,95.85,95.85,95.85,20
1735923240,95.85,95.85,95.85,95.85,7
1735923480,95.85,95.85,95.85,95.85,1
