time,open,high,low,close,Volume
1743483720,95.885,95.885,95.885,95.885,46
1743490140,95.885,95.885,95.885,95.885,7
1743490200,95.885,95.885,95.885,95.885,12
1743490320,95.885,95.885,95.885,95.885,356
1743490800,95.885,95.885,95.885,95.885,201
1743490860,95.885,95.885,95.885,95.885,51
1743490980,95.885,95.885,95.885,95.885,27
1743491100,95.885,95.885,95.885,95.885,2
1743491160,95.885,95.885,95.885,95.885,24
1743491280,95.885,95.885,95.885,95.885,173
1743491340,95.885,95.885,95.885,95.885,9
1743492900,95.89,95.89,95.89,95.89,53
1743493140,95.89,95.89,95.89,95.89,12
1743493260,95.89,95.89,95.89,95.89,14
1743493320,95.89,95.89,95.89,95.89,14
1743493380,95.89,95.89,95.89,95.89,12
1743493440,95.89,95.89,95.89,95.89,12
1743493560,95.89,95.89,95.89,95.89,3
1743493680,95.89,95.89,95.89,95.89,31
1743493740,95.89,95.89,95.89,95.89,37
1743494220,95.89,95.89,95.89,95.89,200
1743494580,95.89,95.89,95.89,95.89,13
1743495060,95.89,95.89,95.89,95.89,67
1743495120,95.89,95.89,95.89,95.89,88
1743496320,95.89,95.89,95.89,95.89,776
1743496380,95.89,95.89,95.89,95.89,30
1743496500,95.89,95.89,95.89,95.89,26
1743496620,95.89,95.89,95.89,95.89,31
1743496680,95.89,95.89,95.89,95.89,15
1743497160,95.89,95.89,95.89,95.89,271
1743497280,95.89,95.89,95.89,95.89,6
1743497520,95.89,95.89,95.89,95.89,8
1743497640,95.89,95.89,95.89,95.89,15
1743498780,95.89,95.89,95.89,95.89,58
1743499020,95.89,95.89,95.89,95.89,15
1743499980,95.885,95.885,95.885,95.885,100
1743500160,95.885,95.885,95.885,95.885,25
1743500400,95.885,95.885,95.885,95.885,896
1743500460,95.885,95.885,95.885,95.885,185
1743500520,95.885,95.885,95.885,95.885,15
1743500640,95.885,95.885,95.885,95.885,209
1743501660,95.885,95.885,95.885,95.885,318
1743501720,95.885,95.885,95.885,95.885,69
1743501900,95.885,95.885,95.885,95.885,2
1743502140,95.89,95.89,95.89,95.89,468
1743502260,95.89,95.89,95.89,95.89,8
1743502920,95.89,95.89,95.89,95.89,55
1743504300,95.895,95.895,95.895,95.895,265
1743504900,95.895,95.895,95.895,95.895,151
1743505020,95.895,95.895,95.895,95.895,115
1743505080,95.895,95.895,95.895,95.895,211
1743505140,95.895,95.895,95.895,95.895,32
1743505260,95.895,95.895,95.895,95.895,2
1743505380,95.895,95.895,95.895,95.895,1
1743505500,95.895,95.895,95.895,95.895,500
1743506880,95.9,95.9,95.9,95.9,713
1743506940,95.9,95.9,95.9,95.9,239
1743507000,95.9,95.9,95.9,95.9,2
1743507060,95.9,95.905,95.9,95.9,196
1743507120,95.905,95.905,95.905,95.905,3
1743507180,95.9,95.905,95.9,95.905,2
1743507240,95.9,95.905,95.9,95.905,2
1743507300,95.905,95.905,95.905,95.905,3
1743507360,95.905,95.905,95.905,95.905,2
1743507420,95.905,95.905,95.905,95.905,208
1743507480,95.905,95.905,95.905,95.905,196
1743507540,95.905,95.905,95.905,95.905,52
1743507600,95.905,95.905,95.905,95.905,2
1743507900,95.9,95.9,95.9,95.9,360
1743508080,95.9,95.9,95.9,95.9,563
1743508740,95.9,95.9,95.9,95.9,232
1743508800,95.9,95.9,95.9,95.9,49
1743508860,95.9,95.9,95.9,95.9,234
1743508920,95.9,95.9,95.9,95.9,11
1743509040,95.9,95.9,95.9,95.9,33
1743509160,95.9,95.9,95.9,95.9,157
1743509400,95.9,95.9,95.9,95.9,21
1743509460,95.9,95.9,95.9,95.9,302
1743509520,95.9,95.9,95.9,95.9,10
1743509580,95.9,95.9,95.9,95.9,2
1743509640,95.9,95.9,95.9,95.9,350
1743509880,95.9,95.9,95.9,95.9,158
1743510000,95.905,95.905,95.9,95.9,4
1743510120,95.9,95.9,95.9,95.9,14
1743510240,95.9,95.9,95.9,95.9,10
1743510300,95.9,95.9,95.9,95.9,75
1743510360,95.9,95.9,95.9,95.9,421
1743510420,95.9,95.9,95.9,95.9,8
1743510780,95.895,95.895,95.895,95.895,372
1743510840,95.895,95.895,95.895,95.895,88
1743510900,95.89,95.89,95.89,95.89,1
1743511080,95.895,95.895,95.89,95.89,3
1743511140,95.89,95.89,95.89,95.89,2
1743511260,95.89,95.89,95.89,95.89,2
1743511380,95.89,95.89,95.89,95.89,3
1743511440,95.89,95.89,95.89,95.89,251
1743511500,95.89,95.89,95.89,95.89,2
1743511680,95.89,95.89,95.89,95.89,2
1743511740,95.89,95.89,95.89,95.89,105
1743511860,95.89,95.89,95.89,95.89,52
1743511920,95.89,95.89,95.89,95.89,150
1743511980,95.885,95.885,95.885,95.885,2
1743512040,95.89,95.89,95.89,95.89,1
1743512100,95.89,95.89,95.89,95.89,3
1743512220,95.89,95.89,95.89,95.89,1
1743512280,95.89,95.89,95.89,95.89,299
1743512880,95.885,95.885,95.885,95.885,188
1743513060,95.885,95.885,95.885,95.885,3
1743513120,95.885,95.885,95.885,95.885,325
1743513180,95.885,95.885,95.885,95.885,159
1743513780,95.885,95.885,95.885,95.885,40
1743514260,95.885,95.885,95.885,95.885,14
1743514440,95.885,95.885,95.885,95.885,1
1743514620,95.885,95.885,95.885,95.885,3
1743514740,95.885,95.885,95.885,95.885,1
1743514920,95.885,95.885,95.885,95.885,445
1743515100,95.885,95.885,95.885,95.885,672
1743515220,95.885,95.885,95.885,95.885,251
1743515400,95.885,95.885,95.885,95.885,657
1743515460,95.885,95.885,95.885,95.885,236
1743515520,95.885,95.885,95.885,95.885,1
1743515580,95.885,95.885,95.885,95.885,23
1743515640,95.885,95.885,95.885,95.885,118
1743515880,95.885,95.885,95.885,95.885,1
1743515940,95.89,95.89,95.89,95.89,29
1743516000,95.89,95.895,95.885,95.89,1130
1743516060,95.89,95.9,95.89,95.9,1415
1743516120,95.9,95.9,95.895,95.895,1386
1743516180,95.9,95.9,95.895,95.895,161
1743516240,95.89,95.895,95.89,95.895,478
1743516300,95.895,95.895,95.895,95.895,34
1743516360,95.895,95.895,95.895,95.895,105
1743516540,95.895,95.895,95.895,95.895,4
1743516600,95.895,95.895,95.895,95.895,201
1743516960,95.9,95.9,95.9,95.9,400
1743517080,95.895,95.895,95.895,95.895,1
1743517320,95.895,95.895,95.895,95.895,216
1743517380,95.895,95.895,95.895,95.895,3
1743517440,95.895,95.895,95.895,95.895,50
1743517500,95.895,95.895,95.895,95.895,59
1743517680,95.895,95.895,95.895,95.895,2
1743517800,95.895,95.895,95.895,95.895,222
1743517860,95.895,95.895,95.895,95.895,20
1743517920,95.895,95.895,95.895,95.895,63
1743518220,95.895,95.895,95.895,95.895,302
1743518340,95.89,95.89,95.89,95.89,190
1743518580,95.89,95.89,95.89,95.89,30
1743518640,95.89,95.89,95.89,95.89,16
1743518820,95.89,95.89,95.89,95.89,72
1743518880,95.89,95.89,95.89,95.89,71
1743518940,95.89,95.89,95.89,95.89,7
1743519060,95.89,95.89,95.89,95.89,77
1743519720,95.885,95.885,95.885,95.885,8
1743519780,95.885,95.885,95.885,95.885,1041
1743519840,95.885,95.885,95.885,95.885,10
