time,open,high,low,close,Volume
1740956400,95.935,95.935,95.925,95.925,405
1740956460,95.925,95.925,95.925,95.925,63
1740956520,95.925,95.925,95.925,95.925,25
1740956580,95.925,95.925,95.925,95.925,20
1740957120,95.92,95.92,95.92,95.92,58
1740958200,95.92,95.92,95.92,95.92,6
1740961620,95.915,95.915,95.915,95.915,15
1740962400,95.915,95.915,95.915,95.915,9
1740962580,95.915,95.915,95.915,95.915,6
1740962880,95.915,95.915,95.915,95.915,3
1740963960,95.915,95.915,95.915,95.915,11
1740964140,95.915,95.915,95.915,95.915,3
1740965760,95.915,95.915,95.915,95.915,10
1740966120,95.915,95.915,95.915,95.915,13
1740966240,95.915,95.915,95.915,95.915,13
1740966360,95.915,95.915,95.915,95.915,2
1740967140,95.915,95.915,95.915,95.915,13
1740967680,95.915,95.915,95.915,95.915,14
1740967740,95.915,95.915,95.915,95.915,2
1740967800,95.915,95.915,95.915,95.915,1
1740968280,95.915,95.915,95.915,95.915,5
1740968340,95.915,95.915,95.915,95.915,2
1740971040,95.92,95.92,95.92,95.92,79
1740972060,95.92,95.92,95.92,95.92,20
1740976500,95.92,95.92,95.92,95.92,3
1740977340,95.92,95.92,95.92,95.92,7
1740977520,95.92,95.92,95.92,95.92,267
1740982140,95.92,95.92,95.92,95.92,12
1740982200,95.92,95.92,95.92,95.92,88
1740984960,95.92,95.92,95.92,95.92,404
1740986340,95.915,95.915,95.915,95.915,9
1740987720,95.915,95.915,95.915,95.915,11
1740987780,95.915,95.915,95.915,95.915,6
1740988020,95.915,95.915,95.915,95.915,23
1740988260,95.915,95.915,95.915,95.915,30
1740988320,95.915,95.915,95.915,95.915,14
1740988440,95.915,95.915,95.915,95.915,8
1740993180,95.92,95.92,95.92,95.92,2
1740994260,95.915,95.915,95.915,95.915,200
1740994800,95.915,95.915,95.915,95.915,228
1740994860,95.915,95.915,95.915,95.915,108
1740995040,95.915,95.915,95.915,95.915,12
1740996300,95.91,95.91,95.91,95.91,50
1740996780,95.91,95.91,95.91,95.91,50
1740996840,95.91,95.91,95.91,95.91,20
1740996960,95.91,95.91,95.91,95.91,100
1740998580,95.905,95.905,95.905,95.905,1
1740998700,95.905,95.905,95.905,95.905,40
1740999540,95.905,95.905,95.905,95.905,20
1741000080,95.905,95.905,95.905,95.905,51
1741000140,95.905,95.905,95.905,95.905,12
1741000860,95.905,95.905,95.905,95.905,86
1741001160,95.905,95.905,95.905,95.905,101
1741001280,95.905,95.905,95.905,95.905,10
1741003800,95.91,95.91,95.91,95.91,35
1741003920,95.91,95.91,95.91,95.91,15
1741004640,95.91,95.91,95.91,95.91,1
1741005060,95.905,95.905,95.905,95.905,22
1741005180,95.905,95.905,95.905,95.905,11
1741005240,95.905,95.905,95.905,95.905,10
1741005660,95.905,95.905,95.905,95.905,240
1741006320,95.905,95.905,95.905,95.905,27
1741006380,95.91,95.91,95.91,95.91,3
1741006440,95.91,95.91,95.91,95.91,20
1741006500,95.91,95.91,95.91,95.91,64
1741006620,95.91,95.91,95.91,95.91,5
1741006680,95.91,95.91,95.91,95.91,180
1741007400,95.905,95.905,95.905,95.905,68
1741007580,95.905,95.905,95.905,95.905,4
1741008000,95.905,95.905,95.905,95.905,52
1741008480,95.905,95.905,95.905,95.905,1
1741008600,95.905,95.905,95.905,95.905,34
1741009380,95.905,95.905,95.905,95.905,8
1741009500,95.905,95.905,95.905,95.905,4
1741009620,95.91,95.91,95.91,95.91,1
1741010520,95.91,95.91,95.91,95.91,1
1741010880,95.905,95.905,95.905,95.905,2
1741010940,95.905,95.905,95.905,95.905,152
1741011000,95.905,95.905,95.905,95.905,9
1741011060,95.905,95.905,95.905,95.905,140
1741011240,95.905,95.905,95.905,95.905,264
1741011300,95.905,95.905,95.905,95.905,305
1741011360,95.905,95.905,95.905,95.905,10
1741011720,95.905,95.905,95.905,95.905,10
1741011780,95.905,95.905,95.905,95.905,25
1741012020,95.905,95.905,95.905,95.905,41
1741012140,95.905,95.905,95.905,95.905,15
1741012260,95.905,95.905,95.905,95.905,13
1741012440,95.905,95.905,95.905,95.905,1
1741012500,95.905,95.905,95.905,95.905,2
1741012560,95.905,95.905,95.905,95.905,226
1741012800,95.91,95.91,95.91,95.91,1
1741012860,95.91,95.91,95.91,95.91,5
1741012920,95.91,95.91,95.91,95.91,11
1741013100,95.91,95.91,95.91,95.91,42
1741013160,95.91,95.91,95.91,95.91,13
1741013280,95.91,95.91,95.91,95.91,79
1741013400,95.91,95.91,95.91,95.91,16
1741013580,95.91,95.91,95.91,95.91,45
1741013640,95.91,95.91,95.91,95.91,10
1741013700,95.91,95.91,95.91,95.91,7
1741013760,95.91,95.91,95.91,95.91,29
1741013940,95.91,95.91,95.91,95.91,158
1741014000,95.905,95.915,95.905,95.915,207
1741014060,95.92,95.92,95.92,95.92,156
1741014120,95.92,95.92,95.92,95.92,168
1741014180,95.92,95.92,95.92,95.92,44
1741014300,95.915,95.915,95.915,95.915,48
1741014600,95.915,95.915,95.915,95.915,190
1741014660,95.915,95.915,95.915,95.915,15
1741014720,95.915,95.92,95.915,95.92,1451
1741014780,95.925,95.925,95.925,95.925,65
1741014900,95.93,95.93,95.93,95.93,290
1741014960,95.93,95.93,95.93,95.93,44
1741015020,95.925,95.925,95.925,95.925,2
1741015080,95.93,95.93,95.93,95.93,120
1741015320,95.925,95.925,95.925,95.925,325
1741015380,95.925,95.925,95.925,95.925,140
1741015620,95.925,95.925,95.925,95.925,127
1741015680,95.925,95.93,95.925,95.925,45
1741015740,95.925,95.925,95.925,95.925,214
1741015980,95.925,95.925,95.925,95.925,49
