time,open,high,low,close,Volume
1743488940,96.035,96.035,96.035,96.035,30
1743490320,96.03,96.03,96.03,96.03,85
1743490740,96.03,96.03,96.03,96.03,8
1743490800,96.03,96.03,96.03,96.03,55
1743490860,96.03,96.03,96.03,96.03,8
1743490980,96.03,96.03,96.03,96.03,2
1743491040,96.03,96.03,96.03,96.03,176
1743491100,96.03,96.03,96.03,96.03,112
1743491160,96.03,96.03,96.03,96.03,10
1743491280,96.03,96.03,96.03,96.03,44
1743491340,96.03,96.03,96.03,96.03,6
1743491520,96.035,96.035,96.035,96.035,125
1743492060,96.03,96.03,96.03,96.03,12
1743492900,96.035,96.035,96.035,96.035,20
1743493020,96.035,96.035,96.035,96.035,6
1743493140,96.04,96.04,96.04,96.04,96
1743493560,96.04,96.04,96.04,96.04,200
1743495180,96.04,96.04,96.04,96.04,22
1743496080,96.04,96.04,96.04,96.04,19
1743498840,96.04,96.04,96.04,96.04,11
1743499320,96.035,96.035,96.035,96.035,317
1743499380,96.035,96.035,96.035,96.035,9
1743499620,96.035,96.035,96.035,96.035,8
1743500040,96.035,96.035,96.035,96.035,8
1743500160,96.035,96.035,96.03,96.03,50
1743500460,96.03,96.03,96.03,96.03,7
1743500580,96.03,96.03,96.03,96.03,49
1743500880,96.03,96.03,96.03,96.03,200
1743500940,96.03,96.03,96.03,96.03,8
1743501660,96.03,96.03,96.03,96.03,223
1743502080,96.035,96.035,96.035,96.035,59
1743502200,96.04,96.04,96.04,96.04,5
1743502260,96.04,96.04,96.04,96.04,11
1743502320,96.04,96.04,96.04,96.04,38
1743502380,96.04,96.04,96.04,96.04,16
1743502440,96.04,96.04,96.04,96.04,8
1743502560,96.04,96.04,96.04,96.04,323
1743502620,96.04,96.04,96.04,96.04,17
1743502860,96.04,96.04,96.04,96.04,100
1743503520,96.045,96.045,96.045,96.045,23
1743503580,96.045,96.045,96.045,96.045,12
1743503880,96.045,96.045,96.045,96.045,400
1743504300,96.045,96.045,96.045,96.045,1
1743504420,96.045,96.045,96.045,96.045,1
1743504900,96.045,96.045,96.045,96.045,103
1743504960,96.045,96.045,96.045,96.045,1
1743505260,96.05,96.05,96.05,96.05,13
1743505320,96.05,96.05,96.05,96.05,31
1743505680,96.05,96.05,96.05,96.05,43
1743505740,96.05,96.05,96.05,96.05,110
1743505800,96.05,96.05,96.05,96.05,10
1743505860,96.05,96.05,96.05,96.05,30
1743505920,96.05,96.05,96.05,96.05,20
1743505980,96.05,96.05,96.05,96.05,3
1743506100,96.05,96.05,96.05,96.05,10
1743506280,96.05,96.05,96.05,96.05,10
1743506340,96.05,96.05,96.05,96.05,1
1743506400,96.05,96.05,96.05,96.05,12
1743507000,96.055,96.055,96.055,96.055,2
1743507060,96.055,96.055,96.055,96.055,303
1743507120,96.055,96.055,96.055,96.055,38
1743507180,96.055,96.055,96.055,96.055,1
1743507240,96.055,96.055,96.055,96.055,22
1743507300,96.055,96.055,96.055,96.055,7
1743507420,96.06,96.06,96.06,96.06,14
1743507480,96.06,96.06,96.06,96.06,388
1743507540,96.06,96.06,96.06,96.06,10
1743507900,96.055,96.055,96.055,96.055,10
1743507960,96.055,96.055,96.055,96.055,18
1743508140,96.055,96.055,96.055,96.055,7
1743508260,96.055,96.055,96.055,96.055,28
1743508560,96.055,96.055,96.055,96.055,50
1743508620,96.055,96.055,96.055,96.055,50
1743508680,96.055,96.055,96.055,96.055,5
1743509760,96.05,96.05,96.05,96.05,8
1743510000,96.05,96.055,96.05,96.055,30
1743510060,96.055,96.055,96.055,96.055,33
1743510120,96.055,96.055,96.055,96.055,14
1743510240,96.05,96.05,96.05,96.05,44
1743510540,96.05,96.05,96.05,96.05,1
1743510600,96.05,96.05,96.05,96.05,66
1743510660,96.05,96.05,96.05,96.05,50
1743511080,96.045,96.045,96.045,96.045,1
1743511140,96.045,96.045,96.045,96.045,103
1743511200,96.045,96.045,96.045,96.045,170
1743511260,96.045,96.045,96.045,96.045,60
1743511320,96.045,96.045,96.045,96.045,24
1743511740,96.04,96.04,96.04,96.04,181
1743511860,96.04,96.04,96.04,96.04,9
1743511920,96.04,96.04,96.04,96.04,109
1743511980,96.04,96.04,96.04,96.04,1
1743512280,96.04,96.04,96.04,96.04,323
1743512640,96.035,96.035,96.035,96.035,306
1743512700,96.035,96.035,96.035,96.035,21
1743512760,96.035,96.035,96.035,96.035,11
1743512820,96.035,96.035,96.035,96.035,33
1743513480,96.035,96.035,96.035,96.035,5
1743513780,96.035,96.035,96.035,96.035,185
1743514140,96.035,96.035,96.035,96.035,1
1743514440,96.035,96.035,96.035,96.035,7
1743514620,96.035,96.035,96.035,96.035,25
1743514740,96.035,96.035,96.035,96.035,6
1743514920,96.035,96.035,96.035,96.035,179
1743515100,96.04,96.04,96.04,96.04,1
1743515220,96.035,96.035,96.035,96.035,359
1743515280,96.035,96.035,96.035,96.035,12
1743515460,96.035,96.035,96.035,96.035,121
1743515520,96.035,96.035,96.035,96.035,26
1743515880,96.04,96.04,96.04,96.04,19
1743515940,96.04,96.04,96.04,96.04,25
1743516000,96.04,96.045,96.035,96.045,173
1743516060,96.045,96.055,96.045,96.055,1470
1743516120,96.055,96.055,96.05,96.05,123
1743516180,96.05,96.05,96.05,96.05,14
1743516240,96.045,96.05,96.045,96.05,128
1743516360,96.05,96.05,96.05,96.05,178
1743516540,96.05,96.05,96.05,96.05,28
1743516600,96.05,96.05,96.05,96.05,118
1743516780,96.055,96.055,96.055,96.055,80
1743516840,96.055,96.055,96.055,96.055,8
1743516900,96.055,96.055,96.055,96.055,1
1743516960,96.055,96.055,96.055,96.055,36
1743517320,96.05,96.05,96.05,96.05,35
1743517500,96.05,96.05,96.05,96.05,77
1743517800,96.05,96.05,96.05,96.05,17
1743517860,96.05,96.05,96.05,96.05,7
1743517920,96.05,96.05,96.05,96.05,19
1743518220,96.05,96.05,96.05,96.05,3
1743518280,96.045,96.045,96.045,96.045,56
1743518340,96.045,96.045,96.045,96.045,3
1743518460,96.045,96.045,96.045,96.045,9
1743518520,96.045,96.045,96.045,96.045,49
1743518640,96.045,96.045,96.045,96.045,9
1743518880,96.045,96.045,96.045,96.045,4
1743518940,96.045,96.045,96.045,96.045,58
1743519000,96.045,96.045,96.045,96.045,1
1743519120,96.04,96.04,96.04,96.04,36
1743519180,96.04,96.04,96.04,96.04,20
1743519240,96.04,96.04,96.04,96.04,8
1743519300,96.04,96.04,96.04,96.04,11
1743519360,96.04,96.04,96.04,96.04,2
1743519540,96.04,96.04,96.04,96.04,11
1743519600,96.04,96.04,96.04,96.04,10
1743519660,96.04,96.04,96.04,96.04,23
1743519720,96.04,96.04,96.04,96.04,11
1743519960,96.04,96.04,96.04,96.04,333
1743520080,96.04,96.04,96.04,96.04,110
1743520200,96.045,96.045,96.045,96.045,133
1743520260,96.045,96.045,96.045,96.045,41
1743520320,96.045,96.045,96.045,96.045,21
1743520440,96.045,96.045,96.045,96.045,32
1743520500,96.045,96.045,96.045,96.045,124
1743520560,96.045,96.045,96.045,96.045,61
1743520740,96.045,96.045,96.045,96.045,42
1743520800,96.045,96.045,96.045,96.045,450
1743520860,96.045,96.045,96.045,96.045,27
1743521340,96.045,96.045,96.045,96.045,1
1743521460,96.045,96.045,96.045,96.045,15
1743521700,96.045,96.05,96.045,96.05,595
1743521760,96.05,96.05,96.05,96.05,89
1743521820,96.05,96.05,96.05,96.05,507
1743521880,96.05,96.05,96.05,96.05,76
1743522060,96.05,96.05,96.05,96.05,183
1743522120,96.05,96.05,96.05,96.05,126
1743522180,96.05,96.05,96.05,96.05,16
1743522240,96.05,96.05,96.05,96.05,51
1743522300,96.05,96.05,96.05,96.05,129
1743522420,96.05,96.05,96.05,96.05,34
1743522480,96.05,96.05,96.05,96.05,22
1743522540,96.05,96.05,96.05,96.05,11
1743522660,96.05,96.05,96.05,96.05,41
1743522720,96.05,96.05,96.05,96.05,53
1743523140,96.045,96.045,96.045,96.045,8
1743523260,96.045,96.045,96.045,96.045,63
1743523380,96.045,96.045,96.045,96.045,11
1743523500,96.05,96.05,96.05,96.05,3
1743523800,96.045,96.045,96.045,96.045,27
1743523860,96.045,96.045,96.045,96.045,15
1743523920,96.045,96.045,96.045,96.045,10
1743524160,96.045,96.045,96.045,96.045,7
1743524220,96.045,96.045,96.045,96.045,4
1743524280,96.045,96.045,96.045,96.045,74
1743524340,96.045,96.045,96.045,96.045,26
1743524400,96.045,96.045,96.045,96.045,11
1743524460,96.045,96.045,96.045,96.045,22
1743525000,96.05,96.05,96.05,96.05,23
1743525060,96.05,96.05,96.05,96.05,36
1743525240,96.055,96.055,96.055,96.055,5
1743525780,96.055,96.055,96.055,96.055,46
1743525840,96.055,96.055,96.055,96.055,374
1743525900,96.055,96.055,96.055,96.055,83
1743525960,96.055,96.055,96.055,96.055,359
1743526260,96.05,96.05,96.05,96.05,1
1743526740,96.05,96.05,96.05,96.05,191
1743526920,96.05,96.05,96.05,96.05,3
1743526980,96.05,96.05,96.05,96.05,11
1743528240,96.055,96.055,96.055,96.055,16
1743529980,96.055,96.055,96.055,96.055,1
1743530460,96.055,96.06,96.055,96.06,313
1743530520,96.06,96.06,96.06,96.06,25
1743530580,96.06,96.06,96.06,96.06,67
1743530640,96.06,96.06,96.06,96.06,23
1743530700,96.06,96.06,96.06,96.06,110
1743531240,96.06,96.06,96.06,96.06,3
1743532020,96.065,96.065,96.065,96.065,200
1743532260,96.06,96.06,96.06,96.06,117
1743532320,96.06,96.06,96.06,96.06,50
1743533760,96.055,96.055,96.055,96.055,37
1743533940,96.055,96.055,96.055,96.055,33
1743534000,96.055,96.055,96.055,96.055,12
1743534660,96.055,96.055,96.055,96.055,66
1743534720,96.055,96.055,96.055,96.055,11
1743535980,96.05,96.05,96.05,96.05,51
1743536220,96.05,96.05,96.05,96.05,23
1743536340,96.05,96.05,96.05,96.05,37
1743539820,96.05,96.05,96.05,96.05,33
1743540420,96.045,96.045,96.045,96.045,35
1743540600,96.04,96.04,96.04,96.04,15
1743540660,96.04,96.04,96.04,96.04,61
1743540720,96.04,96.04,96.04,96.04,37
1743540960,96.04,96.04,96.04,96.04,8
1743541140,96.04,96.04,96.04,96.04,3
1743544800,96.025,96.04,96.025,96.04,31
1743544920,96.035,96.035,96.035,96.035,1
1743544980,96.035,96.035,96.035,96.035,22
1743545100,96.035,96.035,96.035,96.035,9
1743545160,96.03,96.03,96.03,96.03,9
1743545220,96.03,96.03,96.03,96.03,6
1743545280,96.03,96.03,96.03,96.03,16
1743545400,96.03,96.03,96.03,96.03,5
1743545460,96.025,96.025,96.025,96.025,3
1743545520,96.025,96.025,96.025,96.025,2
1743545820,96.025,96.025,96.025,96.025,1
1743545880,96.025,96.025,96.025,96.025,7
