time,open,high,low,close,Volume
1751346780,95.825,95.825,95.825,95.825,80
1751347020,95.825,95.825,95.825,95.825,64
1751347620,95.825,95.825,95.825,95.825,16
1751347980,95.825,95.825,95.825,95.825,2
1751350500,95.825,95.825,95.825,95.825,6
1751350740,95.825,95.825,95.82,95.825,154
1751350980,95.825,95.825,95.825,95.825,1
1751351280,95.825,95.825,95.825,95.825,1
1751353560,95.825,95.825,95.82,95.82,2
1751354040,95.825,95.825,95.825,95.825,1
1751354100,95.825,95.825,95.825,95.825,12
1751354640,95.825,95.825,95.825,95.825,19
1751354700,95.825,95.825,95.825,95.825,1
1751355360,95.825,95.825,95.825,95.825,6
1751355420,95.825,95.825,95.825,95.825,249
1751355480,95.825,95.825,95.825,95.825,807
1751355600,95.825,95.825,95.825,95.825,112
1751355900,95.83,95.83,95.83,95.83,2
1751356140,95.83,95.83,95.83,95.83,1
1751357700,95.825,95.825,95.825,95.825,592
1751358600,95.825,95.825,95.825,95.825,300
1751358660,95.825,95.825,95.825,95.825,40
1751358840,95.825,95.825,95.825,95.825,173
1751359080,95.825,95.825,95.825,95.825,1
1751359500,95.825,95.825,95.825,95.825,2
1751361660,95.825,95.825,95.825,95.825,500
1751361840,95.825,95.825,95.825,95.825,1
1751362620,95.825,95.825,95.825,95.825,7
1751362860,95.825,95.825,95.825,95.825,61
1751363160,95.825,95.825,95.825,95.825,3
1751363340,95.825,95.825,95.825,95.825,10
1751364360,95.825,95.825,95.825,95.825,51
1751364420,95.825,95.825,95.825,95.825,25
1751365920,95.825,95.825,95.825,95.825,152
1751366460,95.825,95.825,95.825,95.825,154
1751366520,95.825,95.825,95.825,95.825,12
1751366580,95.825,95.825,95.825,95.825,43
1751367900,95.825,95.825,95.825,95.825,120
1751368560,95.825,95.825,95.825,95.825,31
1751368620,95.825,95.825,95.825,95.825,9
1751369760,95.825,95.825,95.825,95.825,10
1751370120,95.825,95.825,95.825,95.825,4
1751370900,95.825,95.825,95.825,95.825,157
1751371440,95.825,95.825,95.825,95.825,2
1751371800,95.825,95.825,95.825,95.825,57
1751372520,95.825,95.825,95.825,95.825,26
1751372760,95.825,95.825,95.825,95.825,7
1751372820,95.825,95.825,95.825,95.825,7
1751373000,95.825,95.825,95.825,95.825,5
1751373060,95.825,95.825,95.825,95.825,2
1751373660,95.825,95.825,95.825,95.825,2
1751375580,95.825,95.825,95.825,95.825,407
1751376180,95.82,95.82,95.82,95.82,17
1751376360,95.82,95.82,95.82,95.82,7
1751376780,95.82,95.82,95.82,95.82,9
1751376960,95.825,95.825,95.825,95.825,217
1751377080,95.825,95.825,95.825,95.825,135
1751377260,95.82,95.82,95.82,95.82,7
1751377320,95.82,95.82,95.82,95.82,1
1751377380,95.82,95.82,95.82,95.82,3
1751377500,95.82,95.82,95.82,95.82,22
1751377680,95.82,95.825,95.82,95.825,418
1751377740,95.825,95.835,95.82,95.835,1742
1751377800,95.835,95.835,95.835,95.835,1017
1751377860,95.835,95.835,95.835,95.835,123
1751377920,95.835,95.835,95.835,95.835,560
1751377980,95.835,95.835,95.835,95.835,25
1751378040,95.835,95.835,95.835,95.835,53
1751378100,95.835,95.835,95.835,95.835,35
1751378220,95.84,95.84,95.84,95.84,3
1751378340,95.835,95.835,95.835,95.835,5
1751378400,95.835,95.835,95.825,95.83,394
1751378460,95.83,95.83,95.83,95.83,106
1751378820,95.825,95.825,95.825,95.825,59
1751378880,95.825,95.825,95.825,95.825,58
1751378940,95.825,95.825,95.825,95.825,10
1751379000,95.825,95.825,95.825,95.825,83
1751379300,95.825,95.825,95.825,95.825,59
1751379420,95.825,95.825,95.825,95.825,59
1751379720,95.825,95.825,95.825,95.825,8
1751380980,95.825,95.825,95.825,95.825,1
1751381160,95.82,95.82,95.82,95.82,5
1751381940,95.82,95.82,95.82,95.82,1
1751382360,95.825,95.825,95.825,95.825,1
1751382660,95.825,95.825,95.825,95.825,171
1751382840,95.825,95.825,95.825,95.825,276
1751383020,95.825,95.825,95.825,95.825,38
1751383080,95.825,95.825,95.825,95.825,11
1751383320,95.825,95.825,95.825,95.825,31
1751383920,95.825,95.825,95.825,95.825,3
1751385000,95.82,95.82,95.82,95.82,79
1751385120,95.82,95.82,95.82,95.82,377
1751385960,95.82,95.82,95.82,95.82,88
1751386200,95.82,95.82,95.82,95.82,75
1751387160,95.82,95.82,95.82,95.82,4
1751387220,95.82,95.82,95.82,95.82,99
1751387760,95.82,95.82,95.82,95.82,36
1751387940,95.82,95.82,95.82,95.82,20
1751388360,95.82,95.82,95.82,95.82,8
1751388420,95.82,95.82,95.82,95.82,6
1751388480,95.82,95.82,95.82,95.82,112
1751388540,95.82,95.82,95.82,95.82,141
1751390160,95.82,95.82,95.82,95.82,108
1751390940,95.82,95.82,95.82,95.82,32
1751392740,95.82,95.82,95.82,95.82,12
1751392860,95.82,95.82,95.82,95.82,4
1751393700,95.82,95.82,95.82,95.82,32
1751395200,95.82,95.82,95.82,95.82,45
1751395800,95.82,95.82,95.82,95.82,11
1751396340,95.825,95.825,95.825,95.825,4
1751397600,95.825,95.825,95.825,95.825,16
1751397840,95.82,95.82,95.82,95.82,20
1751398440,95.82,95.82,95.82,95.82,15
1751398560,95.82,95.82,95.82,95.82,2
1751399220,95.825,95.825,95.825,95.825,1
1751399580,95.82,95.82,95.82,95.82,12
1751399700,95.82,95.82,95.82,95.82,1
1751399940,95.825,95.825,95.825,95.825,1
1751400540,95.825,95.825,95.825,95.825,1
1751403360,95.82,95.82,95.82,95.82,1
1751403540,95.82,95.82,95.82,95.82,1
1751407200,95.825,95.825,95.825,95.825,280
1751410020,95.82,95.82,95.82,95.82,6
1751412720,95.825,95.825,95.825,95.825,1
1751421720,95.825,95.825,95.825,95.825,10
1751438040,95.82,95.82,95.82,95.82,254
1751438940,95.82,95.82,95.82,95.82,5
1751439120,95.82,95.82,95.82,95.82,11
1751439240,95.82,95.82,95.82,95.82,100
1751439420,95.82,95.82,95.82,95.82,16
1751439600,95.82,95.82,95.82,95.82,169
1751441040,95.82,95.82,95.82,95.82,200
1751441160,95.82,95.82,95.82,95.82,2
1751442480,95.82,95.82,95.82,95.82,1
1751443080,95.82,95.82,95.82,95.82,44
1751443860,95.82,95.82,95.82,95.82,31
1751447820,95.82,95.82,95.82,95.82,1
1751449320,95.82,95.82,95.82,95.82,1
1751449920,95.82,95.82,95.82,95.82,2
1751450160,95.82,95.82,95.82,95.82,2
