time,open,high,low,close,Volume
1748815200,95.805,95.81,95.805,95.805,13
1748815260,95.805,95.805,95.805,95.805,10
1748816640,95.805,95.805,95.805,95.805,12
1748818260,95.805,95.805,95.805,95.805,42
1748819760,95.805,95.805,95.805,95.805,38
1748822160,95.805,95.805,95.805,95.805,2
1748822400,95.805,95.805,95.805,95.805,4
1748828580,95.8,95.8,95.8,95.8,72
1748829600,95.8,95.8,95.8,95.8,27
1748829660,95.8,95.8,95.8,95.8,20
1748829720,95.805,95.805,95.805,95.805,6
1748832060,95.8,95.8,95.8,95.8,158
1748832360,95.8,95.8,95.8,95.8,39
1748833020,95.8,95.8,95.8,95.8,36
1748833920,95.8,95.8,95.8,95.8,167
1748833980,95.8,95.8,95.8,95.8,1
1748837700,95.8,95.8,95.8,95.8,2
1748845800,95.8,95.8,95.8,95.8,17
1748849520,95.8,95.8,95.8,95.8,2
1748850120,95.8,95.8,95.8,95.8,5
1748850180,95.8,95.8,95.8,95.8,27
1748851500,95.8,95.8,95.8,95.8,2
1748856060,95.8,95.8,95.8,95.8,10
1748856840,95.8,95.8,95.8,95.8,14
1748857740,95.8,95.8,95.8,95.8,204
1748859540,95.8,95.8,95.8,95.8,150
1748862120,95.8,95.8,95.8,95.8,182
1748862180,95.8,95.8,95.8,95.8,47
1748862300,95.8,95.8,95.8,95.8,10
1748862960,95.8,95.8,95.8,95.8,229
1748863020,95.8,95.8,95.8,95.8,24
1748863380,95.8,95.8,95.8,95.8,5
1748864220,95.8,95.8,95.8,95.8,1
1748864280,95.8,95.8,95.8,95.8,1
1748864520,95.8,95.8,95.8,95.8,1
1748865060,95.8,95.8,95.8,95.8,34
1748865120,95.8,95.8,95.8,95.8,7
1748867100,95.8,95.8,95.8,95.8,13
1748867460,95.8,95.8,95.8,95.8,1
1748867760,95.8,95.8,95.8,95.8,15
1748867940,95.8,95.8,95.8,95.8,60
1748869440,95.8,95.8,95.8,95.8,361
1748869620,95.8,95.8,95.8,95.8,16
1748869680,95.8,95.8,95.8,95.8,17
1748869920,95.8,95.8,95.8,95.8,8
1748870940,95.8,95.8,95.8,95.8,29
1748871060,95.8,95.8,95.8,95.8,53
1748871120,95.8,95.8,95.8,95.8,2
1748871600,95.795,95.795,95.795,95.795,1
1748871660,95.795,95.795,95.79,95.795,154
1748871780,95.795,95.795,95.795,95.795,206
1748871960,95.795,95.795,95.795,95.795,35
1748872140,95.795,95.795,95.795,95.795,24
1748872320,95.795,95.795,95.795,95.795,23
1748872500,95.795,95.795,95.795,95.795,107
1748872680,95.795,95.795,95.795,95.795,44
1748872740,95.795,95.795,95.795,95.795,4
1748872800,95.8,95.805,95.795,95.8,80
1748872920,95.8,95.8,95.8,95.8,5
1748873040,95.8,95.8,95.8,95.8,199
1748873280,95.8,95.8,95.8,95.8,1
1748873640,95.8,95.8,95.8,95.8,175
