time,open,high,low,close,Volume
1722490620,94.955,94.955,94.955,94.955,3964
1722490860,94.96,94.96,94.96,94.96,29
1722490980,94.955,94.955,94.955,94.955,120
1722491640,94.96,94.96,94.96,94.96,9
1722493500,94.955,94.955,94.955,94.955,8
1722494400,94.955,94.955,94.955,94.955,1399
1722494460,94.955,94.955,94.955,94.955,12
1722494700,94.955,94.955,94.955,94.955,25
1722494760,94.955,94.955,94.955,94.955,62
1722494820,94.955,94.955,94.955,94.955,2
1722494880,94.955,94.955,94.955,94.955,33
1722494940,94.955,94.955,94.955,94.955,15
1722495060,94.955,94.955,94.955,94.955,27
1722495180,94.955,94.955,94.955,94.955,100
1722496680,94.96,94.96,94.96,94.96,155
1722499260,94.96,94.96,94.96,94.96,1250
1722499860,94.96,94.96,94.96,94.96,54
1722500400,94.96,94.96,94.96,94.96,15
1722502080,94.96,94.96,94.96,94.96,360
1722502200,94.96,94.96,94.96,94.96,58
1722502260,94.96,94.96,94.96,94.96,2
1722502440,94.96,94.96,94.96,94.96,6
1722502500,94.96,94.96,94.96,94.96,3
1722502800,94.96,94.96,94.96,94.96,150
1722502860,94.96,94.96,94.96,94.96,16
1722502980,94.96,94.96,94.96,94.96,1
1722503160,94.96,94.96,94.96,94.96,100
1722504420,94.96,94.96,94.96,94.96,3
1722504540,94.96,94.96,94.96,94.96,256
1722505920,94.96,94.96,94.96,94.96,100
1722506700,94.96,94.96,94.96,94.96,10
1722507480,94.96,94.96,94.96,94.96,2
1722507600,94.96,94.96,94.96,94.96,3
1722507660,94.96,94.96,94.96,94.96,2
1722507720,94.96,94.96,94.96,94.96,4
1722507960,94.96,94.96,94.96,94.96,205
1722508020,94.96,94.96,94.96,94.96,35
1722508200,94.96,94.96,94.96,94.96,4
1722508860,94.96,94.96,94.96,94.96,152
1722508980,94.96,94.96,94.96,94.96,566
1722509100,94.96,94.96,94.96,94.96,85
1722509160,94.96,94.96,94.96,94.96,674
1722509220,94.96,94.96,94.96,94.96,110
1722509280,94.96,94.96,94.96,94.96,2
1722509340,94.96,94.96,94.96,94.96,50
1722509400,94.96,94.96,94.96,94.96,32
1722509460,94.96,94.96,94.96,94.96,50
1722509700,94.96,94.96,94.96,94.96,1
1722509880,94.96,94.96,94.96,94.96,80
1722509940,94.96,94.96,94.96,94.96,7
1722510000,94.96,94.96,94.96,94.96,213
1722510120,94.96,94.96,94.96,94.96,270
1722510180,94.96,94.96,94.96,94.96,2
1722510240,94.96,94.96,94.96,94.96,4
1722510300,94.96,94.96,94.96,94.96,2
1722510780,94.955,94.955,94.955,94.955,1292
1722510840,94.955,94.955,94.955,94.955,11
1722510900,94.955,94.955,94.955,94.955,21
1722511080,94.955,94.955,94.955,94.955,24
1722511140,94.955,94.955,94.955,94.955,22
1722511200,94.955,94.955,94.955,94.955,532
1722512340,94.955,94.955,94.955,94.955,125
1722512400,94.955,94.955,94.955,94.955,10
1722512640,94.96,94.96,94.96,94.96,650
1722513300,94.955,94.955,94.955,94.955,117
1722513540,94.955,94.955,94.955,94.955,4
1722513600,94.955,94.955,94.955,94.955,2
