time,open,high,low,close,Volume
1719812340,94.845,94.845,94.845,94.845,150
1719814260,94.845,94.845,94.845,94.845,11
1719814320,94.845,94.845,94.845,94.845,1
1719814620,94.845,94.845,94.845,94.845,75
1719814680,94.845,94.845,94.845,94.845,26
1719815640,94.845,94.845,94.845,94.845,18
1719815820,94.845,94.845,94.845,94.845,22
1719819180,94.845,94.845,94.845,94.845,250
1719819780,94.845,94.845,94.845,94.845,3
1719820020,94.845,94.845,94.845,94.845,17
1719820320,94.845,94.845,94.845,94.845,24
1719822180,94.84,94.84,94.84,94.84,500
1719830100,94.845,94.845,94.845,94.845,2
1719830460,94.845,94.845,94.845,94.845,682
1719831600,94.845,94.845,94.845,94.845,12
1719832140,94.845,94.845,94.845,94.845,24
1719835620,94.845,94.845,94.845,94.845,2
1719835740,94.845,94.845,94.845,94.845,1
1719835800,94.845,94.845,94.845,94.845,11
1719836040,94.845,94.845,94.845,94.845,194
1719836400,94.84,94.84,94.84,94.84,2
1719837420,94.84,94.84,94.84,94.84,1756
1719837480,94.84,94.84,94.84,94.84,221
1719837540,94.835,94.84,94.835,94.84,28
1719837960,94.84,94.84,94.84,94.84,594
1719838020,94.84,94.84,94.84,94.84,109
1719838740,94.845,94.845,94.845,94.845,28
1719838980,94.84,94.84,94.84,94.84,355
1719839040,94.84,94.84,94.84,94.84,25
1719839520,94.84,94.84,94.84,94.84,7
1719839700,94.84,94.84,94.84,94.84,5
1719840240,94.84,94.84,94.84,94.84,51
1719840300,94.84,94.84,94.84,94.84,39
1719840780,94.835,94.835,94.835,94.835,1
1719840960,94.835,94.835,94.835,94.835,1
1719841020,94.84,94.84,94.84,94.84,3
1719841080,94.84,94.84,94.84,94.84,341
1719841140,94.84,94.84,94.84,94.84,196
1719841200,94.84,94.84,94.835,94.84,129
1719841260,94.84,94.84,94.84,94.84,261
1719841440,94.84,94.84,94.84,94.84,240
1719841500,94.84,94.84,94.84,94.84,1
1719841920,94.84,94.84,94.84,94.84,1
1719842040,94.84,94.84,94.84,94.84,2
1719842280,94.845,94.845,94.845,94.845,1
1719842340,94.84,94.845,94.84,94.84,37
1719842400,94.845,94.855,94.845,94.845,935
1719842460,94.845,94.845,94.845,94.845,173
1719842580,94.845,94.845,94.845,94.845,601
1719842640,94.845,94.845,94.845,94.845,35
1719842700,94.845,94.845,94.845,94.845,18
1719842760,94.845,94.845,94.845,94.845,13
1719842880,94.845,94.845,94.845,94.845,10
1719842940,94.845,94.845,94.845,94.845,1
1719843060,94.84,94.84,94.84,94.84,1
1719843120,94.845,94.845,94.845,94.845,4
1719843300,94.84,94.84,94.84,94.84,1
1719843660,94.84,94.84,94.84,94.84,1458
1719843960,94.84,94.84,94.84,94.84,105
1719844080,94.84,94.84,94.84,94.84,25
1719844140,94.84,94.84,94.84,94.84,15
1719844260,94.84,94.84,94.84,94.84,57
1719844320,94.84,94.84,94.84,94.84,49
1719844560,94.84,94.84,94.84,94.84,110
1719844620,94.84,94.84,94.84,94.84,62
1719844680,94.84,94.84,94.84,94.84,26
1719844860,94.84,94.84,94.84,94.84,1
1719844920,94.84,94.84,94.84,94.84,93
1719844980,94.84,94.84,94.84,94.84,13
1719845100,94.84,94.84,94.84,94.84,43
1719845160,94.84,94.84,94.84,94.84,10
1719845400,94.84,94.84,94.84,94.84,113
1719845700,94.84,94.84,94.84,94.84,102
1719845760,94.84,94.84,94.84,94.84,29
1719846240,94.84,94.84,94.84,94.84,41
1719846360,94.84,94.84,94.84,94.84,6
1719846480,94.84,94.84,94.84,94.84,171
1719846540,94.84,94.84,94.84,94.84,25
1719846900,94.84,94.84,94.84,94.84,75
1719847020,94.84,94.84,94.84,94.84,13
1719847140,94.84,94.84,94.84,94.84,2
1719847200,94.84,94.84,94.84,94.84,102
1719847560,94.84,94.84,94.84,94.84,500
1719847800,94.84,94.84,94.84,94.84,4
1719847860,94.84,94.84,94.84,94.84,27
1719848220,94.84,94.84,94.84,94.84,5
1719848280,94.84,94.84,94.84,94.84,50
1719848520,94.84,94.84,94.84,94.84,50
1719849120,94.84,94.84,94.84,94.84,36
1719849240,94.84,94.84,94.84,94.84,1
1719849600,94.84,94.84,94.84,94.84,100
1719850260,94.84,94.84,94.84,94.84,20
1719850320,94.84,94.84,94.84,94.84,12
1719851640,94.84,94.84,94.84,94.84,1
1719853200,94.84,94.84,94.84,94.84,1
1719853260,94.84,94.84,94.84,94.84,206
1719854280,94.84,94.84,94.84,94.84,1
1719855060,94.845,94.845,94.845,94.845,2407
1719855420,94.845,94.845,94.845,94.845,1
1719856020,94.845,94.845,94.845,94.845,130
1719856080,94.845,94.845,94.845,94.845,174
1719856800,94.845,94.845,94.845,94.845,38
1719856920,94.845,94.845,94.845,94.845,31
1719856980,94.845,94.845,94.845,94.845,11
1719857580,94.845,94.845,94.845,94.845,19
1719857640,94.845,94.845,94.845,94.845,28
1719857940,94.845,94.845,94.845,94.845,95
1719858240,94.845,94.845,94.845,94.845,41
1719859260,94.845,94.845,94.845,94.845,11
1719860340,94.845,94.845,94.845,94.845,5
1719862320,94.845,94.845,94.845,94.845,50
1719862560,94.845,94.845,94.845,94.845,1
1719862620,94.845,94.845,94.845,94.845,3
1719862920,94.845,94.845,94.845,94.845,1
1719863580,94.85,94.85,94.85,94.85,121
1719863940,94.845,94.845,94.845,94.845,1
1719864600,94.845,94.845,94.845,94.845,23
1719864840,94.845,94.845,94.845,94.845,1
1719865380,94.845,94.845,94.845,94.845,4
1719871200,94.85,94.85,94.85,94.85,6
1719877020,94.85,94.85,94.85,94.85,2
1719885540,94.85,94.85,94.85,94.85,3
1719885600,94.85,94.85,94.85,94.85,1
1719890520,94.85,94.85,94.85,94.85,256
1719890580,94.85,94.85,94.85,94.85,100
1719894900,94.85,94.85,94.85,94.85,50
1719900060,94.85,94.85,94.85,94.85,100
1719901620,94.85,94.85,94.85,94.85,1
1719905580,94.85,94.85,94.85,94.85,1000
1719906060,94.85,94.85,94.85,94.85,307
1719906660,94.85,94.85,94.85,94.85,16
1719906960,94.85,94.85,94.85,94.85,222
1719907020,94.85,94.85,94.85,94.85,4
1719907560,94.85,94.85,94.85,94.85,261
1719907620,94.85,94.85,94.85,94.85,122
1719907680,94.85,94.85,94.85,94.85,33
1719912120,94.85,94.85,94.85,94.85,6
1719917040,94.85,94.85,94.85,94.85,1
1719917340,94.85,94.85,94.85,94.85,1
1719920100,94.85,94.85,94.85,94.85,3
1719921120,94.85,94.85,94.85,94.85,38
1719921240,94.85,94.85,94.85,94.85,146
1719921540,94.85,94.85,94.85,94.85,103
1719921600,94.85,94.85,94.85,94.85,788
1719921660,94.855,94.855,94.855,94.855,193
1719922440,94.855,94.855,94.855,94.855,17
1719922500,94.855,94.855,94.855,94.855,44
1719922560,94.855,94.855,94.855,94.855,1
1719922800,94.85,94.855,94.85,94.855,2
1719922980,94.855,94.855,94.855,94.855,558
1719923040,94.855,94.855,94.855,94.855,25
1719923100,94.855,94.855,94.855,94.855,1059
1719923700,94.86,94.86,94.86,94.86,1
1719926040,94.855,94.855,94.855,94.855,1677
1719926100,94.855,94.855,94.855,94.855,45
1719926220,94.855,94.855,94.855,94.855,40
1719926460,94.855,94.855,94.855,94.855,250
1719926580,94.855,94.855,94.855,94.855,828
1719926700,94.855,94.855,94.855,94.855,135
1719926820,94.855,94.855,94.855,94.855,362
1719926940,94.855,94.855,94.855,94.855,47
1719927060,94.855,94.855,94.855,94.855,89
1719927120,94.855,94.855,94.855,94.855,150
1719927180,94.855,94.855,94.855,94.855,37
1719927240,94.855,94.855,94.855,94.855,120
1719927300,94.855,94.855,94.855,94.855,1
1719927360,94.855,94.855,94.855,94.855,72
1719927540,94.855,94.855,94.855,94.855,55
1719927600,94.855,94.855,94.855,94.855,1
1719927840,94.86,94.86,94.86,94.86,1
1719927960,94.855,94.855,94.855,94.855,2
1719928020,94.855,94.855,94.855,94.855,50
1719928200,94.86,94.86,94.86,94.86,2
1719928320,94.86,94.86,94.855,94.855,125
1719928560,94.86,94.86,94.86,94.86,350
1719928620,94.855,94.855,94.855,94.855,22
1719928680,94.86,94.86,94.86,94.86,938
1719928740,94.86,94.86,94.855,94.86,1641
1719928800,94.855,94.855,94.855,94.855,1049
1719929040,94.855,94.855,94.855,94.855,57
1719929100,94.855,94.855,94.855,94.855,1728
1719929220,94.855,94.855,94.855,94.855,1130
1719929280,94.855,94.855,94.855,94.855,432
1719929460,94.855,94.855,94.855,94.855,1
1719929520,94.855,94.855,94.855,94.855,250
1719929700,94.855,94.855,94.855,94.855,83
1719929760,94.855,94.855,94.855,94.855,89
1719929820,94.855,94.855,94.855,94.855,30
1719929880,94.855,94.855,94.855,94.855,180
1719929940,94.855,94.855,94.855,94.855,112
1719930000,94.855,94.855,94.855,94.855,471
1719930060,94.855,94.855,94.855,94.855,48
1719930300,94.855,94.855,94.855,94.855,296
1719930660,94.855,94.855,94.855,94.855,13
1719931140,94.855,94.855,94.855,94.855,1
1719932040,94.855,94.855,94.855,94.855,24
1719934440,94.855,94.855,94.855,94.855,3
1719934740,94.855,94.855,94.855,94.855,30
1719937440,94.855,94.855,94.855,94.855,26
1719937500,94.855,94.855,94.855,94.855,9
1719939840,94.855,94.855,94.855,94.855,1
1719940620,94.855,94.855,94.855,94.855,19
1719941760,94.855,94.855,94.855,94.855,71
1719941820,94.855,94.855,94.855,94.855,11
1719941940,94.855,94.855,94.855,94.855,111
1719943620,94.86,94.86,94.86,94.86,1
1719944220,94.855,94.855,94.855,94.855,3
1719946320,94.855,94.855,94.855,94.855,600
1719947700,94.855,94.855,94.855,94.855,12
1719947940,94.855,94.855,94.855,94.855,50
1719948060,94.855,94.855,94.855,94.855,665
1719948480,94.855,94.855,94.855,94.855,54
1719948540,94.855,94.855,94.855,94.855,2
1719949020,94.86,94.86,94.855,94.855,2
1719949080,94.86,94.86,94.855,94.86,39
1719949620,94.855,94.855,94.855,94.855,9
1719951240,94.855,94.855,94.855,94.855,1
1719951900,94.855,94.855,94.855,94.855,4
1719952020,94.855,94.855,94.855,94.855,49
1719952080,94.855,94.855,94.855,94.855,13
1719952200,94.855,94.855,94.855,94.855,80
1719952260,94.855,94.855,94.855,94.855,351
1719952620,94.855,94.855,94.855,94.855,10
1719953880,94.85,94.85,94.85,94.85,82
1719953940,94.855,94.855,94.855,94.855,4
1719957600,94.855,94.855,94.855,94.855,93
1719957720,94.855,94.855,94.855,94.855,1
1719957840,94.855,94.855,94.855,94.855,7
1719958080,94.855,94.855,94.855,94.855,2
1719958200,94.855,94.855,94.855,94.855,47
1719958320,94.855,94.855,94.855,94.855,3
1719964800,94.855,94.855,94.855,94.855,4
1719975120,94.85,94.85,94.85,94.85,64
1719975420,94.85,94.85,94.85,94.85,4
1719976680,94.85,94.85,94.85,94.85,78
1719979140,94.85,94.85,94.85,94.85,87
1719979260,94.85,94.85,94.85,94.85,6
1719979380,94.85,94.85,94.85,94.85,3
1719979800,94.85,94.85,94.85,94.85,6
1719980820,94.85,94.85,94.85,94.85,9
1719980940,94.85,94.85,94.85,94.85,11
1719981180,94.85,94.85,94.85,94.85,16
1719981240,94.85,94.85,94.85,94.85,21
1719981300,94.85,94.85,94.85,94.85,10
1719981480,94.85,94.85,94.85,94.85,5
1719981660,94.85,94.85,94.85,94.85,15
1719986280,94.85,94.85,94.85,94.85,4
1719986340,94.85,94.85,94.85,94.85,26
1719986400,94.85,94.85,94.85,94.85,8
1719989460,94.85,94.85,94.85,94.85,100
1719989520,94.85,94.85,94.85,94.85,100
1719990840,94.85,94.85,94.85,94.85,37
1719993660,94.85,94.85,94.85,94.85,1
1719993720,94.85,94.85,94.85,94.85,1
1719999480,94.845,94.845,94.845,94.845,1000
1720000740,94.85,94.85,94.85,94.85,219
1720000800,94.85,94.85,94.85,94.85,608
1720000860,94.85,94.85,94.85,94.85,1
1720000920,94.85,94.85,94.85,94.85,48
1720000980,94.85,94.85,94.85,94.85,262
1720001700,94.85,94.85,94.85,94.85,100
1720002240,94.85,94.85,94.85,94.85,100
1720003740,94.85,94.85,94.85,94.85,3
1720004040,94.85,94.85,94.85,94.85,100
1720004340,94.85,94.85,94.85,94.85,7
1720005780,94.85,94.85,94.85,94.85,1
1720006140,94.845,94.845,94.845,94.845,150
1720006380,94.845,94.845,94.845,94.845,400
1720006500,94.845,94.845,94.845,94.845,400
1720007220,94.85,94.85,94.85,94.85,1
1720007460,94.85,94.85,94.85,94.85,1
1720007640,94.85,94.85,94.85,94.85,1
1720007880,94.85,94.85,94.85,94.85,1
1720008000,94.845,94.845,94.845,94.845,4
1720008060,94.845,94.85,94.845,94.85,2
1720008300,94.85,94.85,94.85,94.85,1
1720008420,94.845,94.845,94.845,94.845,45
1720008480,94.845,94.85,94.845,94.85,31
1720008660,94.845,94.845,94.845,94.845,72
1720008720,94.845,94.85,94.845,94.85,28
1720008780,94.85,94.85,94.85,94.85,2881
1720008840,94.85,94.85,94.85,94.85,320
1720008900,94.85,94.85,94.85,94.85,80
1720009020,94.85,94.85,94.85,94.85,6
1720009140,94.85,94.85,94.85,94.85,1
1720009320,94.85,94.85,94.85,94.85,1
1720009560,94.85,94.85,94.85,94.85,1
1720009680,94.85,94.85,94.85,94.85,200
1720009740,94.85,94.85,94.85,94.85,1
1720009800,94.85,94.85,94.85,94.85,248
1720009980,94.85,94.85,94.85,94.85,1163
1720010040,94.85,94.85,94.85,94.85,208
1720010100,94.85,94.85,94.85,94.85,3
1720010160,94.85,94.85,94.85,94.85,95
1720010220,94.85,94.85,94.85,94.85,138
1720010280,94.85,94.85,94.85,94.85,309
1720010460,94.85,94.85,94.85,94.85,74
1720010520,94.85,94.85,94.85,94.85,60
1720010580,94.85,94.85,94.85,94.85,241
1720010760,94.85,94.85,94.85,94.85,66
1720011000,94.85,94.85,94.85,94.85,734
1720011180,94.85,94.85,94.85,94.85,24
1720014120,94.855,94.855,94.855,94.855,330
1720014180,94.855,94.855,94.855,94.855,100
1720014300,94.855,94.855,94.855,94.855,43
1720014900,94.85,94.85,94.85,94.85,153
1720015020,94.85,94.85,94.85,94.85,200
1720015200,94.855,94.865,94.855,94.865,2327
1720015260,94.86,94.86,94.86,94.86,53
1720015320,94.86,94.865,94.86,94.865,991
1720015440,94.86,94.86,94.86,94.86,290
1720015620,94.86,94.86,94.86,94.86,204
1720015680,94.86,94.86,94.86,94.86,82
1720015800,94.86,94.86,94.86,94.86,1
1720015860,94.865,94.865,94.86,94.86,190
1720015920,94.86,94.86,94.86,94.86,2
1720016100,94.86,94.86,94.86,94.86,3
1720016160,94.865,94.87,94.865,94.87,6423
1720016220,94.87,94.87,94.87,94.87,207
1720016280,94.87,94.87,94.87,94.87,50
1720016400,94.87,94.87,94.87,94.87,346
1720016520,94.87,94.87,94.87,94.87,40
1720016580,94.87,94.87,94.87,94.87,51
1720016700,94.87,94.87,94.87,94.87,585
1720016760,94.87,94.87,94.87,94.87,29
1720016820,94.87,94.87,94.87,94.87,102
1720016880,94.87,94.87,94.87,94.87,9
1720016940,94.875,94.875,94.875,94.875,10
1720017480,94.87,94.87,94.87,94.87,1319
1720017540,94.87,94.87,94.87,94.87,1277
1720017720,94.87,94.87,94.87,94.87,1
1720017840,94.87,94.87,94.87,94.87,3
1720017960,94.87,94.87,94.87,94.87,1
1720018020,94.87,94.87,94.87,94.87,1
1720018200,94.87,94.87,94.865,94.865,3
1720018260,94.87,94.87,94.87,94.87,1
1720018320,94.865,94.865,94.865,94.865,2
1720018440,94.87,94.87,94.865,94.865,21
1720018560,94.87,94.87,94.87,94.87,1
1720018680,94.87,94.87,94.87,94.87,1
1720018740,94.87,94.87,94.87,94.87,1
1720018800,94.87,94.87,94.87,94.87,1
1720018860,94.87,94.87,94.87,94.87,1
1720018920,94.87,94.87,94.87,94.87,1
1720018980,94.87,94.87,94.865,94.865,9
1720019040,94.87,94.87,94.87,94.87,1
1720019100,94.87,94.87,94.87,94.87,1
1720019220,94.87,94.87,94.87,94.87,1
1720019280,94.87,94.87,94.87,94.87,1
1720019340,94.87,94.87,94.87,94.87,1
1720019460,94.87,94.87,94.87,94.87,1
1720019520,94.865,94.87,94.865,94.87,21
1720019640,94.87,94.87,94.87,94.87,1
1720019700,94.87,94.87,94.87,94.87,1
1720019760,94.87,94.87,94.87,94.87,1
1720019820,94.87,94.87,94.87,94.87,1
1720019880,94.87,94.87,94.87,94.87,1
1720020000,94.865,94.865,94.865,94.865,1130
1720020180,94.87,94.87,94.865,94.865,2
1720020360,94.87,94.87,94.87,94.87,1
1720020480,94.865,94.87,94.865,94.87,11
1720020600,94.865,94.865,94.865,94.865,36
1720020660,94.865,94.865,94.865,94.865,50
1720020720,94.865,94.865,94.865,94.865,116
1720020780,94.865,94.865,94.865,94.865,13
1720020900,94.865,94.865,94.865,94.865,1
1720020960,94.865,94.87,94.865,94.87,912
1720021080,94.87,94.87,94.87,94.87,1
1720021140,94.87,94.87,94.87,94.87,1
1720021200,94.865,94.865,94.865,94.865,210
1720021260,94.865,94.865,94.865,94.865,35
1720021500,94.87,94.87,94.87,94.87,1
1720021680,94.87,94.87,94.87,94.87,1
1720021860,94.87,94.87,94.87,94.87,1
1720021920,94.865,94.865,94.865,94.865,250
1720022160,94.87,94.87,94.87,94.87,1
1720022340,94.87,94.87,94.865,94.865,3
1720022460,94.865,94.87,94.865,94.87,2
1720022520,94.87,94.87,94.87,94.87,1
1720022640,94.87,94.87,94.87,94.87,5
1720022700,94.87,94.87,94.87,94.87,4
1720022880,94.87,94.87,94.87,94.87,1
1720023060,94.87,94.87,94.87,94.87,1
1720023240,94.87,94.87,94.87,94.87,1
1720023420,94.865,94.865,94.865,94.865,3
1720023480,94.87,94.87,94.87,94.87,2
1720023600,94.87,94.87,94.87,94.87,1
1720023840,94.87,94.87,94.87,94.87,1
1720023960,94.87,94.87,94.87,94.87,7
1720024140,94.87,94.87,94.87,94.87,1
1720024380,94.87,94.87,94.87,94.87,2
1720024560,94.87,94.87,94.87,94.87,1242
1720024800,94.875,94.875,94.875,94.875,111
1720024860,94.87,94.87,94.87,94.87,30
1720024920,94.87,94.875,94.87,94.875,65
1720025040,94.875,94.875,94.875,94.875,1
1720025160,94.875,94.875,94.875,94.875,1
1720025340,94.87,94.87,94.87,94.87,1
1720025460,94.875,94.875,94.875,94.875,1
1720025640,94.875,94.875,94.875,94.875,1
1720025820,94.875,94.875,94.875,94.875,1
1720025880,94.87,94.87,94.87,94.87,319
1720026060,94.87,94.87,94.87,94.87,1
1720026120,94.87,94.87,94.87,94.87,1
1720026180,94.87,94.87,94.87,94.87,1
1720026360,94.87,94.87,94.87,94.87,1
1720026540,94.87,94.87,94.87,94.87,1
1720026720,94.87,94.87,94.87,94.87,1
1720026780,94.87,94.87,94.87,94.87,1415
1720026840,94.87,94.87,94.87,94.87,154
1720026900,94.87,94.87,94.87,94.87,401
1720027020,94.87,94.87,94.87,94.87,156
1720027380,94.87,94.87,94.87,94.87,1
1720027620,94.87,94.87,94.87,94.87,1
1720027680,94.87,94.87,94.87,94.87,18
1720027740,94.87,94.87,94.87,94.87,31
1720027860,94.87,94.87,94.87,94.87,1
