time,open,high,low,close,Volume
1725229500,95,95,95,95,786
1725229560,95,95,95,95,15
1725229980,95,95,95,95,67
1725230820,95,95,95,95,17
1725231900,95,95,95,95,5
1725232920,95,95,95,95,436
1725232980,95,95,95,95,161
1725234780,95,95,95,95,39
1725234840,95,95,95,95,3
1725235980,95,95,95,95,2
1725236880,95,95,95,95,33
1725236940,95,95,95,95,111
1725237120,95,95,95,95,2
1725238440,94.995,94.995,94.995,94.995,50
1725244800,94.995,94.995,94.995,94.995,175
1725254040,94.995,94.995,94.995,94.995,33
1725254100,94.995,94.995,94.995,94.995,1
1725260520,94.995,94.995,94.995,94.995,200
1725262620,94.995,94.995,94.995,94.995,25
1725262680,94.995,94.995,94.995,94.995,507
1725263640,94.995,94.995,94.995,94.995,93
1725263820,94.995,94.995,94.995,94.995,300
1725263880,94.995,94.995,94.995,94.995,200
1725263940,94.995,94.995,94.995,94.995,30
1725264000,94.995,94.995,94.995,94.995,515
1725264960,94.995,94.995,94.995,94.995,490
1725265260,94.995,94.995,94.995,94.995,42
1725265680,94.995,94.995,94.995,94.995,49
1725265740,94.995,94.995,94.995,94.995,3
1725265800,94.995,94.995,94.995,94.995,534
1725265860,94.995,94.995,94.995,94.995,118
1725265920,94.995,94.995,94.995,94.995,25
1725265980,94.995,94.995,94.995,94.995,353
1725266040,94.995,94.995,94.995,94.995,82
1725266160,94.995,94.995,94.995,94.995,145
1725266220,94.995,94.995,94.995,94.995,2
1725266280,94.995,94.995,94.995,94.995,136
1725266460,94.995,94.995,94.995,94.995,8
1725266640,94.995,94.995,94.995,94.995,15
1725266700,94.995,94.995,94.995,94.995,8
1725267360,94.995,94.995,94.995,94.995,1
1725267480,94.995,94.995,94.995,94.995,24
1725267720,94.995,94.995,94.995,94.995,11
1725268380,94.995,94.995,94.995,94.995,7
1725268620,94.995,94.995,94.995,94.995,1
1725268800,94.995,94.995,94.995,94.995,20
1725269280,94.995,94.995,94.995,94.995,3
1725270600,94.995,94.995,94.995,94.995,50
1725272040,94.995,94.995,94.995,94.995,200
1725273360,94.995,94.995,94.995,94.995,10
