time,open,high,low,close,Volume
1727759220,95.445,95.445,95.445,95.445,1000
1727759400,95.445,95.445,95.445,95.445,75
1727765160,95.44,95.44,95.44,95.44,295
1727766060,95.445,95.445,95.445,95.445,900
1727766120,95.445,95.445,95.445,95.445,435
1727766420,95.445,95.445,95.445,95.445,50
1727766480,95.445,95.445,95.445,95.445,806
1727766540,95.445,95.445,95.445,95.445,3
1727766600,95.445,95.445,95.44,95.44,101
1727766720,95.445,95.445,95.445,95.445,4
1727766900,95.445,95.445,95.445,95.445,9
1727766960,95.445,95.445,95.445,95.445,618
1727767080,95.445,95.445,95.445,95.445,70
1727767140,95.445,95.445,95.445,95.445,74
1727767200,95.445,95.445,95.445,95.445,268
1727767260,95.445,95.445,95.445,95.445,20
1727767560,95.445,95.445,95.445,95.445,2
1727767680,95.445,95.445,95.445,95.445,48
1727767740,95.445,95.445,95.445,95.445,327
1727767860,95.44,95.44,95.44,95.44,1
1727767920,95.445,95.445,95.445,95.445,25
1727767980,95.445,95.445,95.445,95.445,94
1727768100,95.445,95.445,95.445,95.445,200
1727768460,95.445,95.445,95.445,95.445,669
1727768580,95.445,95.445,95.445,95.445,346
1727768700,95.445,95.445,95.445,95.445,10
1727768760,95.445,95.445,95.445,95.445,1
1727768940,95.445,95.445,95.445,95.445,14
1727769060,95.445,95.445,95.445,95.445,2
1727769300,95.445,95.445,95.445,95.445,1
1727769900,95.445,95.445,95.445,95.445,100
1727770020,95.45,95.45,95.45,95.45,247
1727771100,95.45,95.45,95.45,95.45,200
1727771160,95.445,95.445,95.445,95.445,2
1727771460,95.445,95.445,95.445,95.445,445
1727771880,95.445,95.445,95.445,95.445,144
1727772600,95.445,95.445,95.445,95.445,250
1727773320,95.445,95.445,95.445,95.445,71
1727773380,95.445,95.445,95.445,95.445,100
1727773680,95.45,95.45,95.45,95.45,26
1727774340,95.445,95.445,95.445,95.445,261
1727774700,95.445,95.445,95.445,95.445,3
1727775000,95.45,95.45,95.45,95.45,8
1727775240,95.445,95.445,95.445,95.445,100
1727775420,95.445,95.445,95.445,95.445,125
1727775780,95.445,95.445,95.445,95.445,100
