time,open,high,low,close,Volume
1671048600,95.665,95.665,95.665,95.665,7
1671048660,95.665,95.665,95.665,95.665,95
1671048720,95.665,95.665,95.665,95.665,750
1671048840,95.66,95.66,95.66,95.66,26
1671048900,95.66,95.66,95.66,95.66,4
1671049020,95.665,95.665,95.665,95.665,15
1671049200,95.665,95.665,95.665,95.665,3
1671049740,95.665,95.665,95.665,95.665,77
1671049800,95.66,95.66,95.66,95.66,16
1671050880,95.665,95.665,95.665,95.665,10
1671051120,95.665,95.665,95.665,95.665,1992
1671051420,95.665,95.665,95.665,95.665,250
1671052200,95.665,95.665,95.665,95.665,1
1671053220,95.66,95.66,95.66,95.66,290
1671053400,95.665,95.665,95.665,95.665,12
1671053700,95.66,95.66,95.66,95.66,135
1671054660,95.665,95.665,95.665,95.665,2
1671054720,95.665,95.665,95.665,95.665,1
1671054840,95.665,95.665,95.66,95.66,393
1671054900,95.66,95.66,95.66,95.66,1573
1671055020,95.66,95.665,95.66,95.665,160
1671055140,95.665,95.665,95.665,95.665,9
1671058800,95.665,95.665,95.665,95.665,1
1671063420,95.665,95.665,95.665,95.665,1
1671065400,95.665,95.665,95.665,95.665,1
1671066000,95.665,95.665,95.665,95.665,1
1671073140,95.665,95.665,95.665,95.665,200
1671074700,95.66,95.66,95.66,95.66,300
1671084360,95.665,95.665,95.665,95.665,7
1671085620,95.665,95.665,95.665,95.665,1
1671086160,95.665,95.665,95.665,95.665,6
1671087240,95.665,95.665,95.665,95.665,2
1671092400,95.66,95.66,95.66,95.66,1
1671094020,95.66,95.66,95.66,95.66,4
1671096480,95.66,95.66,95.66,95.66,2
1671097200,95.665,95.665,95.665,95.665,500
1671098400,95.66,95.66,95.66,95.66,2
1671099900,95.66,95.66,95.66,95.66,155
1671104160,95.66,95.66,95.66,95.66,3
1671104400,95.665,95.665,95.665,95.665,27
1671104820,95.665,95.665,95.665,95.665,7
1671105600,95.665,95.665,95.665,95.665,4
1671105960,95.665,95.665,95.665,95.665,11
1671106020,95.665,95.665,95.665,95.665,2
1671107100,95.665,95.665,95.665,95.665,50
1671107760,95.66,95.66,95.66,95.66,70
1671109260,95.665,95.665,95.665,95.665,1
1671109920,95.66,95.66,95.66,95.66,1
1671110100,95.665,95.665,95.665,95.665,2
1671110220,95.665,95.665,95.665,95.665,11
1671111000,95.665,95.665,95.665,95.665,216
1671111060,95.665,95.665,95.665,95.665,17
1671111180,95.665,95.665,95.665,95.665,13
1671111360,95.665,95.665,95.665,95.665,40
1671111600,95.665,95.665,95.665,95.665,34
1671112200,95.665,95.665,95.665,95.665,2
1671112380,95.665,95.665,95.665,95.665,1
1671112980,95.665,95.665,95.665,95.665,1
1671114120,95.665,95.665,95.66,95.66,241
1671115260,95.66,95.66,95.66,95.66,3
1671115380,95.665,95.665,95.66,95.66,11
1671115980,95.665,95.665,95.665,95.665,2
1671116100,95.665,95.665,95.665,95.665,60
1671117060,95.665,95.665,95.665,95.665,22
1671117840,95.66,95.66,95.66,95.66,12
1671118440,95.665,95.665,95.665,95.665,10
1671118500,95.665,95.665,95.665,95.665,1
1671118740,95.665,95.665,95.665,95.665,17
1671118800,95.665,95.665,95.665,95.665,19
1671119160,95.665,95.665,95.665,95.665,51
1671119280,95.665,95.665,95.665,95.665,12
1671119520,95.665,95.665,95.665,95.665,5
1671119640,95.665,95.665,95.665,95.665,2
1671119820,95.665,95.665,95.665,95.665,30
1671119940,95.665,95.665,95.665,95.665,1
1671120300,95.665,95.665,95.665,95.665,2
1671121020,95.665,95.665,95.665,95.665,1
1671122100,95.665,95.665,95.665,95.665,1
1671122160,95.665,95.665,95.665,95.665,1
1671122580,95.66,95.66,95.66,95.66,900
1671122700,95.665,95.665,95.665,95.665,1
