time,open,high,low,close,Volume
1667167200,95.245,95.245,95.24,95.24,14
1667167260,95.235,95.235,95.235,95.235,2
1667167320,95.235,95.235,95.225,95.23,129
1667167380,95.23,95.23,95.23,95.23,1
1667168580,95.235,95.235,95.235,95.235,76
1667168880,95.235,95.235,95.235,95.235,3
1667168940,95.235,95.235,95.235,95.235,4
1667169060,95.235,95.235,95.235,95.235,2
1667169180,95.235,95.235,95.235,95.235,1
1667169300,95.235,95.235,95.235,95.235,9
1667169360,95.235,95.235,95.235,95.235,7
1667169420,95.235,95.235,95.235,95.235,3
1667169600,95.235,95.235,95.235,95.235,8
1667169660,95.235,95.235,95.235,95.235,10
1667169720,95.235,95.235,95.235,95.235,15
1667169780,95.235,95.235,95.235,95.235,6
1667169960,95.235,95.235,95.235,95.235,9
1667170020,95.235,95.235,95.235,95.235,3
1667170380,95.235,95.235,95.235,95.235,3
1667170560,95.235,95.235,95.235,95.235,67
1667170680,95.235,95.235,95.235,95.235,25
1667170980,95.235,95.235,95.235,95.235,4
1667171400,95.23,95.23,95.23,95.23,26
1667171760,95.23,95.23,95.23,95.23,9
1667172000,95.23,95.23,95.23,95.23,2
1667172360,95.23,95.23,95.23,95.23,3
1667173020,95.23,95.23,95.23,95.23,1
1667174580,95.225,95.225,95.225,95.225,2
1667174760,95.225,95.225,95.225,95.225,12
1667175300,95.225,95.225,95.225,95.225,20
1667175360,95.225,95.225,95.225,95.225,5
1667175540,95.225,95.225,95.225,95.225,71
1667175900,95.225,95.225,95.225,95.225,1
1667176440,95.225,95.225,95.225,95.225,4
1667177100,95.22,95.22,95.22,95.22,45
1667178000,95.22,95.22,95.22,95.22,4
1667178120,95.22,95.22,95.22,95.22,7
1667178180,95.215,95.215,95.215,95.215,2
1667178300,95.215,95.215,95.215,95.215,1
1667178780,95.22,95.22,95.22,95.22,2
1667179680,95.22,95.22,95.22,95.22,2
1667180400,95.225,95.23,95.225,95.23,7
1667180700,95.23,95.23,95.23,95.23,25
1667183520,95.23,95.23,95.23,95.23,11
1667184660,95.23,95.23,95.23,95.23,128
1667185620,95.23,95.23,95.23,95.23,50
1667185800,95.23,95.23,95.23,95.23,39
1667187120,95.23,95.23,95.23,95.23,9
1667187900,95.23,95.23,95.23,95.23,7
1667188620,95.235,95.235,95.235,95.235,54
1667189040,95.24,95.24,95.24,95.24,19
1667189520,95.235,95.235,95.235,95.235,7
1667189640,95.235,95.235,95.235,95.235,2
1667190660,95.235,95.235,95.235,95.235,5
1667192460,95.23,95.23,95.23,95.23,1
1667192760,95.235,95.235,95.235,95.235,2
1667194860,95.225,95.225,95.225,95.225,11
1667195640,95.23,95.23,95.23,95.23,2
1667195940,95.23,95.23,95.23,95.23,5
1667196240,95.235,95.235,95.235,95.235,5
1667196420,95.235,95.235,95.235,95.235,2
1667197200,95.235,95.235,95.235,95.235,15
1667197320,95.235,95.235,95.235,95.235,3
1667197380,95.235,95.235,95.235,95.235,3
1667197440,95.235,95.235,95.235,95.235,1
1667198280,95.23,95.23,95.23,95.23,9
1667198640,95.23,95.23,95.23,95.23,7
1667198700,95.23,95.23,95.23,95.23,15
1667199180,95.23,95.23,95.23,95.23,36
1667199600,95.235,95.235,95.23,95.23,93
1667199840,95.235,95.235,95.235,95.235,88
1667200020,95.235,95.235,95.235,95.235,2
1667200080,95.235,95.235,95.235,95.235,9
1667200140,95.235,95.235,95.235,95.235,2
1667200260,95.235,95.235,95.235,95.235,16
1667200800,95.23,95.23,95.23,95.23,7
1667200920,95.225,95.23,95.225,95.225,27
1667201160,95.23,95.23,95.23,95.23,4
1667201640,95.235,95.235,95.235,95.235,19
1667201820,95.23,95.23,95.23,95.23,31
1667201880,95.235,95.235,95.235,95.235,1
1667203200,95.23,95.23,95.23,95.23,25
1667203440,95.225,95.225,95.225,95.225,113
1667203500,95.225,95.225,95.225,95.225,10
1667203560,95.225,95.225,95.225,95.225,6
1667203680,95.225,95.225,95.225,95.225,67
1667203800,95.225,95.225,95.225,95.225,30
1667203860,95.225,95.225,95.225,95.225,4
1667204160,95.22,95.22,95.22,95.22,234
1667204280,95.22,95.22,95.22,95.22,4
1667204700,95.225,95.225,95.225,95.225,3
1667204820,95.225,95.225,95.225,95.225,60
1667205120,95.22,95.22,95.22,95.22,12
1667205240,95.215,95.22,95.215,95.215,190
1667205300,95.215,95.22,95.215,95.215,99
1667205540,95.215,95.215,95.215,95.215,1
1667205600,95.215,95.215,95.215,95.215,7
1667206500,95.215,95.215,95.215,95.215,24
1667206680,95.215,95.215,95.215,95.215,1
1667206740,95.215,95.215,95.215,95.215,43
1667207760,95.215,95.215,95.215,95.215,509
1667207820,95.215,95.215,95.215,95.215,36
1667207940,95.215,95.215,95.215,95.215,12
1667208060,95.215,95.215,95.215,95.215,9
1667208180,95.215,95.215,95.215,95.215,29
1667208420,95.215,95.215,95.215,95.215,126
1667208480,95.215,95.215,95.215,95.215,194
1667208600,95.22,95.22,95.22,95.22,684
1667208900,95.215,95.215,95.215,95.215,11
1667209020,95.215,95.215,95.215,95.215,12
1667209080,95.22,95.22,95.22,95.22,36
1667210460,95.215,95.215,95.215,95.215,1
1667210580,95.22,95.22,95.22,95.22,3
1667210820,95.22,95.22,95.22,95.22,2
1667213280,95.22,95.22,95.22,95.22,650
1667213820,95.22,95.225,95.22,95.225,95
1667213880,95.225,95.225,95.225,95.225,29
1667213940,95.225,95.225,95.225,95.225,18
1667214000,95.225,95.225,95.225,95.225,21
1667214120,95.225,95.225,95.225,95.225,30
1667214180,95.225,95.225,95.225,95.225,6
1667214300,95.225,95.225,95.225,95.225,7
1667214540,95.225,95.225,95.225,95.225,177
1667214600,95.225,95.225,95.225,95.225,6
1667214780,95.23,95.23,95.23,95.23,141
1667214840,95.23,95.23,95.23,95.23,8
1667215080,95.225,95.225,95.225,95.225,49
1667215380,95.22,95.22,95.22,95.22,36
1667215440,95.22,95.22,95.22,95.22,45
1667215620,95.225,95.225,95.225,95.225,88
1667215680,95.23,95.23,95.23,95.23,11
1667215740,95.23,95.23,95.23,95.23,427
1667215920,95.225,95.225,95.225,95.225,19
1667215980,95.225,95.225,95.225,95.225,31
1667216040,95.225,95.225,95.225,95.225,4
1667216100,95.22,95.22,95.22,95.22,1
1667216160,95.22,95.22,95.22,95.22,3
1667216400,95.22,95.22,95.22,95.22,4
1667216460,95.22,95.22,95.22,95.22,112
1667216580,95.22,95.22,95.22,95.22,2
1667216760,95.225,95.225,95.225,95.225,43
1667217120,95.22,95.22,95.22,95.22,18
1667217180,95.22,95.22,95.22,95.22,11
1667217240,95.22,95.22,95.22,95.22,16
1667217360,95.22,95.22,95.22,95.22,4
1667217420,95.22,95.22,95.22,95.22,19
1667217660,95.22,95.22,95.22,95.22,52
1667217720,95.22,95.22,95.22,95.22,15
1667217780,95.22,95.22,95.22,95.22,36
1667217840,95.22,95.22,95.22,95.22,2
1667217960,95.22,95.22,95.22,95.22,11
1667218020,95.22,95.22,95.22,95.22,2
1667218080,95.22,95.22,95.22,95.22,2
1667218140,95.22,95.22,95.22,95.22,2
1667218200,95.225,95.23,95.225,95.23,168
1667218500,95.23,95.23,95.23,95.23,13
1667218560,95.23,95.23,95.23,95.23,10
1667218620,95.225,95.225,95.225,95.225,2
1667218800,95.225,95.225,95.225,95.225,20
1667218920,95.225,95.225,95.225,95.225,54
1667219040,95.225,95.225,95.225,95.225,26
1667219220,95.225,95.225,95.225,95.225,27
1667219280,95.225,95.225,95.225,95.225,39
1667219820,95.22,95.22,95.22,95.22,2
1667219940,95.22,95.22,95.22,95.22,2
1667220000,95.22,95.22,95.22,95.22,12
1667220240,95.22,95.22,95.22,95.22,256
1667220480,95.22,95.22,95.22,95.22,84
1667220600,95.22,95.22,95.215,95.215,620
1667220660,95.215,95.215,95.215,95.215,10
1667220720,95.22,95.22,95.22,95.22,45
1667220780,95.215,95.215,95.215,95.215,29
1667220840,95.215,95.215,95.215,95.215,1
1667220900,95.215,95.215,95.215,95.215,24
1667221020,95.215,95.215,95.215,95.215,3
1667221080,95.215,95.215,95.215,95.215,34
1667221320,95.22,95.22,95.22,95.22,1
1667221680,95.22,95.22,95.22,95.22,67
1667221740,95.22,95.22,95.22,95.22,3
1667221800,95.22,95.22,95.22,95.22,1
1667222400,95.225,95.225,95.225,95.225,70
1667222460,95.225,95.225,95.225,95.225,32
1667222520,95.225,95.225,95.225,95.225,22
1667222640,95.225,95.225,95.225,95.225,5
1667222760,95.225,95.225,95.225,95.225,1
1667222820,95.225,95.225,95.225,95.225,15
1667222880,95.225,95.225,95.225,95.225,1
1667222940,95.225,95.225,95.22,95.22,36
1667223000,95.22,95.22,95.22,95.22,65
1667223060,95.22,95.22,95.22,95.22,21
1667223120,95.215,95.215,95.215,95.215,1
1667223180,95.22,95.22,95.22,95.22,48
1667223360,95.22,95.22,95.215,95.215,58
1667223420,95.215,95.215,95.215,95.215,53
1667223480,95.215,95.215,95.215,95.215,112
1667223540,95.215,95.215,95.215,95.215,3
1667223600,95.215,95.215,95.215,95.215,16
1667223660,95.215,95.215,95.215,95.215,35
1667223720,95.215,95.215,95.215,95.215,73
1667223840,95.215,95.215,95.215,95.215,56
1667223960,95.215,95.215,95.215,95.215,3
1667224140,95.215,95.215,95.215,95.215,21
1667224200,95.215,95.215,95.215,95.215,2
1667224320,95.21,95.21,95.21,95.21,2
1667224500,95.21,95.21,95.21,95.21,2
1667224560,95.21,95.21,95.21,95.21,1
1667224740,95.21,95.21,95.21,95.21,2
1667224800,95.21,95.21,95.21,95.21,1
1667224860,95.21,95.21,95.21,95.21,2
1667224980,95.21,95.21,95.21,95.21,1
1667225040,95.21,95.21,95.21,95.21,1
1667225160,95.21,95.21,95.21,95.21,1
1667225220,95.21,95.21,95.21,95.21,1
1667225340,95.21,95.21,95.21,95.21,2
1667225580,95.215,95.215,95.215,95.215,655
1667225700,95.215,95.215,95.215,95.215,26
1667225820,95.215,95.22,95.215,95.22,264
1667226000,95.22,95.22,95.22,95.22,39
1667226300,95.22,95.22,95.22,95.22,8
1667226600,95.22,95.22,95.22,95.22,65
1667226720,95.215,95.215,95.215,95.215,2
1667226960,95.215,95.22,95.215,95.22,23
1667227260,95.22,95.22,95.22,95.22,1
1667227320,95.22,95.22,95.215,95.22,57
1667227380,95.215,95.215,95.215,95.215,65
1667227440,95.215,95.215,95.215,95.215,5
1667227500,95.215,95.215,95.215,95.215,75
1667227560,95.215,95.215,95.215,95.215,208
1667227620,95.215,95.215,95.215,95.215,118
1667227680,95.215,95.215,95.215,95.215,50
1667227740,95.215,95.215,95.215,95.215,349
1667227800,95.215,95.215,95.215,95.215,5
1667227860,95.215,95.215,95.215,95.215,9
1667227920,95.215,95.215,95.215,95.215,4
1667227980,95.215,95.215,95.215,95.215,4
1667228040,95.215,95.215,95.215,95.215,43
1667228100,95.215,95.215,95.215,95.215,173
1667228160,95.215,95.215,95.215,95.215,154
1667228280,95.215,95.215,95.215,95.215,2
1667228340,95.215,95.215,95.215,95.215,4
1667228520,95.215,95.215,95.215,95.215,1
1667228580,95.215,95.215,95.215,95.215,61
1667228640,95.21,95.21,95.21,95.21,1
1667228700,95.215,95.215,95.215,95.215,1
1667228760,95.21,95.21,95.21,95.21,1
1667228880,95.21,95.21,95.21,95.21,1
1667229000,95.21,95.21,95.21,95.21,1
1667229060,95.21,95.215,95.21,95.215,152
1667229180,95.21,95.21,95.21,95.21,2
1667229420,95.21,95.215,95.21,95.215,21
1667229540,95.21,95.21,95.21,95.21,2
1667229840,95.21,95.21,95.21,95.21,397
1667229900,95.21,95.21,95.21,95.21,67
1667230020,95.21,95.21,95.21,95.21,1
1667230080,95.21,95.21,95.21,95.21,127
1667230140,95.21,95.21,95.21,95.21,2
1667230320,95.205,95.205,95.205,95.205,2
1667230380,95.205,95.205,95.205,95.205,1
1667230560,95.205,95.205,95.205,95.205,26
1667230680,95.205,95.205,95.205,95.205,1
1667230800,95.205,95.205,95.205,95.205,2
1667231220,95.205,95.205,95.205,95.205,2
1667231520,95.205,95.205,95.205,95.205,5
1667231580,95.205,95.205,95.205,95.205,1
1667231760,95.205,95.205,95.205,95.205,2
1667231880,95.205,95.205,95.205,95.205,5
1667231940,95.205,95.205,95.205,95.205,3
1667232000,95.205,95.205,95.205,95.205,3
1667232180,95.205,95.205,95.205,95.205,503
1667232420,95.205,95.205,95.205,95.205,1468
1667232480,95.205,95.205,95.205,95.205,1
1667232660,95.205,95.205,95.205,95.205,1
1667232900,95.205,95.205,95.205,95.205,1
1667233140,95.205,95.205,95.205,95.205,1
1667233260,95.21,95.21,95.21,95.21,1112
1667233380,95.21,95.21,95.21,95.21,90
1667233440,95.21,95.21,95.21,95.21,9
1667233500,95.21,95.215,95.21,95.21,184
1667233560,95.21,95.21,95.21,95.21,54
1667234040,95.21,95.21,95.21,95.21,461
1667234100,95.21,95.21,95.21,95.21,28
1667234220,95.21,95.21,95.21,95.21,22
1667234280,95.21,95.21,95.21,95.21,187
1667234340,95.21,95.21,95.21,95.21,10
1667234460,95.21,95.21,95.21,95.21,510
1667234580,95.21,95.21,95.21,95.21,232
1667234760,95.21,95.21,95.21,95.21,75
1667234820,95.21,95.21,95.21,95.21,75
1667234880,95.21,95.21,95.21,95.21,16
1667235240,95.21,95.21,95.21,95.21,52
1667235360,95.205,95.21,95.205,95.21,2
1667235420,95.21,95.21,95.21,95.21,204
1667235480,95.21,95.21,95.21,95.21,3
1667236080,95.21,95.21,95.21,95.21,152
1667236140,95.21,95.21,95.21,95.21,1
1667236200,95.21,95.21,95.205,95.205,83
1667236440,95.205,95.205,95.205,95.205,2
1667236740,95.205,95.205,95.205,95.205,550
1667236800,95.205,95.205,95.205,95.205,288
1667237160,95.205,95.205,95.205,95.205,1
1667237580,95.205,95.205,95.205,95.205,2
1667238240,95.205,95.205,95.205,95.205,1
1667238600,95.21,95.21,95.21,95.21,108
1667238660,95.205,95.205,95.205,95.205,31
1667238720,95.205,95.205,95.205,95.205,36
1667238780,95.205,95.205,95.205,95.205,168
1667239620,95.205,95.205,95.205,95.205,2
1667240040,95.205,95.205,95.205,95.205,1
1667240340,95.205,95.205,95.205,95.205,6
1667240760,95.205,95.205,95.205,95.205,2
1667241000,95.205,95.205,95.205,95.205,24
1667241060,95.205,95.205,95.205,95.205,12
1667241120,95.205,95.205,95.205,95.205,7
1667241420,95.2,95.2,95.2,95.2,1
1667241720,95.205,95.205,95.2,95.2,35
1667242200,95.205,95.205,95.2,95.2,4
1667242320,95.2,95.2,95.2,95.2,100
1667242500,95.205,95.205,95.205,95.205,1
1667242560,95.205,95.205,95.205,95.205,138
1667242620,95.21,95.21,95.205,95.205,387
1667242680,95.205,95.21,95.205,95.205,51
1667242740,95.205,95.21,95.205,95.21,7
1667242860,95.205,95.205,95.205,95.205,31
1667242920,95.205,95.205,95.205,95.205,239
1667243040,95.205,95.205,95.205,95.205,20
1667243160,95.2,95.2,95.2,95.2,1
1667243520,95.2,95.2,95.2,95.2,2
1667243580,95.2,95.2,95.2,95.2,38
1667243700,95.2,95.2,95.2,95.2,173
1667243880,95.2,95.2,95.2,95.2,251
1667243940,95.2,95.2,95.2,95.2,3
1667244000,95.195,95.195,95.195,95.195,60
1667244360,95.2,95.2,95.2,95.2,29
1667244420,95.195,95.195,95.195,95.195,1
1667244480,95.2,95.2,95.2,95.2,61
1667244660,95.2,95.2,95.2,95.2,21
1667244720,95.2,95.2,95.2,95.2,1
1667244780,95.2,95.2,95.2,95.2,21
1667244840,95.2,95.2,95.2,95.2,155
