slug,Condition,Yes,No,outcomeYes,outcomeNo
will-donald-trump-win-the-2024-us-presidential-election,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,"21742633143463906290569050155826241533067272736897614950488156847949938836455","48331043336612883890938759509493159234755048973500640148014422747788308965732","1","0"
will-joe-biden-win-the-2024-us-presidential-election,0x14018049e265a2d88f284be9588e2e3542e3a3df08ccdb344d28355dd7fdd8ef,"88027839609243624193415614179328679602612916497045596227438675518749602824929","34731657770883441140875001518098751138877095477683682718012432921110142479972","0","1"
will-nikki-haley-win-the-2024-us-presidential-election,0xced9f9d90c94db9f1e1dbd7d9fba82fe4fa7431c0d4e91e28896c8ac2d6acadd,"19083349462791593334532840548890602187185739923311385087650426802477691161360","25663677275476030658483179785762851061160843737234225579491314980654272946621","0","1"
will-gavin-newsom-win-the-2024-us-presidential-election,0x40bbdd26dc08406eedcb913efee7f7faddf50e16fc21caedb4972d57fd71e0d1,"99200347365169760700385453164878188504479548439905371494493482364634358863823","88063614818983277039870506697948521713429593096456892435153186054911641634952","0","1"
will-robert-f-kennedy-jr-win-the-2024-us-presidential-election,0x7da35195ac3c7bf167f88ab0c27067a99020e36de67d39968b71d9debcdd925e,"75551890681049796405776295654438099776333571510662809052054780589218524237663","56404905393055211239795086916790918063008904529043139446524120756836481670648","0","1"
will-ron-desantis-win-the-2024-us-presidential-election,0xad6d309aaa500d96855996e84da00dfb2379548a693ca684d0877cf94fec05d1,"54541905023211985194827443687227462634594584372996482268933020846517872533280","31047886014226264999763088291196820581455214827362848029616905203866058950804","0","1"
will-vivek-ramaswamy-win-the-2024-us-presidential-election,0x696baf880832d000a37ea87cc94235b1ac58e7e9fe7a144ccf5d141877629134,"71118168890902402346450607953977430866499056452499149647300109878547888435163","83989706486871267882400547508608962084989637885033118817277664739968626851490","0","1"
will-kamala-harris-win-the-2024-us-presidential-election,0xc6485bb7ea46d7bb89beb9c91e7572ecfc72a6273789496f78bc5e989e4d1638,"69236923620077691027083946871148646972011131466059644796654161903044970987404","87584955359245246404952128082451897287778571240979823316620093987046202296181","0","1"
will-chris-christie-win-the-2024-us-presidential-election,0xf6106065ec5d5dae7eca350be64e5246ae331b35937ea55b64152f65fbc0b37f,"27312896015258311102305871640185491718068302146240154758497460598552961305988","47985835438034722961370141592264484856245054083967133255723755707120670593624","0","1"
will-elizabeth-warren-win-the-2024-us-presidential-election,0x3120827dc12167d09fd9f08233e2b540054a2ed90aad65c023bc1da9d38b29d9,"6025348680810459235592257487856478394037580571221769223427710907585587056389","107318000224273619864067221410763312524005905734038928942085943518009422698801","0","1"
will-bernie-sanders-win-the-2024-us-presidential-election,0x08f5fe8d0d29c08a96f0bc3dfb52f50e0caf470d94d133d95d38fa6c847e0925,"95128817762909535143571435260705470642391662537976312011260538371392879420759","109959771354727569920568814841948349015122530982718955453725874320605174249650","0","1"
will-aoc-win-the-2024-us-presidential-election,0xd1cce1f51effdf3957144fdc87b5e8aace1d1f7ab21976a046b71744ecad8443,"6238317280296426865475638559260472448644617115418089359113344407432348159324","41954490041086867564121643018635419147920198909390751107256363360262392619696","0","1"
will-any-other-democratic-politician-win-the-2024-us-presidential-election,0xb92f22143e7b48609a82573fa8197dc73683a15acb467b0f51ee63da7e3f520b,"74706296939809671893768905246606398708802232875822379413753245164957842209130","103543247440804352548620987887141435213865749546518237928636621721195722919525","0","1"
will-any-other-republican-politician-win-the-2024-us-presidential-election,0x55c551896c10a74861f2fd88b4f928694310114704cc74b29b9760d1156cade6,"87935798830831555521299232238121934560977823768906296045917813721531790174443","57677804490585887398706024193987529955099603362215749525873675088072565146041","0","1"
will-kanye-west-win-the-2024-us-presidential-election,0x73ac4c1e5be0a89685328c9f5b833d828ffd62dfa07ceaf8536edbc43aa5f51e,"48285207411891694847413807268670593735244327770017422161322089036370055854362","61844668920737118615861173747694492670799904596778544814046771923624799983782","0","1"
will-michelle-obama-win-the-2024-us-presidential-election,0x230144e34a84dfd0ebdc6de7fde37780e28154f6f84dd8880c7f0e58d302d448,"97508453625137094121006941885029334584603955750917059456402541591996493525667","101835693390914207034008670272805414453671321042882880939287726647351186404691","0","1"
will-hillary-clinton-win-the-2024-us-presidential-election,0x63634b4e14297a748923f86dca4fa0c6c659db0f5fadeeb8e419e48e20759c34,"79316691944049488812500733050438507204613781002222375264046442941003895009475","81996907021530768903266356962155871449963890840127658427020993407290924449685","0","1"
